,Team,City,Country,Stadium,Address,Capacity,Pitch
0,Sporting Braga,Braga,Portugal,Estádio Municipal de Braga,Avenida do Estádio,30286,Natural
1,Benfica,Lisboa,Portugal,Estádio da Luz,Rua José Maria Nicolau,65647,Natural
2,Porto,Oporto,Portugal,Estádio Do Dragão,Via Futebol Clube do Porto,50948,Natural
3,Sporting CP,Lisboa,Portugal,José Alvalade,Rua Professor Fernando da Fonseca 1600-616 Lisboa Portugal,50486,Natural
4,Chaves,Chaves,Portugal,Estádio Municipal Eng. Manuel Branco Teixeira,Avenida do Estádio Municipal,12000,Natural
5,Feirense,Santa Maria da Feira,Portugal,Estádio Marcolino de Castro,Avenida 25 de Abril 14,4667,Natural
6,Belenenses,Lisboa,Portugal,Estádio do Restelo,"Avenida da Ilha da Madeira, Santa Maria de Belém",32500,Natural
7,Beira Mar SC,,Portugal,Municipal de Aveiro,,30000,
8,Portimonense,Portimão,Portugal,Estádio do Portimonense SC,Avenida Zeca Afonso Portimão,9544,Natural
9,Tirsense,Santo Tirso,Portugal,,,,
10,Boavista,Oporto,Portugal,Bessa Século XXI,Rua O Primeiro de Janeiro Estádio do Bessa Século XXI 4100 PORTO,30000,Natural
11,Marítimo,Funchal,Portugal,Estádio dos Barreiros,Rua do Dr. Pita,8992,Natural
12,Estrela Amadora,,,,,,
13,Vitória,Guimarães,Portugal,Estádio Dom Afonso Henriques,Rua de São Gonçalo 505,30165,Natural
14,Penafiel,,Portugal,Estádio Municipal 25 de Abril,Rua Futebol Clube de Penafiel,6500,Natural
15,União Madeira,,Portugal,Estádio Municipal de Machico,Rua da Estacada 9,3300,Natural
16,Nacional,,Portugal,Estádio da Madeira,"Rua do Esmeraldo, nº 46",8589,Natural
17,Vitória Setúbal,Setúbal,Portugal,Estádio do Bonfim,Praça Vitoria Futebol Clube,18694,Natural
18,Olympique,Marseille,France,Stade Vélodrome,"3 Boulevard Michelet, 13008 Marseille",67394,Natural
19,Montpellier,Montpellier,France,Stade de la Mosson,Avenue de Heidelberg,32950,Natural
20,Toulouse,Toulouse,France,Stadium Municipal,"1, allée Gabriel Biénés 31028 Toulouse",35472,Natural
21,Sporting Toulon,Toulon,France,Stade de Bon-Rencontre,"3, avenue Aristide Briand 83200",8000,
22,Nantes,Nantes,France,Stade de la Beaujoire - Louis Fonteneau,"Route de Saint-Joseph, 44300 Nantes",38285,Natural
23,Lille,Lille,France,Stade Pierre-Mauroy,"261, Boulevard de Tournai, l'Hôtel de Ville",49834,Natural
24,Sochaux,Sochaux,France,Stade Auguste-Bonal,Impasse de la Forge,20005,Natural
25,PSG,Paris,France,Parc des Princes,"24, rue du Commandant Guilbaud 75016 Paris",49691,Natural
26,Nice,Nice,France,Allianz Riviera,"Boulevard des Jardiniers, 06200 Nice",35624,Natural
27,Girondins Bordeaux,Bordeaux,France,Stade Matmut-Atlantique,"Cours Jules Ladoumègue, 33300 Bordeaux",42115,Natural
28,Metz,Metz,France,Stade Saint-Symphorien,"3, allée Saint-Symphorien 57000 Metz",26661,Natural
29,Monaco,Principado de Mónaco,Monaco,Louis II,"7, avenue des Castelans",18521,Natural
30,Racing Paris,París,France,,"6, avenue Maurice Ravel 75012 París",,
31,Auxerre,Auxerre,France,Stade de l'Abbé Deschamps,Route de Vaux,23467,Natural
32,Caen,"Caen, Basse-Normandie",France,Stade Michel d'Ornano,"23, boulevard Georges Pompidou 14052 Caen",21215,Natural
33,Stade Brestois,,France,Stade Francis-Le Blé,"26, rue de Quimper",15931,Natural
34,Saint-Ã‰tienne,Saint-Étienne,France,Stade Geoffroy-Guichard,"14, rue Pierre et Paul Guichard 42018 Saint-Étienne",42000,Natural
35,Cannes,cannes,France,Stade Pierre de Coubertin,Avenue Pierre Poési La Bocca 06150 Cannes,12800,
36,Olympique Lyonnais,Lyon,France,Parc Olympique Lyonnais,"350, avenue Jean Jaures 69007",59168,Natural
37,FC Mulhouse,Mulhouse,France,Stade de l'Ill,"45, Boulevard Stoessel",11303,
38,Ajax,Ámsterdam,Netherlands,Johan Cruyff Arena,ArenA Boulevard 1,53052,Natural
39,Utrecht,Utrecht,Netherlands,Stadion Galgenwaard,Herculesplein 241,24426,Natural
40,RKC Waalwijk,Waalwijk,Netherlands,Mandemakers Stadion,Akkerlaan 2,7508,Natural
41,NEC Nijmegen,Nijmegen,Netherlands,Goffertstadion,Stadionplein 1,12500,Natural
42,MVV Maastricht,Maastricht,Netherlands,Stadion De Geusselt,"Stadionplein 32, 6225XW, Maastricht",10000,Natural
43,FC Volendam,Volendam,Netherlands,Kras Stadion,"Spotlaan 10, 1131BK, Volendam",6984,Natural
44,Twente 1965,Enschede,Netherlands,De Grolsch Veste,Colosseum 65,30014,Natural
45,PSV,Eindhoven,Netherlands,Philips Stadion,Fredriklaan 10a 5616 NH Eindhoven,35119,Natural
46,Roda JC,Kerkrade,Netherlands,Parkstad Limburg Stadion,Roda J.C. Ring 1,19979,Natural
47,Vitesse,Arnhem,Netherlands,GelreDome,Batavierenweg 25,28278,Natural
48,Den Bosch,Hertogenbosch,Netherlands,BrainWash Stadion De Vliert,"victorialaan 21, 5213JG, Hertogenbosch",9000,Natural
49,Fortuna Sittard,Sittard,Netherlands,Offermans Joosten stadion,"Milaanstraat 120, 6135 LH Sittard",12500,Natural
50,Sparta Rotterdam,Rótterdam,Netherlands,Sparta-Stadion Het Kasteel,"Spartapark Noord 1, 3027 VW ROTTERDAM",11026,Natural
51,Willem II,Tilburgo,Netherlands,Koning Willem II Stadion,Goirleseweg 34,14637,Natural
52,HFC Haarlem ,,,,,,
53,Groningen,Groninga,Netherlands,Euroborg,Boumaboulevard 41,22579,Natural
54,Feyenoord,Rótterdam,Netherlands,Stadion Feijenoord,Van Zandvlietplein 1,51777,Natural
55,ADO Den Haag,La Haya,Netherlands,Kyocera Stadion,Haags Kwartier 55,15000,Natural
56,Real Burgos CF,Burgos,Spain,San Amaro,"Ctra. de Valladolid, s/n. Burgos",1000,
57,Sabadell,Sabadell,Spain,Nova Creu Alta,Plaça Olímpia 1,11981,Natural
58,Bilbao Ath.,Bilbao,Spain,Instalaciones de Lezama,"Garaioltza Auzoa, 147 48196 Lezama, Vizcaya",2500,Natural
59,Deportivo,La Coruña,Spain,Municipal Riazor,Calle Manuel Murguía,34600,Natural
60,Xerez,Jerez de la Frontera,Spain,Estadio de la Juventud,Calle Blas Infante s/n,5700,Césped natural
61,Las Palmas,Las Palmas de Gran Canaria,Spain,Gran Canaria,Calle Fondos del Segura s/n,32400,Natural
62,UE Figueres,Figueras,Spain,Municipal de Vilatenim,"Avinguda Special Olympics, s/n, 17600 Figueres (Girona)",9472,Césped Artificial
63,UD Salamanca,,Spain,Helmántico,"Carretera Zamora, S/N 37184 Villares de la Reina, Salamanca (España)",17341,Césped Natural
64,Palamós,Palamós,Spain,Nou Estadi Municipal Palamós,"Passatge Ladislao Kubala, s/n, 17230 Palamós",5824,Natural
65,Recreativo,Huelva,Spain,Nuevo Colombino,Avenida del Decano del Fútbol Español s/n,21670,Natural
66,Atlético B,Madrid,Spain,Cerro del Espino,"Carretera de Pozuelo, S/N",3900,Césped natural
67,Real Betis,Sevilla,Spain,Benito Villamarín,"Avenida de la Palmera, 41012, Sevilla",60721,Natural
68,Espanyol,Cornellá de Llobregat,Spain,RCDE Stadium,"Avinguda Baix Llobregat, 100 08940 Cornellà de Llobregat",40423,Natural
69,Real Murcia,Murcia,Spain,Enrique Roca de Murcia,"Avda. del Estadio, Churra",31179,Natural
70,Levante,Valencia,Spain,Ciutat de Valencia,Calle San Vicente de Paúl 44,25354,Natural
71,Sestao Sport Club,,Spain,,,,
72,Eibar,Eibar,Spain,Municipal de Ipurua,Calle de Ipurua,8164,Natural
73,Racing,Santander,Spain,Campos de Sport de El Sardinero,C/ Real Racing Club s/n 39005 Santander (Cantabria),22222,Césped natural
74,RM Castilla,Madrid,Spain,Alfredo Di Stéfano,"Ciudad Deportiva del Real Madrid, Valdebebas",6000,Natural
75,Elche,Elche,Spain,Martínez Valero,"Avda. Manuel Martínez Valero, 3",33732,Natural
