Stuttgarter,Darmstadt 98,2-1,Sun 27 Aug ,/match/stuttgarter-kickers/darmstadt-98/1990,1990,6,2_liga
Bayreuth SpVgg,Hessen Kassel,5-1,Sun 27 Aug ,/match/bayreuth-spvgg/hessen-kassel/1990,1990,6,2_liga
Meppen,Wattenscheid 09,1-1,Sun 27 Aug ,/match/meppen/wattenscheid-09/1990,1990,6,2_liga
VfL Osnabrück,RW Essen,1-1,Sun 27 Aug ,/match/vfl-osnabruck/rot-weiss-essen/1990,1990,6,2_liga
Hannover 96,Hertha BSC,0-2,Sun 27 Aug ,/match/hannover-96/hertha-bsc/1990,1990,6,2_liga
Schalke 04,Fortuna Köln,3-0,Sun 27 Aug ,/match/schalke-04/fortuna-koln/1990,1990,6,2_liga
Unterhaching,Saarbrücken,1-1,Sun 27 Aug ,/match/unterhaching/saarbrucken/1990,1990,6,2_liga
Blau-Weiß 1890 B.,Alemannia Aachen,1-0,Sun 27 Aug ,/match/blau-weiss-1890-berlin/alemannia-aachen/1990,1990,6,2_liga
SC Freiburg,Braunschweig,1-0,Sun 27 Aug ,/match/sc-freiburg/eintracht-brau-hellip/1990,1990,6,2_liga
MSV Duisburg,Preußen Münster,3-3,Tue 05 Sep ,/match/msv-duisburg/preuben-munster/1990,1990,6,2_liga
