Home_Team,Away_Team,Result,Link,Season,Round,League
Greuther Fürth,Dynamo Dresden,3-1,/match/greuther-furth/sg-dynamo-dresden/2006,2006,1,2_liga
Saarbrücken,VfL Bochum,0-4,/match/saarbrucken/bochum/2006,2006,1,2_liga
Energie Cottbus,Braunschweig,2-1,/match/energie-cottbus/eintracht-brau-hellip/2006,2006,1,2_liga
Hansa Rostock,Kickers Offenbach,1-2,/match/hansa-rostock/kickers-offenbach/2006,2006,1,2_liga
Karlsruher SC,Siegen,2-0,/match/karlsruher-sc/sportfreunde-s/2006,2006,1,2_liga
Unterhaching,Paderborn,3-0,/match/unterhaching/paderborn/2006,2006,1,2_liga
SC Freiburg,Wacker Burghausen,2-1,/match/sc-freiburg/wacker-burghausen/2006,2006,1,2_liga
Rot Weiss Ahlen,1860 München,1-2,/match/rot-weiss-ahlen/1860-munchen/2006,2006,1,2_liga
Erzgebirge Aue,Alemannia Aachen,2-1,/match/fc-erzgebirge-aue/alemannia-aachen/2006,2006,1,2_liga
Dynamo Dresden,SC Freiburg,2-0,/match/sg-dynamo-dresden/sc-freiburg/2006,2006,2,2_liga
1860 München,Hansa Rostock,4-1,/match/1860-munchen/hansa-rostock/2006,2006,2,2_liga
Alemannia Aachen,Karlsruher SC,2-1,/match/alemannia-aachen/karlsruher-sc/2006,2006,2,2_liga
Paderborn,Saarbrücken,5-0,/match/paderborn/saarbrucken/2006,2006,2,2_liga
Siegen,Unterhaching,4-0,/match/sportfreunde-s/unterhaching/2006,2006,2,2_liga
Kickers Offenbach,Greuther Fürth,2-1,/match/kickers-offenbach/greuther-furth/2006,2006,2,2_liga
Wacker Burghausen,Erzgebirge Aue,1-1,/match/wacker-burghausen/fc-erzgebirge-aue/2006,2006,2,2_liga
Braunschweig,Rot Weiss Ahlen,3-1,/match/eintracht-brau-hellip/rot-weiss-ahlen/2006,2006,2,2_liga
VfL Bochum,Energie Cottbus,2-2,/match/bochum/energie-cottbus/2006,2006,2,2_liga
Rot Weiss Ahlen,VfL Bochum,2-2,/match/rot-weiss-ahlen/bochum/2006,2006,3,2_liga
Hansa Rostock,Braunschweig,2-3,/match/hansa-rostock/eintracht-brau-hellip/2006,2006,3,2_liga
Dynamo Dresden,Kickers Offenbach,4-1,/match/sg-dynamo-dresden/kickers-offenbach/2006,2006,3,2_liga
Saarbrücken,Siegen,0-3,/match/saarbrucken/sportfreunde-s/2006,2006,3,2_liga
SC Freiburg,Erzgebirge Aue,2-0,/match/sc-freiburg/fc-erzgebirge-aue/2006,2006,3,2_liga
Energie Cottbus,Paderborn,1-2,/match/energie-cottbus/paderborn/2006,2006,3,2_liga
Karlsruher SC,Wacker Burghausen,0-1,/match/karlsruher-sc/wacker-burghausen/2006,2006,3,2_liga
Unterhaching,Alemannia Aachen,1-2,/match/unterhaching/alemannia-aachen/2006,2006,3,2_liga
Greuther Fürth,1860 München,2-2,/match/greuther-furth/1860-munchen/2006,2006,3,2_liga
Wacker Burghausen,Unterhaching,1-1,/match/wacker-burghausen/unterhaching/2006,2006,4,2_liga
Alemannia Aachen,Saarbrücken,4-0,/match/alemannia-aachen/saarbrucken/2006,2006,4,2_liga
1860 München,Dynamo Dresden,1-2,/match/1860-munchen/sg-dynamo-dresden/2006,2006,4,2_liga
Braunschweig,Greuther Fürth,3-0,/match/eintracht-brau-hellip/greuther-furth/2006,2006,4,2_liga
Paderborn,Rot Weiss Ahlen,1-0,/match/paderborn/rot-weiss-ahlen/2006,2006,4,2_liga
Siegen,Energie Cottbus,2-4,/match/sportfreunde-s/energie-cottbus/2006,2006,4,2_liga
Erzgebirge Aue,Karlsruher SC,0-0,/match/fc-erzgebirge-aue/karlsruher-sc/2006,2006,4,2_liga
Kickers Offenbach,SC Freiburg,2-1,/match/kickers-offenbach/sc-freiburg/2006,2006,4,2_liga
VfL Bochum,Hansa Rostock,1-0,/match/bochum/hansa-rostock/2006,2006,4,2_liga
Kickers Offenbach,1860 München,2-5,/match/kickers-offenbach/1860-munchen/2006,2006,5,2_liga
Unterhaching,Erzgebirge Aue,1-1,/match/unterhaching/fc-erzgebirge-aue/2006,2006,5,2_liga
Greuther Fürth,VfL Bochum,1-3,/match/greuther-furth/bochum/2006,2006,5,2_liga
Dynamo Dresden,Braunschweig,1-1,/match/sg-dynamo-dresden/eintracht-brau-hellip/2006,2006,5,2_liga
SC Freiburg,Karlsruher SC,0-0,/match/sc-freiburg/karlsruher-sc/2006,2006,5,2_liga
Saarbrücken,Wacker Burghausen,1-1,/match/saarbrucken/wacker-burghausen/2006,2006,5,2_liga
Energie Cottbus,Alemannia Aachen,5-1,/match/energie-cottbus/alemannia-aachen/2006,2006,5,2_liga
Rot Weiss Ahlen,Siegen,0-1,/match/rot-weiss-ahlen/sportfreunde-s/2006,2006,5,2_liga
Hansa Rostock,Paderborn,2-0,/match/hansa-rostock/paderborn/2006,2006,5,2_liga
Karlsruher SC,Unterhaching,1-0,/match/karlsruher-sc/unterhaching/2006,2006,6,2_liga
1860 München,SC Freiburg,0-1,/match/1860-munchen/sc-freiburg/2006,2006,6,2_liga
