Home_Team,Away_Team,Result,Link,Season,Round,League
Bayern München,Schalke 04,8-0,/match/bayern-munchen/schalke-04/2021,2021,1,bundesliga
Eintracht,Arminia Bielefeld,1-1,/match/eintracht-frankfurt/arminia-bielefeld/2021,2021,1,bundesliga
Köln,Hoffenheim,2-3,/match/1-fc-koln/tsg-1899-hoffenheim/2021,2021,1,bundesliga
Stuttgart,SC Freiburg,2-3,/match/stuttgart/sc-freiburg/2021,2021,1,bundesliga
Union Berlin,FC Augsburg,1-3,/match/1-fc-union-berlin/fc-augsburg/2021,2021,1,bundesliga
Werder Bremen,Hertha BSC,1-4,/match/werder-bremen/hertha-bsc/2021,2021,1,bundesliga
B. Dortmund,Mönchengladbach,3-0,/match/borussia-dortmund/borussia-monchengla/2021,2021,1,bundesliga
RB Leipzig,Mainz 05,3-1,/match/rb-leipzig/mainz-amat/2021,2021,1,bundesliga
Wolfsburg,B. Leverkusen,0-0,/match/wolfsburg/bayer-leverkusen/2021,2021,1,bundesliga
Hertha BSC,Eintracht,1-3,/match/hertha-bsc/eintracht-frankfurt/2021,2021,2,bundesliga
Arminia Bielefeld,Köln,1-0,/match/arminia-bielefeld/1-fc-koln/2021,2021,2,bundesliga
FC Augsburg,B. Dortmund,2-0,/match/fc-augsburg/borussia-dortmund/2021,2021,2,bundesliga
B. Leverkusen,RB Leipzig,1-1,/match/bayer-leverkusen/rb-leipzig/2021,2021,2,bundesliga
Mönchengladbach,Union Berlin,1-1,/match/borussia-monchengla/1-fc-union-berlin/2021,2021,2,bundesliga
Mainz 05,Stuttgart,1-4,/match/mainz-amat/stuttgart/2021,2021,2,bundesliga
Schalke 04,Werder Bremen,1-3,/match/schalke-04/werder-bremen/2021,2021,2,bundesliga
Hoffenheim,Bayern München,4-1,/match/tsg-1899-hoffenheim/bayern-munchen/2021,2021,2,bundesliga
SC Freiburg,Wolfsburg,1-1,/match/sc-freiburg/wolfsburg/2021,2021,2,bundesliga
Union Berlin,Mainz 05,4-0,/match/1-fc-union-berlin/mainz-amat/2021,2021,3,bundesliga
B. Dortmund,SC Freiburg,4-0,/match/borussia-dortmund/sc-freiburg/2021,2021,3,bundesliga
Eintracht,Hoffenheim,2-1,/match/eintracht-frankfurt/tsg-1899-hoffenheim/2021,2021,3,bundesliga
Köln,Mönchengladbach,1-3,/match/1-fc-koln/borussia-monchengla/2021,2021,3,bundesliga
Stuttgart,B. Leverkusen,1-1,/match/stuttgart/bayer-leverkusen/2021,2021,3,bundesliga
Werder Bremen,Arminia Bielefeld,1-0,/match/werder-bremen/arminia-bielefeld/2021,2021,3,bundesliga
RB Leipzig,Schalke 04,4-0,/match/rb-leipzig/schalke-04/2021,2021,3,bundesliga
Wolfsburg,FC Augsburg,0-0,/match/wolfsburg/fc-augsburg/2021,2021,3,bundesliga
Bayern München,Hertha BSC,4-3,/match/bayern-munchen/hertha-bsc/2021,2021,3,bundesliga
