Home_Team,Away_Team,Result,Link,Season,Round,League
BV Veendam ,Den Bosch,1-0,/match/veendam/fc-den-bosch/1997,1997,1,eerste_divisie
MVV Maastricht,Excelsior,3-0,/match/mvv/excelsior/1997,1997,1,eerste_divisie
Dordrecht,SC Telstar,2-1,/match/fc-dordrecht/stormvogels-telstar/1997,1997,1,eerste_divisie
HFC Haarlem ,FC Eindhoven,1-2,/match/haarlem/fc-eindhoven/1997,1997,1,eerste_divisie
Go Ahead Eagles,RBC Roosendaal,2-0,/match/go-ahead-eagles/rbc/1997,1997,1,eerste_divisie
Emmen,PEC Zwolle,4-1,/match/emmen/fc-zwolle/1997,1997,1,eerste_divisie
Heracles,ADO Den Haag,1-1,/match/heracles/ado-den-haag/1997,1997,1,eerste_divisie
Helmond Sport,TOP Oss,1-2,/match/helmond-sport/fc-oss/1997,1997,1,eerste_divisie
FC Eindhoven,MVV Maastricht,1-1,/match/fc-eindhoven/mvv/1997,1997,1,eerste_divisie
BV Veendam ,Helmond Sport,0-0,/match/veendam/helmond-sport/1997,1997,2,eerste_divisie
SC Telstar,Go Ahead Eagles,2-4,/match/stormvogels-telstar/go-ahead-eagles/1997,1997,2,eerste_divisie
TOP Oss,Heracles,3-1,/match/fc-oss/heracles/1997,1997,2,eerste_divisie
VVV Venlo,Dordrecht,2-1,/match/vvv/fc-dordrecht/1997,1997,2,eerste_divisie
Excelsior,Cambuur,0-0,/match/excelsior/sc-cambuur-leeuwarden/1997,1997,2,eerste_divisie
PEC Zwolle,Den Bosch,1-0,/match/fc-zwolle/fc-den-bosch/1997,1997,2,eerste_divisie
RBC Roosendaal,Emmen,2-4,/match/rbc/emmen/1997,1997,2,eerste_divisie
ADO Den Haag,HFC Haarlem ,1-0,/match/ado-den-haag/haarlem/1997,1997,2,eerste_divisie
Dordrecht,Excelsior,2-1,/match/fc-dordrecht/excelsior/1997,1997,2,eerste_divisie
RBC Roosendaal,Den Bosch,2-1,/match/rbc/fc-den-bosch/1997,1997,3,eerste_divisie
MVV Maastricht,ADO Den Haag,3-1,/match/mvv/ado-den-haag/1997,1997,3,eerste_divisie
FC Eindhoven,Cambuur,0-0,/match/fc-eindhoven/sc-cambuur-leeuwarden/1997,1997,3,eerste_divisie
HFC Haarlem ,TOP Oss,1-1,/match/haarlem/fc-oss/1997,1997,3,eerste_divisie
Go Ahead Eagles,VVV Venlo,1-0,/match/go-ahead-eagles/vvv/1997,1997,3,eerste_divisie
Emmen,SC Telstar,5-1,/match/emmen/stormvogels-telstar/1997,1997,3,eerste_divisie
Heracles,Helmond Sport,4-1,/match/heracles/helmond-sport/1997,1997,3,eerste_divisie
PEC Zwolle,BV Veendam ,1-1,/match/fc-zwolle/veendam/1997,1997,3,eerste_divisie
Dordrecht,FC Eindhoven,0-0,/match/fc-dordrecht/fc-eindhoven/1997,1997,3,eerste_divisie
BV Veendam ,Heracles,2-0,/match/veendam/heracles/1997,1997,4,eerste_divisie
SC Telstar,Den Bosch,2-3,/match/stormvogels-telstar/fc-den-bosch/1997,1997,4,eerste_divisie
TOP Oss,MVV Maastricht,1-1,/match/fc-oss/mvv/1997,1997,4,eerste_divisie
Emmen,VVV Venlo,0-0,/match/emmen/vvv/1997,1997,4,eerste_divisie
Helmond Sport,HFC Haarlem ,1-0,/match/helmond-sport/haarlem/1997,1997,4,eerste_divisie
PEC Zwolle,RBC Roosendaal,2-0,/match/fc-zwolle/rbc/1997,1997,4,eerste_divisie
ADO Den Haag,Cambuur,1-0,/match/ado-den-haag/sc-cambuur-leeuwarden/1997,1997,4,eerste_divisie
Excelsior,Go Ahead Eagles,0-1,/match/excelsior/go-ahead-eagles/1997,1997,4,eerste_divisie
Cambuur,VVV Venlo,2-0,/match/sc-cambuur-leeuwarden/vvv/1997,1997,4,eerste_divisie
MVV Maastricht,Helmond Sport,3-2,/match/mvv/helmond-sport/1997,1997,5,eerste_divisie
Dordrecht,ADO Den Haag,0-0,/match/fc-dordrecht/ado-den-haag/1997,1997,5,eerste_divisie
Cambuur,TOP Oss,1-2,/match/sc-cambuur-leeuwarden/fc-oss/1997,1997,5,eerste_divisie
HFC Haarlem ,Heracles,1-3,/match/haarlem/heracles/1997,1997,5,eerste_divisie
SC Telstar,PEC Zwolle,2-1,/match/stormvogels-telstar/fc-zwolle/1997,1997,5,eerste_divisie
Go Ahead Eagles,FC Eindhoven,0-1,/match/go-ahead-eagles/fc-eindhoven/1997,1997,5,eerste_divisie
Emmen,Excelsior,2-1,/match/emmen/excelsior/1997,1997,5,eerste_divisie
Den Bosch,VVV Venlo,2-2,/match/fc-den-bosch/vvv/1997,1997,5,eerste_divisie
RBC Roosendaal,BV Veendam ,0-1,/match/rbc/veendam/1997,1997,5,eerste_divisie
FC Eindhoven,Emmen,2-0,/match/fc-eindhoven/emmen/1997,1997,6,eerste_divisie
BV Veendam ,HFC Haarlem ,1-0,/match/veendam/haarlem/1997,1997,6,eerste_divisie
TOP Oss,Dordrecht,1-1,/match/fc-oss/fc-dordrecht/1997,1997,6,eerste_divisie
VVV Venlo,PEC Zwolle,1-1,/match/vvv/fc-zwolle/1997,1997,6,eerste_divisie
Heracles,MVV Maastricht,0-0,/match/heracles/mvv/1997,1997,6,eerste_divisie
Helmond Sport,Cambuur,1-4,/match/helmond-sport/sc-cambuur-leeuwarden/1997,1997,6,eerste_divisie
Excelsior,Den Bosch,0-1,/match/excelsior/fc-den-bosch/1997,1997,6,eerste_divisie
RBC Roosendaal,SC Telstar,1-0,/match/rbc/stormvogels-telstar/1997,1997,6,eerste_divisie
ADO Den Haag,Go Ahead Eagles,3-0,/match/ado-den-haag/go-ahead-eagles/1997,1997,6,eerste_divisie
MVV Maastricht,HFC Haarlem ,3-0,/match/mvv/haarlem/1997,1997,7,eerste_divisie
Dordrecht,Helmond Sport,1-0,/match/fc-dordrecht/helmond-sport/1997,1997,7,eerste_divisie
Cambuur,Heracles,1-1,/match/sc-cambuur-leeuwarden/heracles/1997,1997,7,eerste_divisie
SC Telstar,BV Veendam ,1-0,/match/stormvogels-telstar/veendam/1997,1997,7,eerste_divisie
Go Ahead Eagles,TOP Oss,1-0,/match/go-ahead-eagles/fc-oss/1997,1997,7,eerste_divisie
Emmen,ADO Den Haag,2-1,/match/emmen/ado-den-haag/1997,1997,7,eerste_divisie
Den Bosch,FC Eindhoven,1-0,/match/fc-den-bosch/fc-eindhoven/1997,1997,7,eerste_divisie
PEC Zwolle,Excelsior,3-1,/match/fc-zwolle/excelsior/1997,1997,7,eerste_divisie
RBC Roosendaal,VVV Venlo,1-0,/match/rbc/vvv/1997,1997,7,eerste_divisie
FC Eindhoven,PEC Zwolle,1-2,/match/fc-eindhoven/fc-zwolle/1997,1997,8,eerste_divisie
BV Veendam ,MVV Maastricht,4-0,/match/veendam/mvv/1997,1997,8,eerste_divisie
HFC Haarlem ,Cambuur,0-2,/match/haarlem/sc-cambuur-leeuwarden/1997,1997,8,eerste_divisie
TOP Oss,Emmen,2-3,/match/fc-oss/emmen/1997,1997,8,eerste_divisie
VVV Venlo,SC Telstar,5-1,/match/vvv/stormvogels-telstar/1997,1997,8,eerste_divisie
Heracles,Dordrecht,0-1,/match/heracles/fc-dordrecht/1997,1997,8,eerste_divisie
Helmond Sport,Go Ahead Eagles,0-5,/match/helmond-sport/go-ahead-eagles/1997,1997,8,eerste_divisie
Excelsior,RBC Roosendaal,1-0,/match/excelsior/rbc/1997,1997,8,eerste_divisie
ADO Den Haag,Den Bosch,1-1,/match/ado-den-haag/fc-den-bosch/1997,1997,8,eerste_divisie
Dordrecht,HFC Haarlem ,4-1,/match/fc-dordrecht/haarlem/1997,1997,9,eerste_divisie
Cambuur,MVV Maastricht,0-3,/match/sc-cambuur-leeuwarden/mvv/1997,1997,9,eerste_divisie
SC Telstar,Excelsior,3-1,/match/stormvogels-telstar/excelsior/1997,1997,9,eerste_divisie
TOP Oss,Den Bosch,3-1,/match/fc-oss/fc-den-bosch/1997,1997,9,eerste_divisie
Go Ahead Eagles,Heracles,2-1,/match/go-ahead-eagles/heracles/1997,1997,9,eerste_divisie
Emmen,Helmond Sport,0-0,/match/emmen/helmond-sport/1997,1997,9,eerste_divisie
VVV Venlo,BV Veendam ,1-0,/match/vvv/veendam/1997,1997,9,eerste_divisie
PEC Zwolle,ADO Den Haag,0-1,/match/fc-zwolle/ado-den-haag/1997,1997,9,eerste_divisie
RBC Roosendaal,FC Eindhoven,5-4,/match/rbc/fc-eindhoven/1997,1997,9,eerste_divisie
MVV Maastricht,Dordrecht,1-2,/match/mvv/fc-dordrecht/1997,1997,10,eerste_divisie
FC Eindhoven,SC Telstar,3-3,/match/fc-eindhoven/stormvogels-telstar/1997,1997,10,eerste_divisie
BV Veendam ,Cambuur,1-1,/match/veendam/sc-cambuur-leeuwarden/1997,1997,10,eerste_divisie
HFC Haarlem ,Go Ahead Eagles,1-1,/match/haarlem/go-ahead-eagles/1997,1997,10,eerste_divisie
TOP Oss,PEC Zwolle,2-1,/match/fc-oss/fc-zwolle/1997,1997,10,eerste_divisie
Heracles,Emmen,2-1,/match/heracles/emmen/1997,1997,10,eerste_divisie
Den Bosch,Helmond Sport,3-1,/match/fc-den-bosch/helmond-sport/1997,1997,10,eerste_divisie
Excelsior,VVV Venlo,0-0,/match/excelsior/vvv/1997,1997,10,eerste_divisie
ADO Den Haag,RBC Roosendaal,2-1,/match/ado-den-haag/rbc/1997,1997,10,eerste_divisie
Dordrecht,Cambuur,2-3,/match/fc-dordrecht/sc-cambuur-leeuwarden/1997,1997,11,eerste_divisie
SC Telstar,ADO Den Haag,0-0,/match/stormvogels-telstar/ado-den-haag/1997,1997,11,eerste_divisie
Go Ahead Eagles,MVV Maastricht,2-2,/match/go-ahead-eagles/mvv/1997,1997,11,eerste_divisie
Emmen,HFC Haarlem ,4-1,/match/emmen/haarlem/1997,1997,11,eerste_divisie
VVV Venlo,FC Eindhoven,2-1,/match/vvv/fc-eindhoven/1997,1997,11,eerste_divisie
Den Bosch,Heracles,3-2,/match/fc-den-bosch/heracles/1997,1997,11,eerste_divisie
Excelsior,BV Veendam ,0-3,/match/excelsior/veendam/1997,1997,11,eerste_divisie
PEC Zwolle,Helmond Sport,6-1,/match/fc-zwolle/helmond-sport/1997,1997,11,eerste_divisie
RBC Roosendaal,TOP Oss,1-3,/match/rbc/fc-oss/1997,1997,11,eerste_divisie
FC Eindhoven,BV Veendam ,5-3,/match/fc-eindhoven/veendam/1997,1997,12,eerste_divisie
SC Telstar,Helmond Sport,2-2,/match/stormvogels-telstar/helmond-sport/1997,1997,12,eerste_divisie
Go Ahead Eagles,Dordrecht,4-1,/match/go-ahead-eagles/fc-dordrecht/1997,1997,12,eerste_divisie
Emmen,Cambuur,3-2,/match/emmen/sc-cambuur-leeuwarden/1997,1997,12,eerste_divisie
VVV Venlo,TOP Oss,1-1,/match/vvv/fc-oss/1997,1997,12,eerste_divisie
Den Bosch,MVV Maastricht,1-1,/match/fc-den-bosch/mvv/1997,1997,12,eerste_divisie
Excelsior,ADO Den Haag,2-1,/match/excelsior/ado-den-haag/1997,1997,12,eerste_divisie
PEC Zwolle,HFC Haarlem ,3-0,/match/fc-zwolle/haarlem/1997,1997,12,eerste_divisie
RBC Roosendaal,Heracles,0-0,/match/rbc/heracles/1997,1997,12,eerste_divisie
MVV Maastricht,Emmen,1-3,/match/mvv/emmen/1997,1997,13,eerste_divisie
FC Eindhoven,Excelsior,1-0,/match/fc-eindhoven/excelsior/1997,1997,13,eerste_divisie
Cambuur,Go Ahead Eagles,3-2,/match/sc-cambuur-leeuwarden/go-ahead-eagles/1997,1997,13,eerste_divisie
BV Veendam ,Dordrecht,1-0,/match/veendam/fc-dordrecht/1997,1997,13,eerste_divisie
HFC Haarlem ,Den Bosch,2-1,/match/haarlem/fc-den-bosch/1997,1997,13,eerste_divisie
TOP Oss,SC Telstar,0-2,/match/fc-oss/stormvogels-telstar/1997,1997,13,eerste_divisie
Heracles,PEC Zwolle,2-1,/match/heracles/fc-zwolle/1997,1997,13,eerste_divisie
Helmond Sport,RBC Roosendaal,1-2,/match/helmond-sport/rbc/1997,1997,13,eerste_divisie
ADO Den Haag,VVV Venlo,1-1,/match/ado-den-haag/vvv/1997,1997,13,eerste_divisie
MVV Maastricht,PEC Zwolle,1-1,/match/mvv/fc-zwolle/1997,1997,14,eerste_divisie
Dordrecht,Emmen,0-1,/match/fc-dordrecht/emmen/1997,1997,14,eerste_divisie
Cambuur,Den Bosch,1-0,/match/sc-cambuur-leeuwarden/fc-den-bosch/1997,1997,14,eerste_divisie
BV Veendam ,Go Ahead Eagles,1-2,/match/veendam/go-ahead-eagles/1997,1997,14,eerste_divisie
