Home_Team,Away_Team,Result,Link,Season,Round,League
Sparta Rotterdam,Roda JC,2-2,/match/sparta-rotterdam/roda-jc/2001,2001,1,eredivisie
De Graafschap,PSV,2-0,/match/graafschap/psv/2001,2001,1,eredivisie
NAC Breda,RKC Waalwijk,0-1,/match/nac-breda/rkc-waalwijk/2001,2001,1,eredivisie
Feyenoord,AZ Alkmaar,2-0,/match/feyenoord/az/2001,2001,1,eredivisie
Utrecht,Heerenveen,2-0,/match/fc-utrecht/heerenveen/2001,2001,1,eredivisie
Vitesse,Twente 1965,3-1,/match/vitesse/fc-twente-1965/2001,2001,1,eredivisie
RBC Roosendaal,NEC Nijmegen,2-3,/match/rbc/nec/2001,2001,1,eredivisie
Groningen,Willem II,1-1,/match/fc-groningen/willem-ii/2001,2001,1,eredivisie
Ajax,Fortuna Sittard,5-0,/match/ajax/fortuna-sittard/2001,2001,1,eredivisie
Groningen,NEC Nijmegen,4-4,/match/fc-groningen/nec/2001,2001,2,eredivisie
Fortuna Sittard,Heerenveen,0-2,/match/fortuna-sittard/heerenveen/2001,2001,2,eredivisie
NAC Breda,Groningen,5-1,/match/nac-breda/fc-groningen/2001,2001,2,eredivisie
De Graafschap,Roda JC,1-3,/match/graafschap/roda-jc/2001,2001,2,eredivisie
AZ Alkmaar,RBC Roosendaal,3-0,/match/az/rbc/2001,2001,2,eredivisie
Willem II,RKC Waalwijk,2-0,/match/willem-ii/rkc-waalwijk/2001,2001,2,eredivisie
Twente 1965,Feyenoord,1-2,/match/fc-twente-1965/feyenoord/2001,2001,2,eredivisie
Utrecht,PSV,1-3,/match/fc-utrecht/psv/2001,2001,2,eredivisie
NEC Nijmegen,Vitesse,4-1,/match/nec/vitesse/2001,2001,2,eredivisie
Sparta Rotterdam,Ajax,3-0,/match/sparta-rotterdam/ajax/2001,2001,3,eredivisie
RKC Waalwijk,RBC Roosendaal,2-1,/match/rkc-waalwijk/rbc/2001,2001,3,eredivisie
PSV,Willem II,2-2,/match/psv/willem-ii/2001,2001,3,eredivisie
Vitesse,Sparta Rotterdam,5-1,/match/vitesse/sparta-rotterdam/2001,2001,3,eredivisie
Groningen,De Graafschap,1-0,/match/fc-groningen/graafschap/2001,2001,3,eredivisie
RKC Waalwijk,AZ Alkmaar,3-0,/match/rkc-waalwijk/az/2001,2001,3,eredivisie
NAC Breda,Roda JC,1-1,/match/nac-breda/roda-jc/2001,2001,3,eredivisie
Twente 1965,Heerenveen,2-2,/match/fc-twente-1965/heerenveen/2001,2001,3,eredivisie
RBC Roosendaal,NAC Breda,0-1,/match/rbc/nac-breda/2001,2001,3,eredivisie
Ajax,NEC Nijmegen,0-0,/match/ajax/nec/2001,2001,4,eredivisie
Fortuna Sittard,PSV,0-3,/match/fortuna-sittard/psv/2001,2001,4,eredivisie
Heerenveen,NAC Breda,2-1,/match/heerenveen/nac-breda/2001,2001,4,eredivisie
Willem II,Vitesse,2-2,/match/willem-ii/vitesse/2001,2001,4,eredivisie
Feyenoord,RKC Waalwijk,3-1,/match/feyenoord/rkc-waalwijk/2001,2001,4,eredivisie
Roda JC,Twente 1965,2-2,/match/roda-jc/fc-twente-1965/2001,2001,4,eredivisie
De Graafschap,AZ Alkmaar,4-2,/match/graafschap/az/2001,2001,4,eredivisie
Sparta Rotterdam,RBC Roosendaal,3-5,/match/sparta-rotterdam/rbc/2001,2001,4,eredivisie
NEC Nijmegen,Utrecht,1-1,/match/nec/fc-utrecht/2001,2001,4,eredivisie
Ajax,Groningen,3-1,/match/ajax/fc-groningen/2001,2001,5,eredivisie
NAC Breda,De Graafschap,3-0,/match/nac-breda/graafschap/2001,2001,5,eredivisie
PSV,Sparta Rotterdam,2-1,/match/psv/sparta-rotterdam/2001,2001,5,eredivisie
RBC Roosendaal,Groningen,0-2,/match/rbc/fc-groningen/2001,2001,5,eredivisie
AZ Alkmaar,Ajax,3-2,/match/az/ajax/2001,2001,5,eredivisie
NEC Nijmegen,Fortuna Sittard,1-1,/match/nec/fortuna-sittard/2001,2001,5,eredivisie
Vitesse,RKC Waalwijk,1-0,/match/vitesse/rkc-waalwijk/2001,2001,5,eredivisie
Utrecht,Twente 1965,1-2,/match/fc-utrecht/fc-twente-1965/2001,2001,5,eredivisie
