Home_Team,Away_Team,Result,Link,Season,Round,League
Olympique,Toulouse,4-0,/match/olympique-marsella/toulouse-fc/2019,2019,1,ligue_1
Nantes,Monaco,1-3,/match/nantes/monaco/2019,2019,1,ligue_1
Angers SCO,Nîmes,3-4,/match/angers-sco/nimes-olympique/2019,2019,1,ligue_1
Lille,Stade Rennais,3-1,/match/lillestrom/stade-rennes/2019,2019,1,ligue_1
Montpellier,Dijon FCO,1-2,/match/montpellier-hsc/dijon-fco/2019,2019,1,ligue_1
Nice,Stade de Reims,0-1,/match/nice/stade-reims/2019,2019,1,ligue_1
Saint-Étienne,Guingamp,2-1,/match/saint-etienne/guingamp/2019,2019,1,ligue_1
Olympique Lyonnais,Amiens SC,2-0,/match/olympique-lyonnais/amiens-sc/2019,2019,1,ligue_1
Girondins Bordeaux,Strasbourg,0-2,/match/bordeaux/strasbourg/2019,2019,1,ligue_1
PSG,Caen,3-0,/match/paris-saint-germain-fc/caen/2019,2019,1,ligue_1
Stade de Reims,Olympique Lyonnais,1-0,/match/stade-reims/olympique-lyonnais/2019,2019,2,ligue_1
Guingamp,PSG,1-3,/match/guingamp/paris-saint-germain-fc/2019,2019,2,ligue_1
Amiens SC,Montpellier,1-2,/match/amiens-sc/montpellier-hsc/2019,2019,2,ligue_1
Caen,Nice,1-1,/match/caen/nice/2019,2019,2,ligue_1
Dijon FCO,Nantes,2-0,/match/dijon-fco/nantes/2019,2019,2,ligue_1
Monaco,Lille,0-0,/match/monaco/lillestrom/2019,2019,2,ligue_1
Stade Rennais,Angers SCO,1-0,/match/stade-rennes/angers-sco/2019,2019,2,ligue_1
Strasbourg,Saint-Étienne,1-1,/match/strasbourg/saint-etienne/2019,2019,2,ligue_1
Toulouse,Girondins Bordeaux,2-1,/match/toulouse-fc/bordeaux/2019,2019,2,ligue_1
Nîmes,Olympique,3-1,/match/nimes-olympique/olympique-marsella/2019,2019,2,ligue_1
Olympique Lyonnais,Strasbourg,2-0,/match/olympique-lyonnais/strasbourg/2019,2019,3,ligue_1
PSG,Angers SCO,3-1,/match/paris-saint-germain-fc/angers-sco/2019,2019,3,ligue_1
Amiens SC,Stade de Reims,4-1,/match/amiens-sc/stade-reims/2019,2019,3,ligue_1
Montpellier,Saint-Étienne,0-0,/match/montpellier-hsc/saint-etienne/2019,2019,3,ligue_1
Nantes,Caen,1-1,/match/nantes/caen/2019,2019,3,ligue_1
Nice,Dijon FCO,0-4,/match/nice/dijon-fco/2019,2019,3,ligue_1
Toulouse,Nîmes,1-0,/match/toulouse-fc/nimes-olympique/2019,2019,3,ligue_1
Lille,Guingamp,3-0,/match/lillestrom/guingamp/2019,2019,3,ligue_1
Girondins Bordeaux,Monaco,2-1,/match/bordeaux/monaco/2019,2019,3,ligue_1
Olympique,Stade Rennais,2-2,/match/olympique-marsella/stade-rennes/2019,2019,3,ligue_1
Olympique Lyonnais,Nice,0-1,/match/olympique-lyonnais/nice/2019,2019,4,ligue_1
Nîmes,PSG,2-4,/match/nimes-olympique/paris-saint-germain-fc/2019,2019,4,ligue_1
Angers SCO,Lille,1-0,/match/angers-sco/lillestrom/2019,2019,4,ligue_1
Dijon FCO,Caen,0-2,/match/dijon-fco/caen/2019,2019,4,ligue_1
Guingamp,Toulouse,1-2,/match/guingamp/toulouse-fc/2019,2019,4,ligue_1
Stade de Reims,Montpellier,0-1,/match/stade-reims/montpellier-hsc/2019,2019,4,ligue_1
Strasbourg,Nantes,2-3,/match/strasbourg/nantes/2019,2019,4,ligue_1
Saint-Étienne,Amiens SC,0-0,/match/saint-etienne/amiens-sc/2019,2019,4,ligue_1
Stade Rennais,Girondins Bordeaux,2-0,/match/stade-rennes/bordeaux/2019,2019,4,ligue_1
Monaco,Olympique,2-3,/match/monaco/olympique-marsella/2019,2019,4,ligue_1
Nice,Stade Rennais,2-1,/match/nice/stade-rennes/2019,2019,5,ligue_1
PSG,Saint-Étienne,4-0,/match/paris-saint-germain-fc/saint-etienne/2019,2019,5,ligue_1
Caen,Olympique Lyonnais,2-2,/match/caen/olympique-lyonnais/2019,2019,5,ligue_1
Amiens SC,Lille,2-3,/match/amiens-sc/lillestrom/2019,2019,5,ligue_1
Dijon FCO,Angers SCO,1-3,/match/dijon-fco/angers-sco/2019,2019,5,ligue_1
Montpellier,Strasbourg,1-1,/match/montpellier-hsc/strasbourg/2019,2019,5,ligue_1
Toulouse,Monaco,1-1,/match/toulouse-fc/monaco/2019,2019,5,ligue_1
Nantes,Stade de Reims,0-0,/match/nantes/stade-reims/2019,2019,5,ligue_1
Girondins Bordeaux,Nîmes,3-3,/match/bordeaux/nimes-olympique/2019,2019,5,ligue_1
Olympique,Guingamp,4-0,/match/olympique-marsella/guingamp/2019,2019,5,ligue_1
Monaco,Nîmes,1-1,/match/monaco/nimes-olympique/2019,2019,6,ligue_1
Lille,Nantes,2-1,/match/lillestrom/nantes/2019,2019,6,ligue_1
Angers SCO,Toulouse,0-0,/match/angers-sco/toulouse-fc/2019,2019,6,ligue_1
Montpellier,Nice,1-0,/match/montpellier-hsc/nice/2019,2019,6,ligue_1
Stade de Reims,Dijon FCO,0-0,/match/stade-reims/dijon-fco/2019,2019,6,ligue_1
Saint-Étienne,Caen,2-1,/match/saint-etienne/caen/2019,2019,6,ligue_1
Strasbourg,Amiens SC,3-1,/match/strasbourg/amiens-sc/2019,2019,6,ligue_1
Stade Rennais,PSG,1-3,/match/stade-rennes/paris-saint-germain-fc/2019,2019,6,ligue_1
Guingamp,Girondins Bordeaux,1-3,/match/guingamp/bordeaux/2019,2019,6,ligue_1
Olympique Lyonnais,Olympique,4-2,/match/olympique-lyonnais/olympique-marsella/2019,2019,6,ligue_1
Monaco,Angers SCO,0-1,/match/monaco/angers-sco/2019,2019,7,ligue_1
Nantes,Nice,1-2,/match/nantes/nice/2019,2019,7,ligue_1
Toulouse,Saint-Étienne,2-3,/match/toulouse-fc/saint-etienne/2019,2019,7,ligue_1
Amiens SC,Stade Rennais,2-1,/match/amiens-sc/stade-rennes/2019,2019,7,ligue_1
Girondins Bordeaux,Lille,1-0,/match/bordeaux/lillestrom/2019,2019,7,ligue_1
Caen,Montpellier,2-2,/match/caen/montpellier-hsc/2019,2019,7,ligue_1
Dijon FCO,Olympique Lyonnais,0-3,/match/dijon-fco/olympique-lyonnais/2019,2019,7,ligue_1
Olympique,Strasbourg,3-2,/match/olympique-marsella/strasbourg/2019,2019,7,ligue_1
Nîmes,Guingamp,0-0,/match/nimes-olympique/guingamp/2019,2019,7,ligue_1
PSG,Stade de Reims,4-1,/match/paris-saint-germain-fc/stade-reims/2019,2019,7,ligue_1
Saint-Étienne,Monaco,2-0,/match/saint-etienne/monaco/2019,2019,8,ligue_1
Nice,PSG,0-3,/match/nice/paris-saint-germain-fc/2019,2019,8,ligue_1
Angers SCO,Guingamp,0-1,/match/angers-sco/guingamp/2019,2019,8,ligue_1
Caen,Amiens SC,1-0,/match/caen/amiens-sc/2019,2019,8,ligue_1
Olympique Lyonnais,Nantes,1-1,/match/olympique-lyonnais/nantes/2019,2019,8,ligue_1
Stade de Reims,Girondins Bordeaux,0-0,/match/stade-reims/bordeaux/2019,2019,8,ligue_1
Strasbourg,Dijon FCO,3-0,/match/strasbourg/dijon-fco/2019,2019,8,ligue_1
Stade Rennais,Toulouse,1-1,/match/stade-rennes/toulouse-fc/2019,2019,8,ligue_1
Montpellier,Nîmes,3-0,/match/montpellier-hsc/nimes-olympique/2019,2019,8,ligue_1
Lille,Olympique,3-0,/match/lillestrom/olympique-marsella/2019,2019,8,ligue_1
Toulouse,Nice,1-1,/match/toulouse-fc/nice/2019,2019,9,ligue_1
Lille,Saint-Étienne,3-1,/match/lillestrom/saint-etienne/2019,2019,9,ligue_1
Amiens SC,Dijon FCO,1-0,/match/amiens-sc/dijon-fco/2019,2019,9,ligue_1
Angers SCO,Strasbourg,2-2,/match/angers-sco/strasbourg/2019,2019,9,ligue_1
Guingamp,Montpellier,1-1,/match/guingamp/montpellier-hsc/2019,2019,9,ligue_1
Nîmes,Stade de Reims,0-0,/match/nimes-olympique/stade-reims/2019,2019,9,ligue_1
Girondins Bordeaux,Nantes,3-0,/match/bordeaux/nantes/2019,2019,9,ligue_1
Olympique,Caen,2-0,/match/olympique-marsella/caen/2019,2019,9,ligue_1
Monaco,Stade Rennais,1-2,/match/monaco/stade-rennes/2019,2019,9,ligue_1
PSG,Olympique Lyonnais,5-0,/match/paris-saint-germain-fc/olympique-lyonnais/2019,2019,9,ligue_1
Olympique Lyonnais,Nîmes,2-0,/match/olympique-lyonnais/nimes-olympique/2019,2019,10,ligue_1
PSG,Amiens SC,5-0,/match/paris-saint-germain-fc/amiens-sc/2019,2019,10,ligue_1
Caen,Guingamp,0-0,/match/caen/guingamp/2019,2019,10,ligue_1
Dijon FCO,Lille,1-2,/match/dijon-fco/lillestrom/2019,2019,10,ligue_1
Nantes,Toulouse,4-0,/match/nantes/toulouse-fc/2019,2019,10,ligue_1
Stade de Reims,Angers SCO,1-1,/match/stade-reims/angers-sco/2019,2019,10,ligue_1
Strasbourg,Monaco,2-1,/match/strasbourg/monaco/2019,2019,10,ligue_1
Montpellier,Girondins Bordeaux,2-0,/match/montpellier-hsc/bordeaux/2019,2019,10,ligue_1
Saint-Étienne,Stade Rennais,1-1,/match/saint-etienne/stade-rennes/2019,2019,10,ligue_1
Nice,Olympique,0-1,/match/nice/olympique-marsella/2019,2019,10,ligue_1
Nîmes,Saint-Étienne,1-1,/match/nimes-olympique/saint-etienne/2019,2019,11,ligue_1
Angers SCO,Olympique Lyonnais,1-2,/match/angers-sco/olympique-lyonnais/2019,2019,11,ligue_1
Amiens SC,Nantes,1-2,/match/amiens-sc/nantes/2019,2019,11,ligue_1
Guingamp,Strasbourg,1-1,/match/guingamp/strasbourg/2019,2019,11,ligue_1
Lille,Caen,1-0,/match/lillestrom/caen/2019,2019,11,ligue_1
Monaco,Dijon FCO,2-2,/match/monaco/dijon-fco/2019,2019,11,ligue_1
Toulouse,Montpellier,0-3,/match/toulouse-fc/montpellier-hsc/2019,2019,11,ligue_1
Stade Rennais,Stade de Reims,0-2,/match/stade-rennes/stade-reims/2019,2019,11,ligue_1
Girondins Bordeaux,Nice,0-1,/match/bordeaux/nice/2019,2019,11,ligue_1
Olympique,PSG,0-2,/match/olympique-marsella/paris-saint-germain-fc/2019,2019,11,ligue_1
PSG,Lille,2-1,/match/paris-saint-germain-fc/lillestrom/2019,2019,12,ligue_1
Olympique Lyonnais,Girondins Bordeaux,1-1,/match/olympique-lyonnais/bordeaux/2019,2019,12,ligue_1
Caen,Stade Rennais,1-2,/match/caen/stade-rennes/2019,2019,12,ligue_1
