Home_Team,Away_Team,Result,Link,Season,Round,League
Farense,Sporting CP,0-2,/match/farense/sporting-lisbon/1995,1995,1,primeira_liga
Belenenses,Estrela Amadora,0-0,/match/belenenses/estrela-amadora/1995,1995,1,primeira_liga
Benfica,Beira Mar SC,2-0,/match/benfica/beira-mar/1995,1995,1,primeira_liga
Chaves,SC Salgueiros,0-1,/match/chaves/salgueiros/1995,1995,1,primeira_liga
Gil Vicente,Tirsense,0-1,/match/gil-vicente/tirsense/1995,1995,1,primeira_liga
Marítimo,Vitória Setúbal,3-2,/match/maritimo/vitoria-setubal/1995,1995,1,primeira_liga
Porto,Sporting Braga,2-0,/match/fc-porto/sporting-braga/1995,1995,1,primeira_liga
União de Leiria,União Madeira,1-2,/match/uniao-leiria/uniao-madeira/1995,1995,1,primeira_liga
Vitória,Boavista,2-0,/match/vitoria-guimaraes/boavista/1995,1995,1,primeira_liga
Sporting CP,Belenenses,2-1,/match/sporting-lisbon/belenenses/1995,1995,2,primeira_liga
Beira Mar SC,Porto,0-2,/match/beira-mar/fc-porto/1995,1995,2,primeira_liga
Boavista,Farense,2-1,/match/boavista/farense/1995,1995,2,primeira_liga
Sporting Braga,Gil Vicente,1-1,/match/sporting-braga/gil-vicente/1995,1995,2,primeira_liga
Estrela Amadora,Marítimo,1-0,/match/estrela-amadora/maritimo/1995,1995,2,primeira_liga
SC Salgueiros,Vitória,0-0,/match/salgueiros/vitoria-guimaraes/1995,1995,2,primeira_liga
Tirsense,Chaves,0-1,/match/tirsense/chaves/1995,1995,2,primeira_liga
União Madeira,Benfica,0-2,/match/uniao-madeira/benfica/1995,1995,2,primeira_liga
Vitória Setúbal,União de Leiria,2-2,/match/vitoria-setubal/uniao-leiria/1995,1995,2,primeira_liga
Marítimo,União de Leiria,2-0,/match/maritimo/uniao-leiria/1995,1995,3,primeira_liga
Belenenses,Boavista,3-1,/match/belenenses/boavista/1995,1995,3,primeira_liga
Benfica,Vitória Setúbal,1-0,/match/benfica/vitoria-setubal/1995,1995,3,primeira_liga
Estrela Amadora,Sporting CP,0-2,/match/estrela-amadora/sporting-lisbon/1995,1995,3,primeira_liga
Chaves,Sporting Braga,1-0,/match/chaves/sporting-braga/1995,1995,3,primeira_liga
Farense,SC Salgueiros,1-0,/match/farense/salgueiros/1995,1995,3,primeira_liga
Gil Vicente,Beira Mar SC,0-1,/match/gil-vicente/beira-mar/1995,1995,3,primeira_liga
Porto,União Madeira,3-0,/match/fc-porto/uniao-madeira/1995,1995,3,primeira_liga
Vitória,Tirsense,1-0,/match/vitoria-guimaraes/tirsense/1995,1995,3,primeira_liga
Beira Mar SC,Chaves,4-2,/match/beira-mar/chaves/1995,1995,4,primeira_liga
Boavista,Estrela Amadora,2-1,/match/boavista/estrela-amadora/1995,1995,4,primeira_liga
Sporting Braga,Vitória,3-1,/match/sporting-braga/vitoria-guimaraes/1995,1995,4,primeira_liga
SC Salgueiros,Belenenses,1-0,/match/salgueiros/belenenses/1995,1995,4,primeira_liga
Sporting CP,Marítimo,2-0,/match/sporting-lisbon/maritimo/1995,1995,4,primeira_liga
Tirsense,Farense,3-0,/match/tirsense/farense/1995,1995,4,primeira_liga
União Madeira,Gil Vicente,2-0,/match/uniao-madeira/gil-vicente/1995,1995,4,primeira_liga
União de Leiria,Benfica,1-0,/match/uniao-leiria/benfica/1995,1995,4,primeira_liga
Vitória Setúbal,Porto,2-3,/match/vitoria-setubal/fc-porto/1995,1995,4,primeira_liga
Belenenses,Tirsense,0-1,/match/belenenses/tirsense/1995,1995,5,primeira_liga
Chaves,União Madeira,5-1,/match/chaves/uniao-madeira/1995,1995,5,primeira_liga
Estrela Amadora,SC Salgueiros,4-0,/match/estrela-amadora/salgueiros/1995,1995,5,primeira_liga
Farense,Sporting Braga,0-1,/match/farense/sporting-braga/1995,1995,5,primeira_liga
Gil Vicente,Vitória Setúbal,3-0,/match/gil-vicente/vitoria-setubal/1995,1995,5,primeira_liga
Porto,União de Leiria,2-0,/match/fc-porto/uniao-leiria/1995,1995,5,primeira_liga
Sporting CP,Boavista,2-2,/match/sporting-lisbon/boavista/1995,1995,5,primeira_liga
Vitória,Beira Mar SC,1-0,/match/vitoria-guimaraes/beira-mar/1995,1995,5,primeira_liga
Marítimo,Benfica,0-3,/match/maritimo/benfica/1995,1995,5,primeira_liga
Beira Mar SC,Farense,1-3,/match/beira-mar/farense/1995,1995,6,primeira_liga
Boavista,Marítimo,1-0,/match/boavista/maritimo/1995,1995,6,primeira_liga
Sporting Braga,Belenenses,4-2,/match/sporting-braga/belenenses/1995,1995,6,primeira_liga
SC Salgueiros,Sporting CP,2-3,/match/salgueiros/sporting-lisbon/1995,1995,6,primeira_liga
Tirsense,Estrela Amadora,3-1,/match/tirsense/estrela-amadora/1995,1995,6,primeira_liga
União Madeira,Vitória,3-3,/match/uniao-madeira/vitoria-guimaraes/1995,1995,6,primeira_liga
União de Leiria,Gil Vicente,3-0,/match/uniao-leiria/gil-vicente/1995,1995,6,primeira_liga
Vitória Setúbal,Chaves,0-1,/match/vitoria-setubal/chaves/1995,1995,6,primeira_liga
Benfica,Porto,1-1,/match/benfica/fc-porto/1995,1995,6,primeira_liga
Belenenses,Beira Mar SC,3-0,/match/belenenses/beira-mar/1995,1995,7,primeira_liga
Estrela Amadora,Sporting Braga,4-0,/match/estrela-amadora/sporting-braga/1995,1995,7,primeira_liga
Vitória,Vitória Setúbal,1-1,/match/vitoria-guimaraes/vitoria-setubal/1995,1995,7,primeira_liga
Boavista,SC Salgueiros,1-0,/match/boavista/salgueiros/1995,1995,7,primeira_liga
Chaves,União de Leiria,1-1,/match/chaves/uniao-leiria/1995,1995,7,primeira_liga
Farense,União Madeira,2-1,/match/farense/uniao-madeira/1995,1995,7,primeira_liga
Gil Vicente,Benfica,1-0,/match/gil-vicente/benfica/1995,1995,7,primeira_liga
Marítimo,Porto,2-1,/match/maritimo/fc-porto/1995,1995,7,primeira_liga
Sporting CP,Tirsense,2-0,/match/sporting-lisbon/tirsense/1995,1995,7,primeira_liga
Beira Mar SC,Estrela Amadora,2-0,/match/beira-mar/estrela-amadora/1995,1995,8,primeira_liga
Benfica,Chaves,5-0,/match/benfica/chaves/1995,1995,8,primeira_liga
Sporting Braga,Sporting CP,0-2,/match/sporting-braga/sporting-lisbon/1995,1995,8,primeira_liga
Porto,Gil Vicente,1-0,/match/fc-porto/gil-vicente/1995,1995,8,primeira_liga
SC Salgueiros,Marítimo,0-0,/match/salgueiros/maritimo/1995,1995,8,primeira_liga
Tirsense,Boavista,2-1,/match/tirsense/boavista/1995,1995,8,primeira_liga
União Madeira,Belenenses,0-1,/match/uniao-madeira/belenenses/1995,1995,8,primeira_liga
União de Leiria,Vitória,2-1,/match/uniao-leiria/vitoria-guimaraes/1995,1995,8,primeira_liga
Vitória Setúbal,Farense,1-1,/match/vitoria-setubal/farense/1995,1995,8,primeira_liga
Belenenses,Vitória Setúbal,1-0,/match/belenenses/vitoria-setubal/1995,1995,9,primeira_liga
Boavista,Sporting Braga,0-0,/match/boavista/sporting-braga/1995,1995,9,primeira_liga
Chaves,Porto,0-4,/match/chaves/fc-porto/1995,1995,9,primeira_liga
Estrela Amadora,União Madeira,1-1,/match/estrela-amadora/uniao-madeira/1995,1995,9,primeira_liga
Farense,União de Leiria,1-1,/match/farense/uniao-leiria/1995,1995,9,primeira_liga
Marítimo,Gil Vicente,1-0,/match/maritimo/gil-vicente/1995,1995,9,primeira_liga
SC Salgueiros,Tirsense,0-2,/match/salgueiros/tirsense/1995,1995,9,primeira_liga
Sporting CP,Beira Mar SC,2-0,/match/sporting-lisbon/beira-mar/1995,1995,9,primeira_liga
Vitória,Benfica,1-3,/match/vitoria-guimaraes/benfica/1995,1995,9,primeira_liga
Beira Mar SC,Boavista,3-1,/match/beira-mar/boavista/1995,1995,10,primeira_liga
Benfica,Farense,2-1,/match/benfica/farense/1995,1995,10,primeira_liga
Sporting Braga,SC Salgueiros,2-1,/match/sporting-braga/salgueiros/1995,1995,10,primeira_liga
Gil Vicente,Chaves,2-0,/match/gil-vicente/chaves/1995,1995,10,primeira_liga
Porto,Vitória,3-0,/match/fc-porto/vitoria-guimaraes/1995,1995,10,primeira_liga
Tirsense,Marítimo,0-1,/match/tirsense/maritimo/1995,1995,10,primeira_liga
União Madeira,Sporting CP,1-1,/match/uniao-madeira/sporting-lisbon/1995,1995,10,primeira_liga
União de Leiria,Belenenses,1-0,/match/uniao-leiria/belenenses/1995,1995,10,primeira_liga
Vitória Setúbal,Estrela Amadora,0-0,/match/vitoria-setubal/estrela-amadora/1995,1995,10,primeira_liga
Belenenses,Benfica,1-1,/match/belenenses/benfica/1995,1995,11,primeira_liga
Boavista,União Madeira,3-1,/match/boavista/uniao-madeira/1995,1995,11,primeira_liga
Estrela Amadora,União de Leiria,2-3,/match/estrela-amadora/uniao-leiria/1995,1995,11,primeira_liga
Farense,Porto,0-3,/match/farense/fc-porto/1995,1995,11,primeira_liga
Marítimo,Chaves,4-1,/match/maritimo/chaves/1995,1995,11,primeira_liga
