Home_Team,Away_Team,Result,Link,Season,Round,League
Barcelona,Real Madrid,2-1,/match/barcelona/real-madrid/1993,1993,1,primera_division
Valencia,Rayo Vallecano,1-0,/match/valencia-cf/rayo-vallecano/1993,1993,1,primera_division
Real Burgos CF,R. Sociedad,4-0,/match/real-burgos-cf/real-sociedad/1993,1993,1,primera_division
Albacete,Sevilla,3-4,/match/albacete/sevilla/1993,1993,1,primera_division
Real Zaragoza,Espanyol,2-1,/match/real-zaragoza/espanyol/1993,1993,1,primera_division
Atlético,Tenerife,3-2,/match/atletico-madrid/tenerife/1993,1993,1,primera_division
Deportivo,Celta,2-0,/match/deportivo/celta/1993,1993,1,primera_division
Real Sporting,Osasuna,0-0,/match/sporting-gijon/osasuna/1993,1993,1,primera_division
CD Logroñés,Real Oviedo,1-0,/match/logrones-cd/real-oviedo/1993,1993,1,primera_division
Athletic,Cádiz,2-1,/match/athletic-bilbao/cadiz/1993,1993,1,primera_division
R. Sociedad,Real Sporting,1-2,/match/real-sociedad/sporting-gijon/1993,1993,2,primera_division
Tenerife,Barcelona,1-1,/match/tenerife/barcelona/1993,1993,2,primera_division
Real Oviedo,Athletic,1-0,/match/real-oviedo/athletic-bilbao/1993,1993,2,primera_division
Sevilla,Deportivo,1-3,/match/sevilla/deportivo/1993,1993,2,primera_division
Celta,Valencia,0-0,/match/celta/valencia-cf/1993,1993,2,primera_division
Espanyol,Atlético,1-3,/match/espanyol/atletico-madrid/1993,1993,2,primera_division
Osasuna,Albacete,3-0,/match/osasuna/albacete/1993,1993,2,primera_division
Rayo Vallecano,CD Logroñés,2-1,/match/rayo-vallecano/logrones-cd/1993,1993,2,primera_division
Real Madrid,Real Burgos CF,3-0,/match/real-madrid/real-burgos-cf/1993,1993,2,primera_division
Cádiz,Real Zaragoza,1-1,/match/cadiz/real-zaragoza/1993,1993,2,primera_division
Atlético,Barcelona,1-4,/match/atletico-madrid/barcelona/1993,1993,3,primera_division
CD Logroñés,Celta,0-1,/match/logrones-cd/celta/1993,1993,3,primera_division
Valencia,Sevilla,1-1,/match/valencia-cf/sevilla/1993,1993,3,primera_division
Real Zaragoza,Real Oviedo,1-0,/match/real-zaragoza/real-oviedo/1993,1993,3,primera_division
Albacete,R. Sociedad,1-2,/match/albacete/real-sociedad/1993,1993,3,primera_division
Athletic,Rayo Vallecano,4-2,/match/athletic-bilbao/rayo-vallecano/1993,1993,3,primera_division
Deportivo,Osasuna,2-1,/match/deportivo/osasuna/1993,1993,3,primera_division
Espanyol,Cádiz,1-2,/match/espanyol/cadiz/1993,1993,3,primera_division
Real Sporting,Real Madrid,0-0,/match/sporting-gijon/real-madrid/1993,1993,3,primera_division
Real Burgos CF,Tenerife,0-3,/match/real-burgos-cf/tenerife/1993,1993,3,primera_division
