Atlético B,Espanyol,2-1,Sun 15 Oct ,/match/at-madrid-b/espanyol/1990,1990,7,segunda_division
Palamós,Bilbao Ath.,0-1,Sun 15 Oct ,/match/palamos-cf/athletic-bilbao-b/1990,1990,7,segunda_division
Sabadell,UE Figueres,2-1,Sun 15 Oct ,/match/sabadell/figueres/1990,1990,7,segunda_division
Sestao Sport Club,Real Betis,0-2,Sun 15 Oct ,/match/sestao-sport-club/betis/1990,1990,7,segunda_division
Levante,UD Salamanca,1-2,Sun 15 Oct ,/match/levante/salamanca/1990,1990,7,segunda_division
Real Murcia,Elche,1-0,Sun 15 Oct ,/match/real-murcia/elche/1990,1990,7,segunda_division
Xerez,Eibar,1-0,Sun 15 Oct ,/match/xerez/eibar/1990,1990,7,segunda_division
Racing,Real Burgos CF,0-0,Sun 15 Oct ,/match/racing/real-burgos-cf/1990,1990,7,segunda_division
Deportivo,RM Castilla,0-1,Sun 15 Oct ,/match/deportivo/rm-castilla/1990,1990,7,segunda_division
Las Palmas,Recreativo,2-1,Sun 15 Oct ,/match/ud-palmas/recreativo/1990,1990,7,segunda_division
