Home_Team,Away_Team,Result,Link,Season,Round,League
Lugo,Extremadura,0-0,/match/lugo/extremadura-ud/2020,2020,1,segunda_division
Racing,Málaga,0-1,/match/racing/malaga/2020,2020,1,segunda_division
Almería,Albacete,3-0,/match/almeria/albacete/2020,2020,1,segunda_division
Elche,Fuenlabrada,0-2,/match/elche/fuenlabrada/2020,2020,1,segunda_division
Rayo Vallecano,Mirandés,2-2,/match/rayo-vallecano/mirandes/2020,2020,1,segunda_division
Real Zaragoza,Tenerife,2-0,/match/real-zaragoza/tenerife/2020,2020,1,segunda_division
Deportivo,Real Oviedo,3-2,/match/deportivo/real-oviedo/2020,2020,1,segunda_division
Numancia,Alcorcón,0-1,/match/numancia/ad-alcorcon/2020,2020,1,segunda_division
Girona,Real Sporting,1-1,/match/girona-fc/sporting-gijon/2020,2020,1,segunda_division
Cádiz,Ponferradina,3-1,/match/cadiz/ponferradina-sd/2020,2020,1,segunda_division
Las Palmas,Huesca,0-1,/match/ud-palmas/huesca/2020,2020,1,segunda_division
Albacete,Girona,1-0,/match/albacete/girona-fc/2020,2020,2,segunda_division
Real Oviedo,Lugo,1-1,/match/real-oviedo/lugo/2020,2020,2,segunda_division
Racing,Almería,1-1,/match/racing/almeria/2020,2020,2,segunda_division
Mirandés,Cádiz,1-2,/match/mirandes/cadiz/2020,2020,2,segunda_division
Alcorcón,Elche,1-2,/match/ad-alcorcon/elche/2020,2020,2,segunda_division
Málaga,Las Palmas,1-1,/match/malaga/ud-palmas/2020,2020,2,segunda_division
Ponferradina,Real Zaragoza,1-1,/match/ponferradina-sd/real-zaragoza/2020,2020,2,segunda_division
Real Sporting,Rayo Vallecano,1-1,/match/sporting-gijon/rayo-vallecano/2020,2020,2,segunda_division
Huesca,Deportivo,3-1,/match/huesca/deportivo/2020,2020,2,segunda_division
Tenerife,Numancia,3-2,/match/tenerife/numancia/2020,2020,2,segunda_division
Extremadura,Fuenlabrada,1-2,/match/extremadura-ud/fuenlabrada/2020,2020,2,segunda_division
Real Zaragoza,Elche,1-0,/match/real-zaragoza/elche/2020,2020,3,segunda_division
Fuenlabrada,Real Oviedo,2-1,/match/fuenlabrada/real-oviedo/2020,2020,3,segunda_division
Numancia,Mirandés,2-0,/match/numancia/mirandes/2020,2020,3,segunda_division
Almería,Huesca,1-0,/match/almeria/huesca/2020,2020,3,segunda_division
Las Palmas,Racing,2-2,/match/ud-palmas/racing/2020,2020,3,segunda_division
Lugo,Alcorcón,2-4,/match/lugo/ad-alcorcon/2020,2020,3,segunda_division
Rayo Vallecano,Deportivo,3-1,/match/rayo-vallecano/deportivo/2020,2020,3,segunda_division
