Home_Team,Away_Team,Result,Link,Season,Round,League
Olhanense,Benfica II,1-1,/match/sc-olhanense/benfica-ii/2016,2016,1,segunda_liga
Gil Vicente,Mafra,1-1,/match/gil-vicente/mafra/2016,2016,1,segunda_liga
Desportivo Aves,SP. Covilhã,0-1,/match/desportivo-aves/sporting-covilha/2016,2016,1,segunda_liga
Vitória,CD Santa Clara,0-1,/match/vitoria-guimar/santa-clara/2016,2016,1,segunda_liga
UD Oliveirense,Oriental Lisboa,0-3,/match/ud-oliveirense/oriental-lisboa/2016,2016,1,segunda_liga
Chaves,Sporting Braga II,2-2,/match/chaves/sporting-braga-ii/2016,2016,1,segunda_liga
Academico Viseu,Farense,1-0,/match/academico-viseu/farense/2016,2016,1,segunda_liga
Sporting CP II,Feirense,0-0,/match/sporting-cp-ii/feirense/2016,2016,1,segunda_liga
Penafiel,Leixões,0-0,/match/penafiel/leixoes/2016,2016,1,segunda_liga
Atlético CP,SC Freamunde,1-0,/match/atletico-cp/sc-freamunde/2016,2016,1,segunda_liga
Varzim,Famalicão,1-2,/match/varzim/famalicao/2016,2016,1,segunda_liga
Porto II,Portimonense,1-2,/match/porto-ii/portimonense/2016,2016,1,segunda_liga
Mafra,Sporting CP II,2-0,/match/mafra/sporting-cp-ii/2016,2016,2,segunda_liga
Benfica II,Penafiel,1-0,/match/benfica-ii/penafiel/2016,2016,2,segunda_liga
Sporting Braga II,Gil Vicente,1-0,/match/sporting-braga-ii/gil-vicente/2016,2016,2,segunda_liga
Famalicão,Olhanense,1-0,/match/famalicao/sc-olhanense/2016,2016,2,segunda_liga
Farense,UD Oliveirense,2-0,/match/farense/ud-oliveirense/2016,2016,2,segunda_liga
SC Freamunde,Varzim,1-1,/match/sc-freamunde/varzim/2016,2016,2,segunda_liga
Portimonense,Academico Viseu,1-2,/match/portimonense/academico-viseu/2016,2016,2,segunda_liga
Leixões,Atlético CP,0-1,/match/leixoes/atletico-cp/2016,2016,2,segunda_liga
Feirense,Desportivo Aves,2-2,/match/feirense/desportivo-aves/2016,2016,2,segunda_liga
Oriental Lisboa,Vitória,4-4,/match/oriental-lisboa/vitoria-guimar/2016,2016,2,segunda_liga
CD Santa Clara,Porto II,1-2,/match/santa-clara/porto-ii/2016,2016,2,segunda_liga
SP. Covilhã,Chaves,0-1,/match/sporting-covilha/chaves/2016,2016,2,segunda_liga
Atlético CP,Benfica II,3-2,/match/atletico-cp/benfica-ii/2016,2016,3,segunda_liga
Desportivo Aves,Portimonense,1-1,/match/desportivo-aves/portimonense/2016,2016,3,segunda_liga
Chaves,Famalicão,0-0,/match/chaves/famalicao/2016,2016,3,segunda_liga
Feirense,Mafra,0-2,/match/feirense/mafra/2016,2016,3,segunda_liga
Olhanense,Penafiel,2-1,/match/sc-olhanense/penafiel/2016,2016,3,segunda_liga
UD Oliveirense,CD Santa Clara,1-2,/match/ud-oliveirense/santa-clara/2016,2016,3,segunda_liga
Academico Viseu,Sporting Braga II,1-1,/match/academico-viseu/sporting-braga-ii/2016,2016,3,segunda_liga
Sporting CP II,Farense,1-0,/match/sporting-cp-ii/farense/2016,2016,3,segunda_liga
Vitória,SC Freamunde,0-0,/match/vitoria-guimar/sc-freamunde/2016,2016,3,segunda_liga
Varzim,Leixões,1-0,/match/varzim/leixoes/2016,2016,3,segunda_liga
Porto II,Oriental Lisboa,2-1,/match/porto-ii/oriental-lisboa/2016,2016,3,segunda_liga
