Home_Team,Away_Team,Result,Link,Season,Round,League
Livorno,Lecce,2-1,/match/livorno/lecce/2006,2006,1,serie_a
Fiorentina,Sampdoria,2-1,/match/fiorentina/sampdoria/2006,2006,1,serie_a
Siena,Cagliari,2-1,/match/siena/cagliari/2006,2006,1,serie_a
Reggina,Roma,0-3,/match/reggina/roma/2006,2006,1,serie_a
Parma,Palermo FC,1-1,/match/parma-fc/palermo/2006,2006,1,serie_a
Lazio,Messina,1-0,/match/lazio/messina/2006,2006,1,serie_a
Inter,Treviso,3-0,/match/internazionale/treviso/2006,2006,1,serie_a
Ascoli,Milan,1-1,/match/ascoli/milan/2006,2006,1,serie_a
Udinese,Empoli,1-0,/match/udinese/empoli-fc/2006,2006,1,serie_a
Juventus,Chievo,1-0,/match/juventus-fc/chievo/2006,2006,1,serie_a
Palermo FC,Inter,3-2,/match/palermo/internazionale/2006,2006,2,serie_a
Milan,Siena,3-1,/match/milan/siena/2006,2006,2,serie_a
Sampdoria,Reggina,3-2,/match/sampdoria/reggina/2006,2006,2,serie_a
Messina,Fiorentina,2-2,/match/messina/fiorentina/2006,2006,2,serie_a
Lecce,Ascoli,0-0,/match/lecce/ascoli/2006,2006,2,serie_a
Empoli,Juventus,0-4,/match/empoli-fc/juventus-fc/2006,2006,2,serie_a
Chievo,Parma,1-0,/match/chievo/parma-fc/2006,2006,2,serie_a
Roma,Udinese,0-1,/match/roma/udinese/2006,2006,2,serie_a
Treviso,Livorno,0-1,/match/treviso/livorno/2006,2006,2,serie_a
Cagliari,Lazio,1-1,/match/cagliari/lazio/2006,2006,2,serie_a
Parma,Empoli,1-0,/match/parma-fc/empoli-fc/2006,2006,3,serie_a
Inter,Lecce,3-0,/match/internazionale/lecce/2006,2006,3,serie_a
Sampdoria,Milan,2-1,/match/sampdoria/milan/2006,2006,3,serie_a
Reggina,Chievo,1-3,/match/reggina/chievo/2006,2006,3,serie_a
Lazio,Treviso,3-1,/match/lazio/treviso/2006,2006,3,serie_a
Juventus,Ascoli,2-1,/match/juventus-fc/ascoli/2006,2006,3,serie_a
Fiorentina,Udinese,4-2,/match/fiorentina/udinese/2006,2006,3,serie_a
Cagliari,Messina,1-1,/match/cagliari/messina/2006,2006,3,serie_a
Siena,Palermo FC,1-2,/match/siena/palermo/2006,2006,3,serie_a
Livorno,Roma,0-0,/match/livorno/roma/2006,2006,3,serie_a
Milan,Lazio,2-0,/match/milan/lazio/2006,2006,4,serie_a
Treviso,Sampdoria,0-2,/match/treviso/sampdoria/2006,2006,4,serie_a
Palermo FC,Reggina,1-0,/match/palermo/reggina/2006,2006,4,serie_a
Messina,Livorno,0-0,/match/messina/livorno/2006,2006,4,serie_a
Lecce,Fiorentina,1-3,/match/lecce/fiorentina/2006,2006,4,serie_a
Empoli,Cagliari,3-1,/match/empoli-fc/cagliari/2006,2006,4,serie_a
Chievo,Inter,0-1,/match/chievo/internazionale/2006,2006,4,serie_a
Ascoli,Siena,1-1,/match/ascoli/siena/2006,2006,4,serie_a
Roma,Parma,4-1,/match/roma/parma-fc/2006,2006,4,serie_a
Udinese,Juventus,0-1,/match/udinese/juventus-fc/2006,2006,4,serie_a
Reggina,Udinese,2-0,/match/reggina/udinese/2006,2006,5,serie_a
Parma,Juventus,1-2,/match/parma-fc/juventus-fc/2006,2006,5,serie_a
Siena,Messina,4-2,/match/siena/messina/2006,2006,5,serie_a
Sampdoria,Chievo,1-2,/match/sampdoria/chievo/2006,2006,5,serie_a
Livorno,Ascoli,2-0,/match/livorno/ascoli/2006,2006,5,serie_a
Lazio,Palermo FC,4-2,/match/lazio/palermo/2006,2006,5,serie_a
Empoli,Lecce,1-0,/match/empoli-fc/lecce/2006,2006,5,serie_a
Cagliari,Roma,0-0,/match/cagliari/roma/2006,2006,5,serie_a
Treviso,Milan,0-2,/match/treviso/milan/2006,2006,5,serie_a
Inter,Fiorentina,1-0,/match/internazionale/fiorentina/2006,2006,5,serie_a
Chievo,Treviso,0-0,/match/chievo/treviso/2006,2006,6,serie_a
Udinese,Lazio,3-0,/match/udinese/lazio/2006,2006,6,serie_a
Messina,Sampdoria,1-4,/match/messina/sampdoria/2006,2006,6,serie_a
Lecce,Cagliari,3-0,/match/lecce/cagliari/2006,2006,6,serie_a
