Home_Team,Away_Team,Result,Link,Season,Round,League
AC Arezzo,Mantova,1-1,/match/ac-arezzo/ac-mantova/2007,2007,1,serie_b
Spezia,Cesena,1-1,/match/asd-spezia/ac-cesena/2007,2007,1,serie_b
Napoli,Treviso,4-2,/match/napoli/treviso/2007,2007,1,serie_b
Vicenza ,Genoa,1-2,/match/vicenza-calcio/genoa/2007,2007,1,serie_b
Modena,Hellas Verona,0-1,/match/modena-fc/hellas-verona-fc/2007,2007,1,serie_b
Triestina ,Frosinone,1-0,/match/us-triestina-calcio/frosinone-calcio/2007,2007,1,serie_b
Lecce,AlbinoLeffe,3-1,/match/lecce/uc-albinoleffe/2007,2007,1,serie_b
Crotone,SSC Bari,3-2,/match/fc-crotone/as-bari/2007,2007,1,serie_b
Rimini,Juventus,1-1,/match/rimini-calcio/juventus-fc/2007,2007,1,serie_b
Brescia,Piacenza,2-0,/match/brescia/piacenza/2007,2007,1,serie_b
Pescara,Bologna,0-1,/match/pescara-calcio/bologna/2007,2007,1,serie_b
AlbinoLeffe,Modena,0-0,/match/uc-albinoleffe/modena-fc/2007,2007,2,serie_b
SSC Bari,Brescia,1-1,/match/as-bari/brescia/2007,2007,2,serie_b
Juventus,Vicenza ,2-1,/match/juventus-fc/vicenza-calcio/2007,2007,2,serie_b
Frosinone,AC Arezzo,0-0,/match/frosinone-calcio/ac-arezzo/2007,2007,2,serie_b
Genoa,Rimini,2-1,/match/genoa/rimini-calcio/2007,2007,2,serie_b
Hellas Verona,Lecce,1-1,/match/hellas-verona-fc/lecce/2007,2007,2,serie_b
Cesena,Crotone,3-1,/match/ac-cesena/fc-crotone/2007,2007,2,serie_b
Treviso,Triestina ,0-0,/match/treviso/us-triestina-calcio/2007,2007,2,serie_b
Bologna,Spezia,2-1,/match/bologna/asd-spezia/2007,2007,2,serie_b
Piacenza,Napoli,2-1,/match/piacenza/napoli/2007,2007,2,serie_b
Mantova,Pescara,2-1,/match/ac-mantova/pescara-calcio/2007,2007,2,serie_b
Pescara,SSC Bari,0-1,/match/pescara-calcio/as-bari/2007,2007,3,serie_b
Modena,Genoa,2-0,/match/modena-fc/genoa/2007,2007,3,serie_b
Triestina ,AlbinoLeffe,1-2,/match/us-triestina-calcio/uc-albinoleffe/2007,2007,3,serie_b
Lecce,Mantova,2-0,/match/lecce/ac-mantova/2007,2007,3,serie_b
Crotone,Juventus,0-3,/match/fc-crotone/juventus-fc/2007,2007,3,serie_b
Rimini,Frosinone,2-1,/match/rimini-calcio/frosinone-calcio/2007,2007,3,serie_b
Brescia,Treviso,2-1,/match/brescia/treviso/2007,2007,3,serie_b
Piacenza,Bologna,1-0,/match/piacenza/bologna/2007,2007,3,serie_b
AC Arezzo,Napoli,0-0,/match/ac-arezzo/napoli/2007,2007,3,serie_b
Spezia,Hellas Verona,1-0,/match/asd-spezia/hellas-verona-fc/2007,2007,3,serie_b
Vicenza ,Cesena,0-1,/match/vicenza-calcio/ac-cesena/2007,2007,3,serie_b
Hellas Verona,Brescia,0-1,/match/hellas-verona-fc/brescia/2007,2007,4,serie_b
Frosinone,Spezia,2-2,/match/frosinone-calcio/asd-spezia/2007,2007,4,serie_b
Cesena,Pescara,3-3,/match/ac-cesena/pescara-calcio/2007,2007,4,serie_b
Napoli,Triestina ,1-1,/match/napoli/us-triestina-calcio/2007,2007,4,serie_b
Mantova,Crotone,3-0,/match/ac-mantova/fc-crotone/2007,2007,4,serie_b
SSC Bari,Vicenza ,0-0,/match/as-bari/vicenza-calcio/2007,2007,4,serie_b
Juventus,Modena,4-0,/match/juventus-fc/modena-fc/2007,2007,4,serie_b
AlbinoLeffe,AC Arezzo,0-0,/match/uc-albinoleffe/ac-arezzo/2007,2007,4,serie_b
Genoa,Piacenza,2-0,/match/genoa/piacenza/2007,2007,4,serie_b
Bologna,Rimini,1-3,/match/bologna/rimini-calcio/2007,2007,4,serie_b
Treviso,Lecce,1-0,/match/treviso/lecce/2007,2007,4,serie_b
AC Arezzo,SSC Bari,0-1,/match/ac-arezzo/as-bari/2007,2007,5,serie_b
Lecce,Genoa,3-2,/match/lecce/genoa/2007,2007,5,serie_b
Crotone,Treviso,0-2,/match/fc-crotone/treviso/2007,2007,5,serie_b
Spezia,Napoli,0-1,/match/asd-spezia/napoli/2007,2007,5,serie_b
Brescia,AlbinoLeffe,1-1,/match/brescia/uc-albinoleffe/2007,2007,5,serie_b
Rimini,Modena,1-1,/match/rimini-calcio/modena-fc/2007,2007,5,serie_b
Bologna,Cesena,1-1,/match/bologna/ac-cesena/2007,2007,5,serie_b
Piacenza,Juventus,0-2,/match/piacenza/juventus-fc/2007,2007,5,serie_b
Pescara,Hellas Verona,0-0,/match/pescara-calcio/hellas-verona-fc/2007,2007,5,serie_b
Vicenza ,Frosinone,1-2,/match/vicenza-calcio/frosinone-calcio/2007,2007,5,serie_b
Triestina ,Mantova,0-0,/match/us-triestina-calcio/ac-mantova/2007,2007,5,serie_b
Genoa,AC Arezzo,3-0,/match/genoa/ac-arezzo/2007,2007,6,serie_b
Treviso,Piacenza,1-1,/match/treviso/piacenza/2007,2007,6,serie_b
Napoli,Rimini,1-0,/match/napoli/rimini-calcio/2007,2007,6,serie_b
Modena,Pescara,2-0,/match/modena-fc/pescara-calcio/2007,2007,6,serie_b
Mantova,Vicenza ,2-0,/match/ac-mantova/vicenza-calcio/2007,2007,6,serie_b
AlbinoLeffe,Spezia,0-0,/match/uc-albinoleffe/asd-spezia/2007,2007,6,serie_b
Hellas Verona,Crotone,0-0,/match/hellas-verona-fc/fc-crotone/2007,2007,6,serie_b
SSC Bari,Bologna,2-0,/match/as-bari/bologna/2007,2007,6,serie_b
Frosinone,Lecce,2-1,/match/frosinone-calcio/lecce/2007,2007,6,serie_b
Cesena,Triestina ,0-1,/match/ac-cesena/us-triestina-calcio/2007,2007,6,serie_b
Juventus,Brescia,2-0,/match/juventus-fc/brescia/2007,2007,6,serie_b
Vicenza ,Napoli,1-1,/match/vicenza-calcio/napoli/2007,2007,7,serie_b
Cesena,SSC Bari,1-0,/match/ac-cesena/as-bari/2007,2007,7,serie_b
Brescia,Genoa,0-2,/match/brescia/genoa/2007,2007,7,serie_b
Spezia,Mantova,1-1,/match/asd-spezia/ac-mantova/2007,2007,7,serie_b
Bologna,Modena,2-0,/match/bologna/modena-fc/2007,2007,7,serie_b
Pescara,Frosinone,0-2,/match/pescara-calcio/frosinone-calcio/2007,2007,7,serie_b
AC Arezzo,Triestina ,0-1,/match/ac-arezzo/us-triestina-calcio/2007,2007,7,serie_b
Lecce,Rimini,1-2,/match/lecce/rimini-calcio/2007,2007,7,serie_b
Piacenza,Hellas Verona,1-0,/match/piacenza/hellas-verona-fc/2007,2007,7,serie_b
Crotone,AlbinoLeffe,1-1,/match/fc-crotone/uc-albinoleffe/2007,2007,7,serie_b
Treviso,Juventus,0-1,/match/treviso/juventus-fc/2007,2007,7,serie_b
Rimini,Brescia,2-0,/match/rimini-calcio/brescia/2007,2007,8,serie_b
Genoa,Cesena,4-3,/match/genoa/ac-cesena/2007,2007,8,serie_b
Frosinone,Piacenza,0-1,/match/frosinone-calcio/piacenza/2007,2007,8,serie_b
Pescara,Vicenza ,0-0,/match/pescara-calcio/vicenza-calcio/2007,2007,8,serie_b
SSC Bari,Treviso,2-0,/match/as-bari/treviso/2007,2007,8,serie_b
Napoli,Crotone,1-0,/match/napoli/fc-crotone/2007,2007,8,serie_b
AC Arezzo,Spezia,1-1,/match/ac-arezzo/asd-spezia/2007,2007,8,serie_b
