Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
B. Dortmund,Werder Bremen,2-1,/match/borussia-dortmund/werder-bremen/2013,2013,1,bundesliga,18,34,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Mönchengladbach,Hoffenheim,2-1,/match/borussia-monchengla/tsg-1899-hoffenheim/2013,2013,1,bundesliga,18,34,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
SC Freiburg,Mainz 05,1-1,/match/sc-freiburg/mainz-amat/2013,2013,1,bundesliga,18,34,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
FC Augsburg,Fortuna,0-2,/match/fc-augsburg/fortuna-dusseldorf/2013,2013,1,bundesliga,18,34,2,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Hamburger SV,Nürnberg,0-1,/match/hamburger-sv/fc-nurnberg/2013,2013,1,bundesliga,18,34,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Greuther Fürth,Bayern München,0-3,/match/greuther-furth/bayern-munchen/2013,2013,1,bundesliga,18,34,2,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Eintracht,B. Leverkusen,2-1,/match/eintracht-frankfurt/bayer-leverkusen/2013,2013,1,bundesliga,18,34,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Stuttgart,Wolfsburg,0-1,/match/stuttgart/wolfsburg/2013,2013,1,bundesliga,18,34,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Hannover 96,Schalke 04,2-2,/match/hannover-96/schalke-04/2013,2013,1,bundesliga,18,34,1,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Mainz 05,Greuther Fürth,0-1,/match/mainz-amat/greuther-furth/2013,2013,2,bundesliga,18,34,2,0,1,10,0,1,0,1,1,D,0,0,0,0,0,17,0,0,1,0,3,L,0,0,0,0,0,,
Schalke 04,FC Augsburg,3-1,/match/schalke-04/fc-augsburg/2013,2013,2,bundesliga,18,34,0,3,1,11,0,1,0,2,2,D,0,0,0,0,0,12,0,0,1,0,2,L,0,0,0,0,0,,
B. Leverkusen,SC Freiburg,2-0,/match/bayer-leverkusen/sc-freiburg/2013,2013,2,bundesliga,18,34,0,2,0,14,0,0,1,1,2,W,0,0,0,0,0,7,0,1,0,1,1,D,0,0,0,0,0,,
Werder Bremen,Hamburger SV,2-0,/match/werder-bremen/hamburger-sv/2013,2013,2,bundesliga,18,34,0,2,0,18,0,0,1,1,2,W,0,0,0,0,0,16,0,0,1,0,1,L,0,0,0,0,0,,
Nürnberg,B. Dortmund,1-1,/match/fc-nurnberg/borussia-dortmund/2013,2013,2,bundesliga,18,34,1,1,1,6,1,0,0,1,0,L,0,0,0,0,0,3,1,0,0,2,1,W,0,0,0,0,0,,
Hoffenheim,Eintracht,0-4,/match/tsg-1899-hoffenheim/eintracht-frankfurt/2013,2013,2,bundesliga,18,34,2,0,4,13,0,0,1,1,2,W,0,0,0,0,0,2,1,0,0,2,1,W,0,0,0,0,0,,
Fortuna,Mönchengladbach,0-0,/match/fortuna-dusseldorf/borussia-monchengla/2013,2013,2,bundesliga,18,34,1,0,0,9,1,0,0,2,0,L,0,0,0,0,0,1,1,0,0,2,1,W,0,0,0,0,0,,
Wolfsburg,Hannover 96,0-4,/match/wolfsburg/hannover-96/2013,2013,2,bundesliga,18,34,2,0,4,4,1,0,0,1,0,L,0,0,0,0,0,5,0,1,0,2,2,D,0,0,0,0,0,,
Bayern München,Stuttgart,6-1,/match/bayern-munchen/stuttgart/2013,2013,2,bundesliga,18,34,0,6,1,8,1,0,0,3,0,L,0,0,0,0,0,15,0,0,1,0,1,L,0,0,0,0,0,,
FC Augsburg,Wolfsburg,0-0,/match/fc-augsburg/wolfsburg/2013,2013,3,bundesliga,18,34,1,0,0,15,0,0,2,1,5,LW,0,0,1,0,2,12,1,0,1,1,4,LL,1,0,0,1,0,L,L
B. Dortmund,B. Leverkusen,3-0,/match/borussia-dortmund/bayer-leverkusen/2013,2013,3,bundesliga,18,34,0,3,0,4,1,1,0,3,2,WD,1,0,0,2,1,6,1,0,1,3,2,WW,0,0,1,1,2,W,W
Bayern München,Mainz 05,3-1,/match/bayern-munchen/mainz-amat/2013,2013,3,bundesliga,18,34,0,3,1,1,2,0,0,9,1,LW,1,0,0,6,1,14,0,1,1,1,2,DL,0,1,0,1,1,W,D
Mönchengladbach,Nürnberg,2-3,/match/borussia-monchengla/fc-nurnberg/2013,2013,3,bundesliga,18,34,2,2,3,3,1,1,0,2,1,WD,1,0,0,2,1,9,1,1,0,2,1,LD,1,0,0,1,0,W,L
Stuttgart,Fortuna,0-0,/match/stuttgart/fortuna-dusseldorf/2013,2013,3,bundesliga,18,34,1,0,0,17,0,0,2,1,7,LW,0,0,1,0,1,7,1,1,0,2,0,LD,1,0,0,2,0,L,L
Hannover 96,Werder Bremen,3-2,/match/hannover-96/werder-bremen/2013,2013,3,bundesliga,18,34,0,3,2,10,1,1,0,6,2,DL,0,1,0,2,2,8,1,0,1,3,2,WW,0,0,1,1,2,D,W
Greuther Fürth,Schalke 04,0-2,/match/greuther-furth/schalke-04/2013,2013,3,bundesliga,18,34,2,0,2,13,1,0,1,1,3,LL,0,0,1,0,3,5,1,1,0,5,3,DW,0,1,0,2,2,L,D
SC Freiburg,Hoffenheim,5-3,/match/sc-freiburg/tsg-1899-hoffenheim/2013,2013,3,bundesliga,18,34,0,5,3,11,0,1,1,1,3,DW,0,1,0,1,1,16,0,0,2,1,6,WL,0,0,1,1,2,D,W
Eintracht,Hamburger SV,3-2,/match/eintracht-frankfurt/hamburger-sv/2013,2013,3,bundesliga,18,34,0,3,2,2,2,0,0,6,1,WL,1,0,0,2,1,18,0,0,2,0,3,LW,0,0,1,0,2,W,W
Nürnberg,Eintracht,1-2,/match/fc-nurnberg/eintracht-frankfurt/2013,2013,4,bundesliga,18,34,2,1,2,6,2,1,0,5,3,LDL,0,1,0,1,1,2,3,0,0,9,3,WLW,1,0,0,4,0,D,L
Schalke 04,Bayern München,0-2,/match/schalke-04/bayern-munchen/2013,2013,4,bundesliga,18,34,2,0,2,5,2,1,0,7,3,DWL,1,0,0,3,1,1,3,0,0,12,2,LWW,1,0,0,3,0,W,L
Wolfsburg,Greuther Fürth,1-1,/match/wolfsburg/greuther-furth/2013,2013,4,bundesliga,18,34,1,1,1,12,1,1,1,1,4,LLD,0,0,1,0,4,13,1,0,2,1,5,LLL,1,0,0,1,0,L,L
Mainz 05,FC Augsburg,2-0,/match/mainz-amat/fc-augsburg/2013,2013,4,bundesliga,18,34,0,2,0,16,0,1,2,2,5,DLW,0,0,1,0,1,14,0,1,2,1,5,LWD,0,0,1,1,3,L,W
Hamburger SV,B. Dortmund,3-2,/match/hamburger-sv/borussia-dortmund/2013,2013,4,bundesliga,18,34,0,3,2,18,0,0,3,2,6,LWW,0,0,1,0,1,3,2,1,0,6,2,WDW,0,1,0,1,1,L,D
Fortuna,SC Freiburg,0-0,/match/fortuna-dusseldorf/sc-freiburg/2013,2013,4,bundesliga,18,34,1,0,0,8,1,2,0,2,0,LDD,0,1,0,0,0,7,1,1,1,6,6,DWW,0,0,1,0,2,D,W
B. Leverkusen,Mönchengladbach,1-1,/match/bayer-leverkusen/borussia-monchengla/2013,2013,4,bundesliga,18,34,1,1,1,10,1,0,2,3,5,WWW,1,0,0,2,0,9,1,1,1,4,4,WDL,0,1,0,0,0,W,D
Werder Bremen,Stuttgart,2-2,/match/werder-bremen/stuttgart/2013,2013,4,bundesliga,18,34,1,2,2,11,1,0,2,5,5,WWW,1,0,0,2,0,15,0,1,2,1,7,LWD,0,0,1,1,6,W,W
Hoffenheim,Hannover 96,3-1,/match/tsg-1899-hoffenheim/hannover-96/2013,2013,4,bundesliga,18,34,0,3,1,17,0,0,3,4,11,WLW,0,0,1,0,4,4,2,1,0,9,4,DLW,1,0,0,4,0,L,L
Bayern München,Wolfsburg,3-0,/match/bayern-munchen/wolfsburg/2013,2013,5,bundesliga,18,34,0,3,0,1,4,0,0,14,2,LWWL,2,0,0,9,2,12,1,2,1,2,5,LLDD,1,1,0,1,0,WW,LD
Schalke 04,Mainz 05,3-0,/match/schalke-04/mainz-amat/2013,2013,5,bundesliga,18,34,0,3,0,5,2,1,1,7,5,DWLL,1,0,1,3,3,13,1,1,2,4,5,DLWW,0,1,1,2,4,WL,DW
Greuther Fürth,Fortuna,0-2,/match/greuther-furth/fortuna-dusseldorf/2013,2013,5,bundesliga,18,34,2,0,2,16,1,1,2,2,6,LLLD,0,0,2,0,5,7,1,3,0,2,0,LDDD,1,1,0,2,0,LL,LD
Eintracht,B. Dortmund,3-3,/match/eintracht-frankfurt/borussia-dortmund/2013,2013,5,bundesliga,18,34,1,3,3,2,4,0,0,11,4,WLWL,2,0,0,5,3,3,2,1,1,8,5,WDWW,0,1,1,3,4,WW,DW
Mönchengladbach,Hamburger SV,2-2,/match/borussia-monchengla/hamburger-sv/2013,2013,5,bundesliga,18,34,1,2,2,10,1,2,1,5,5,WDLD,1,0,1,4,4,15,1,0,3,5,8,LWWW,0,0,2,2,5,WL,WW
Stuttgart,Hoffenheim,0-3,/match/stuttgart/tsg-1899-hoffenheim/2013,2013,5,bundesliga,18,34,2,0,3,17,0,2,2,3,9,LWDD,0,1,1,0,1,14,1,0,3,7,12,WLWW,0,0,2,4,7,LD,WW
Hannover 96,Nürnberg,4-1,/match/hannover-96/fc-nurnberg/2013,2013,5,bundesliga,18,34,0,4,1,4,2,1,1,10,7,DLWW,1,1,0,5,4,11,2,1,1,6,5,LDLL,2,0,0,4,2,DW,LL
SC Freiburg,Werder Bremen,1-2,/match/sc-freiburg/werder-bremen/2013,2013,5,bundesliga,18,34,2,1,2,6,1,2,1,6,6,DWWD,1,1,0,6,4,8,1,1,2,7,7,WWWD,0,0,2,3,5,DW,WW
FC Augsburg,B. Leverkusen,1-3,/match/fc-augsburg/bayer-leverkusen/2013,2013,5,bundesliga,18,34,2,1,3,18,0,1,3,1,7,LWDW,0,1,1,0,2,9,1,1,2,4,6,WWWD,0,0,2,1,5,LD,WW
Fortuna,Schalke 04,2-2,/match/fortuna-dusseldorf/schalke-04/2013,2013,6,bundesliga,18,34,1,2,2,6,2,3,0,4,0,LDDDL,0,2,0,0,0,4,3,1,1,10,5,DWLLW,1,1,0,4,2,DD,DL
