Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Date,Time,Home_Score,Away_Score
BV Veendam ,Cambuur,0-3,https://www.besoccer.com/match/veendam/sc-cambuur-leeuwarden/200979835,2009,1,eerste_divisie,20,38,2,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,39.0,55.90909090909091
Fortuna Sittard,Emmen,1-2,https://www.besoccer.com/match/fortuna-sittard/emmen/200979836,2009,1,eerste_divisie,20,38,2,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,53.63636363636363,59.81818181818182
Helmond Sport,AGOVV Apeldoorn,1-2,https://www.besoccer.com/match/helmond-sport/agovv-apeldoorn/200979837,2009,1,eerste_divisie,20,38,2,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,54.72727272727273,51.54545454545455
Dordrecht,FC Eindhoven,2-0,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/200979838,2009,1,eerste_divisie,20,38,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,49.0,53.63636363636363
VVV Venlo,Go Ahead Eagles,5-0,https://www.besoccer.com/match/vvv/go-ahead-eagles/200979839,2009,1,eerste_divisie,20,38,0,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,58.63636363636363,58.45454545454545
HFC Haarlem ,TOP Oss,2-1,https://www.besoccer.com/match/haarlem/fc-oss/200979840,2009,1,eerste_divisie,20,38,0,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,55.45454545454545,54.18181818181818
FC Omniworld,RBC Roosendaal,1-2,https://www.besoccer.com/match/omniworld/rbc/200979841,2009,1,eerste_divisie,20,38,2,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,54.36363636363637,50.45454545454545
Excelsior,SC Telstar,0-1,https://www.besoccer.com/match/excelsior/stormvogels-telstar/200979842,2009,1,eerste_divisie,20,38,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,62.90909090909091,48.63636363636363
Den Bosch,RKC Waalwijk,1-1,https://www.besoccer.com/match/fc-den-bosch/rkc-waalwijk/200979843,2009,1,eerste_divisie,20,38,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,60.27272727272727,64.18181818181819
PEC Zwolle,MVV Maastricht,0-0,https://www.besoccer.com/match/fc-zwolle/mvv/200979844,2009,1,eerste_divisie,20,38,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,08 AUG 2008,20:00,62.0,59.09090909090909
BV Veendam ,Cambuur,0-3,https://www.besoccer.com/match/veendam/sc-cambuur-leeuwarden/200979835,2009,2,eerste_divisie,20,38,2,0,3,16,0,0,0,1,0,3,L,0,0,1,0,3,2,3,1,0,0,3,0,W,1,0,0,3,0,L,W,08 AUG 2008,20:00,39.0,55.90909090909091
Fortuna Sittard,Emmen,1-2,https://www.besoccer.com/match/fortuna-sittard/emmen/200979836,2009,2,eerste_divisie,20,38,2,1,2,18,0,0,0,1,1,2,L,0,0,1,1,2,6,3,1,0,0,2,1,W,1,0,0,2,1,L,W,08 AUG 2008,20:00,53.63636363636363,59.81818181818182
Helmond Sport,AGOVV Apeldoorn,1-2,https://www.besoccer.com/match/helmond-sport/agovv-apeldoorn/200979837,2009,2,eerste_divisie,20,38,2,1,2,13,0,0,0,1,1,2,L,0,0,1,1,2,5,3,1,0,0,2,1,W,1,0,0,2,1,L,W,08 AUG 2008,20:00,54.72727272727273,51.54545454545455
Dordrecht,FC Eindhoven,2-0,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/200979838,2009,2,eerste_divisie,20,38,0,2,0,4,3,1,0,0,2,0,W,1,0,0,2,0,14,0,0,0,1,0,2,L,0,0,1,0,2,W,L,08 AUG 2008,20:00,49.0,53.63636363636363
VVV Venlo,Go Ahead Eagles,5-0,https://www.besoccer.com/match/vvv/go-ahead-eagles/200979839,2009,2,eerste_divisie,20,38,0,5,0,8,3,1,0,0,5,0,W,1,0,0,5,0,20,0,0,0,1,0,5,L,0,0,1,0,5,W,L,08 AUG 2008,20:00,58.63636363636363,58.45454545454545
HFC Haarlem ,TOP Oss,2-1,https://www.besoccer.com/match/haarlem/fc-oss/200979840,2009,2,eerste_divisie,20,38,0,2,1,7,3,1,0,0,2,1,W,1,0,0,2,1,15,0,0,0,1,1,2,L,0,0,1,1,2,W,L,08 AUG 2008,20:00,55.45454545454545,54.18181818181818
FC Omniworld,RBC Roosendaal,1-2,https://www.besoccer.com/match/omniworld/rbc/200979841,2009,2,eerste_divisie,20,38,2,1,2,17,0,0,0,1,1,2,L,0,0,1,1,2,3,3,1,0,0,2,1,W,1,0,0,2,1,L,W,08 AUG 2008,20:00,54.36363636363637,50.45454545454545
Excelsior,SC Telstar,0-1,https://www.besoccer.com/match/excelsior/stormvogels-telstar/200979842,2009,2,eerste_divisie,20,38,2,0,1,19,0,0,0,1,0,1,L,0,0,1,0,1,1,3,1,0,0,1,0,W,1,0,0,1,0,L,W,08 AUG 2008,20:00,62.90909090909091,48.63636363636363
