Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
Boavista,Beira Mar SC,3-0,/match/boavista/beira-mar/2002,2002,1,primeira_liga,18,34,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Sporting Braga,União de Leiria,0-0,/match/sporting-braga/uniao-leiria/2002,2002,1,primeira_liga,18,34,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Varzim,Benfica,2-2,/match/varzim/benfica/2002,2002,1,primeira_liga,18,34,1,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Paços Ferreira,Belenenses,3-1,/match/pacos-ferreira/belenenses/2002,2002,1,primeira_liga,18,34,0,3,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
SC Salgueiros,Farense,0-2,/match/salgueiros/farense/2002,2002,1,primeira_liga,18,34,2,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Sporting CP,Porto,1-0,/match/sporting-lisbon/fc-porto/2002,2002,1,primeira_liga,18,34,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Vitória,Gil Vicente,0-2,/match/vitoria-guimaraes/gil-vicente/2002,2002,1,primeira_liga,18,34,2,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Marítimo,Vitória Setúbal,3-1,/match/maritimo/vitoria-setubal/2002,2002,1,primeira_liga,18,34,0,3,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
CD Santa Clara,Alverca,2-1,/match/santa-clara/alverca/2002,2002,1,primeira_liga,18,34,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Belenenses,Sporting CP,3-0,/match/belenenses/sporting-lisbon/2002,2002,2,primeira_liga,18,34,0,3,0,16,0,0,1,1,3,W,0,0,0,0,0,2,1,0,0,1,0,W,0,0,0,0,0,,
