Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Date,Time,Home_Score,Away_Score
Ponferradina,CD Castellón,1-2,https://www.besoccer.com/match/ponferradina-sd/cd-castellon/202189915,2021,1,segunda_division,22,34,2,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,12 SEP 2020,16:00,57.27272727272727,57.09090909090909
Leganés,Las Palmas,1-0,https://www.besoccer.com/match/leganes/ud-palmas/202189912,2021,1,segunda_division,22,34,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,12 SEP 2020,18:15,57.63636363636363,58.90909090909091
Real Sporting,UD Logroñés,1-0,https://www.besoccer.com/match/sporting-gijon/ud-logrones/202189919,2021,1,segunda_division,22,34,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,12 SEP 2020,18:15,59.45454545454545,56.72727272727273
Espanyol,Albacete,3-0,https://www.besoccer.com/match/espanyol/albacete/202189910,2021,1,segunda_division,22,34,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,12 SEP 2020,21:00,62.72727272727273,53.90909090909091
Real Oviedo,FC Cartagena,0-0,https://www.besoccer.com/match/real-oviedo/cartagena/202189916,2021,1,segunda_division,22,34,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,13 SEP 2020,12:00,60.0,48.54545454545455
Mallorca,Rayo Vallecano,0-1,https://www.besoccer.com/match/mallorca/rayo-vallecano/202189913,2021,1,segunda_division,22,34,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,13 SEP 2020,16:00,64.36363636363636,50.18181818181818
Fuenlabrada,Lugo,2-0,https://www.besoccer.com/match/fuenlabrada/lugo/202189911,2021,1,segunda_division,22,34,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,13 SEP 2020,18:15,58.81818181818182,57.54545454545455
Mirandés,Alcorcón,0-0,https://www.besoccer.com/match/mirandes/ad-alcorcon/202189914,2021,1,segunda_division,22,34,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,13 SEP 2020,18:15,51.18181818181818,59.36363636363637
Tenerife,Málaga,2-0,https://www.besoccer.com/match/tenerife/malaga/202189920,2021,1,segunda_division,22,34,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,13 SEP 2020,21:00,59.81818181818182,48.72727272727273
Real Zaragoza,Girona,2-2,https://www.besoccer.com/match/real-zaragoza/girona-fc/202189917,2021,1,segunda_division,22,34,1,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,04 NOV 2020,19:00,59.54545454545455,62.18181818181818
Sabadell,Almería,1-2,https://www.besoccer.com/match/sabadell/almeria/202189918,2021,1,segunda_division,22,34,2,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,05 NOV 2020,19:00,43.90909090909091,54.90909090909091
Mirandés,Real Oviedo,1-1,https://www.besoccer.com/match/mirandes/real-oviedo/202189931,2021,2,segunda_division,22,34,1,1,1,10,1,0,1,0,0,0,D,0,1,0,0,0,9,1,0,1,0,0,0,D,0,0,0,0,0,D,,19 SEP 2020,16:00,50.0,60.0
CD Castellón,Málaga,0-1,https://www.besoccer.com/match/cd-castellon/malaga/202189928,2021,2,segunda_division,22,34,2,0,1,2,3,1,0,0,2,1,W,0,0,0,0,0,21,0,0,0,1,0,2,L,0,0,1,0,2,,L,19 SEP 2020,18:15,56.90909090909091,55.09090909090909
Alcorcón,Tenerife,2-0,https://www.besoccer.com/match/ad-alcorcon/tenerife/202189922,2021,2,segunda_division,22,34,0,2,0,12,1,0,1,0,0,0,D,0,0,0,0,0,3,3,1,0,0,2,0,W,0,0,0,0,0,,,19 SEP 2020,18:15,60.54545454545455,60.45454545454545
Rayo Vallecano,Sabadell,2-1,https://www.besoccer.com/match/rayo-vallecano/sabadell/202189932,2021,2,segunda_division,22,34,0,2,1,1,3,1,0,0,1,0,W,0,0,0,0,0,20,0,0,0,1,1,2,L,0,0,0,0,0,,,19 SEP 2020,21:00,50.72727272727273,40.18181818181818
Lugo,Leganés,2-1,https://www.besoccer.com/match/lugo/leganes/202189930,2021,2,segunda_division,22,34,0,2,1,19,0,0,0,1,0,2,L,0,0,0,0,0,8,3,1,0,0,1,0,W,0,0,0,0,0,,,20 SEP 2020,12:00,57.45454545454545,56.72727272727273
Espanyol,Mallorca,0-0,https://www.besoccer.com/match/espanyol/mallorca/202189927,2021,2,segunda_division,22,34,1,0,0,6,3,1,0,0,3,0,W,1,0,0,3,0,15,0,0,0,1,0,1,L,0,0,0,0,0,W,,20 SEP 2020,16:00,62.72727272727273,60.81818181818182
Albacete,Ponferradina,0-2,https://www.besoccer.com/match/albacete/ponferradina-sd/202189921,2021,2,segunda_division,22,34,2,0,2,16,0,0,0,1,0,3,L,0,0,0,0,0,18,0,0,0,1,1,2,L,0,0,0,0,0,,,20 SEP 2020,18:15,54.18181818181818,60.45454545454545
FC Cartagena,Real Sporting,0-1,https://www.besoccer.com/match/cartagena/sporting-gijon/202189924,2021,2,segunda_division,22,34,2,0,1,11,1,0,1,0,0,0,D,0,0,0,0,0,4,3,1,0,0,1,0,W,0,0,0,0,0,,,20 SEP 2020,18:15,50.45454545454545,58.90909090909091
Las Palmas,Fuenlabrada,3-3,https://www.besoccer.com/match/ud-palmas/fuenlabrada/202189929,2021,2,segunda_division,22,34,1,3,3,22,0,0,0,1,0,1,L,0,0,0,0,0,7,3,1,0,0,2,0,W,0,0,0,0,0,,,20 SEP 2020,20:30,58.45454545454545,58.81818181818182
Almería,Real Zaragoza,1-0,https://www.besoccer.com/match/almeria/real-zaragoza/202189923,2021,2,segunda_division,22,34,0,1,0,5,3,1,0,0,2,1,W,0,0,0,0,0,13,1,0,1,0,2,2,D,0,0,0,0,0,,,09 DEC 2020,19:00,59.27272727272727,52.36363636363637
Girona,UD Logroñés,2-0,https://www.besoccer.com/match/girona-fc/ud-logrones/202189926,2021,2,segunda_division,22,34,0,2,0,14,1,0,1,0,2,2,D,0,0,0,0,0,17,0,0,0,1,0,1,L,0,0,1,0,1,,L,10 DEC 2020,19:00,65.18181818181819,57.72727272727273
