Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
Estoril,Arouca,1-0,https://www.besoccer.com/match/estoril/arouca/202184185,2021,1,segunda_liga,18,28,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Vizela,UD Oliveirense,2-1,https://www.besoccer.com/match/vizela/ud-oliveirense/202184195,2021,1,segunda_liga,18,28,0,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Cova Piedade,Mafra,0-4,https://www.besoccer.com/match/cova-piedade/mafra/202184180,2021,1,segunda_liga,18,28,2,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Leixões,Casa Pia,2-2,https://www.besoccer.com/match/leixoes/casa-pia/202184198,2021,1,segunda_liga,18,28,1,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Benfica II,Vilafranquense,3-2,https://www.besoccer.com/match/benfica-ii/vilafranquense/202184203,2021,1,segunda_liga,18,28,0,3,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Varzim,Porto II,1-0,https://www.besoccer.com/match/varzim/porto-ii/202184207,2021,1,segunda_liga,18,28,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Penafiel,SP. Covilhã,1-0,https://www.besoccer.com/match/penafiel/sporting-covilha/202184190,2021,1,segunda_liga,18,28,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Academico Viseu,Académica,0-0,https://www.besoccer.com/match/academico-viseu/academica/202184177,2021,1,segunda_liga,18,28,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Feirense,Chaves,0-4,https://www.besoccer.com/match/feirense/chaves/202184182,2021,1,segunda_liga,18,28,2,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Estoril,Arouca,1-0,https://www.besoccer.com/match/estoril/arouca/202184185,2021,2,segunda_liga,18,28,0,1,0,3,3,1,0,0,1,0,W,1,0,0,1,0,12,0,0,0,1,0,1,L,0,0,1,0,1,W,L
