Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
Chievo,Juventus,2-3,/match/chievo/juventus-fc/2019,2019,1,serie_a,20,38,2,2,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Lazio,Napoli,1-2,/match/lazio/napoli/2019,2019,1,serie_a,20,38,2,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Torino,Roma,0-1,/match/torino-fc/roma/2019,2019,1,serie_a,20,38,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Sassuolo,Inter,1-0,/match/us-sassuolo-calcio/internazionale/2019,2019,1,serie_a,20,38,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Bologna,SPAL,0-1,/match/bologna/spal-1907/2019,2019,1,serie_a,20,38,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Empoli,Cagliari,2-0,/match/empoli-fc/cagliari/2019,2019,1,serie_a,20,38,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Parma,Udinese,2-2,/match/parma-fc/udinese/2019,2019,1,serie_a,20,38,1,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Atalanta,Frosinone,4-0,/match/atalanta/frosinone-calcio/2019,2019,1,serie_a,20,38,0,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Sampdoria,Fiorentina,1-1,/match/sampdoria/fiorentina/2019,2019,1,serie_a,20,38,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Milan,Genoa,2-1,/match/milan/genoa/2019,2019,1,serie_a,20,38,0,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Juventus,Lazio,2-0,/match/juventus-fc/lazio/2019,2019,2,serie_a,20,38,0,2,0,6,2,1,0,0,3,2,L,0,0,0,0,0,17,0,0,0,1,1,2,L,0,0,0,0,0,,
Napoli,Milan,3-2,/match/napoli/milan/2019,2019,2,serie_a,20,38,0,3,2,8,2,1,0,0,2,1,L,0,0,0,0,0,4,4,1,0,0,2,1,W,0,0,0,0,0,,
SPAL,Parma,1-0,/match/spal-1907/parma-fc/2019,2019,2,serie_a,20,38,0,1,0,9,2,1,0,0,1,0,L,0,0,0,0,0,10,2,0,1,0,2,2,D,0,0,0,0,0,,
Cagliari,Sassuolo,2-2,/match/cagliari/us-sassuolo-calcio/2019,2019,2,serie_a,20,38,1,2,2,15,0,0,0,1,0,2,W,0,0,0,0,0,3,4,1,0,0,1,0,W,0,0,0,0,0,,
Inter,Torino,2-2,/match/internazionale/torino-fc/2019,2019,2,serie_a,20,38,1,2,2,18,0,0,0,1,0,1,W,0,0,0,0,0,20,0,0,0,1,0,1,L,0,0,0,0,0,,
Genoa,Empoli,2-1,/match/genoa/empoli-fc/2019,2019,2,serie_a,20,38,0,2,1,16,0,0,0,1,1,2,W,0,0,0,0,0,2,4,1,0,0,2,0,W,0,0,0,0,0,,
Frosinone,Bologna,0-0,/match/frosinone-calcio/bologna/2019,2019,2,serie_a,20,38,1,0,0,19,0,0,0,1,0,4,W,0,0,0,0,0,13,0,0,0,1,0,1,L,0,0,0,0,0,,
Fiorentina,Chievo,6-1,/match/fiorentina/chievo/2019,2019,2,serie_a,20,38,0,6,1,11,1,0,1,0,1,1,D,0,0,0,0,0,14,0,0,0,1,2,3,L,0,0,0,0,0,,
Udinese,Sampdoria,1-0,/match/udinese/sampdoria/2019,2019,2,serie_a,20,38,0,1,0,12,1,0,1,0,2,2,D,0,0,0,0,0,7,2,0,1,0,1,1,D,0,0,0,0,0,,
Roma,Atalanta,3-3,/match/roma/atalanta/2019,2019,2,serie_a,20,38,1,3,3,5,2,1,0,0,1,0,L,0,0,0,0,0,1,4,1,0,0,4,0,W,0,0,0,0,0,,
Milan,Roma,2-1,/match/milan/roma/2019,2019,3,serie_a,20,38,0,2,1,9,4,1,0,1,4,4,WW,1,0,0,2,1,8,4,1,1,0,4,3,LD,1,0,0,1,0,W,L
Bologna,Inter,0-3,/match/bologna/internazionale/2019,2019,3,serie_a,20,38,2,0,3,17,1,0,1,1,0,1,LD,0,0,1,0,1,15,2,0,1,1,2,3,WD,0,0,1,0,1,L,W
Parma,Juventus,1-2,/match/parma-fc/juventus-fc/2019,2019,3,serie_a,20,38,2,1,2,13,2,0,1,1,2,3,DW,0,1,0,2,2,1,6,2,0,0,5,2,LW,1,0,0,3,2,D,L
Fiorentina,Udinese,1-0,/match/fiorentina/udinese/2019,2019,3,serie_a,20,38,0,1,0,6,5,1,1,0,7,2,DW,1,0,0,6,1,5,5,1,1,0,3,2,DW,0,1,0,2,2,W,D
Sassuolo,Genoa,5-3,/match/us-sassuolo-calcio/genoa/2019,2019,3,serie_a,20,38,0,5,3,7,5,1,1,0,3,2,WD,1,0,0,1,0,11,4,1,0,1,3,3,WW,0,0,1,1,2,W,W
Sampdoria,Napoli,3-0,/match/sampdoria/napoli/2019,2019,3,serie_a,20,38,0,3,0,12,2,0,1,1,1,2,DW,0,1,0,1,1,3,6,2,0,0,5,3,LW,1,0,0,2,1,D,L
Atalanta,Cagliari,0-1,/match/atalanta/cagliari/2019,2019,3,serie_a,20,38,2,0,1,4,5,1,1,0,7,3,WD,1,0,0,4,0,14,2,0,1,1,2,4,WD,0,0,1,0,2,W,W
Lazio,Frosinone,1-0,/match/lazio/frosinone-calcio/2019,2019,3,serie_a,20,38,0,1,0,20,0,0,0,2,1,4,LW,0,0,1,1,2,16,2,0,1,1,0,4,WD,0,0,1,0,4,L,W
Chievo,Empoli,0-0,/match/chievo/empoli-fc/2019,2019,3,serie_a,20,38,1,0,0,19,0,0,0,2,3,9,LW,0,0,1,2,3,10,4,1,0,1,3,2,WW,0,0,1,1,2,L,W
Torino,SPAL,1-0,/match/torino-fc/spal-1907/2019,2019,3,serie_a,20,38,0,1,0,18,1,0,1,1,2,3,LD,0,0,1,0,1,2,6,2,0,0,2,0,LW,1,0,0,1,0,L,L
Inter,Parma,0-1,/match/internazionale/parma-fc/2019,2019,4,serie_a,20,38,2,0,1,13,4,1,1,1,5,3,WDL,0,1,0,2,2,17,2,0,1,2,3,5,DWL,0,0,1,0,1,D,W
Napoli,Fiorentina,1-0,/match/napoli/fiorentina/2019,2019,4,serie_a,20,38,0,1,0,5,6,2,0,1,5,6,LWW,1,0,0,3,2,1,9,2,1,0,8,2,DWW,0,1,0,1,1,W,D
Frosinone,Sampdoria,0-5,/match/frosinone-calcio/sampdoria/2019,2019,4,serie_a,20,38,2,0,5,18,2,0,1,2,0,5,WDW,0,1,0,0,0,7,6,1,1,1,4,2,DWW,0,0,1,0,1,D,W
Roma,Chievo,2-2,/match/roma/chievo/2019,2019,4,serie_a,20,38,1,2,2,15,4,1,1,1,5,5,LDW,0,1,0,3,3,19,2,0,1,2,3,9,LWD,0,0,1,1,6,D,W
Udinese,Torino,1-1,/match/udinese/torino-fc/2019,2019,4,serie_a,20,38,1,1,1,9,5,1,1,1,3,3,DWW,1,0,0,1,0,10,5,1,1,1,3,3,LDW,0,1,0,2,2,W,D
Juventus,Sassuolo,2-1,/match/juventus-fc/us-sassuolo-calcio/2019,2019,4,serie_a,20,38,0,2,1,3,8,3,0,0,7,3,LWL,1,0,0,2,0,2,9,2,1,0,8,5,WDW,0,1,0,2,2,W,D
Genoa,Bologna,1-0,/match/genoa/bologna/2019,2019,4,serie_a,20,38,0,1,0,14,4,1,0,2,6,8,WWW,1,0,0,2,1,20,1,0,1,2,0,4,LDL,0,1,0,0,0,W,D
Empoli,Lazio,0-1,/match/empoli-fc/lazio/2019,2019,4,serie_a,20,38,2,0,1,11,5,1,1,1,3,2,WWD,1,0,0,2,0,16,4,1,0,2,2,4,LWW,0,0,1,0,2,W,W
Cagliari,Milan,1-1,/match/cagliari/milan/2019,2019,4,serie_a,20,38,1,1,1,12,4,1,1,1,3,4,WDL,0,1,0,2,2,4,8,2,0,1,6,5,WWW,0,0,1,2,3,D,W
SPAL,Atalanta,2-0,/match/spal-1907/atalanta/2019,2019,4,serie_a,20,38,0,2,0,6,6,2,0,1,2,1,LWW,1,0,0,1,0,8,5,1,1,1,7,4,WDL,0,1,0,3,3,W,D
Sassuolo,Empoli,3-1,/match/us-sassuolo-calcio/empoli-fc/2019,2019,5,serie_a,20,38,0,3,1,6,9,2,1,1,9,7,WDWW,2,0,0,6,3,14,5,1,1,2,3,3,WWDL,0,1,1,1,2,WW,WD
Parma,Cagliari,2-0,/match/parma-fc/cagliari/2019,2019,5,serie_a,20,38,0,2,0,17,4,1,1,2,4,5,DWLL,0,1,1,3,4,12,6,1,2,1,4,5,WDLD,1,0,1,1,2,DL,WL
Fiorentina,SPAL,3-0,/match/fiorentina/spal-1907/2019,2019,5,serie_a,20,38,0,3,0,4,9,2,1,1,8,3,DWWW,2,0,0,7,1,3,10,3,0,1,4,1,LWWW,1,0,1,1,1,WW,LW
Sampdoria,Inter,0-1,/match/sampdoria/internazionale/2019,2019,5,serie_a,20,38,2,0,1,8,8,2,1,1,9,2,DWWL,1,1,0,4,1,16,4,1,1,2,5,4,WDLL,1,0,1,3,1,DW,WL
Torino,Napoli,1-3,/match/torino-fc/napoli/2019,2019,5,serie_a,20,38,2,1,3,11,6,1,2,1,4,4,LDWD,1,0,1,1,1,2,10,3,0,1,6,6,LWWW,1,0,1,2,4,LW,LW
Bologna,Roma,2-0,/match/bologna/roma/2019,2019,5,serie_a,20,38,0,2,0,20,1,0,1,3,0,5,LDLW,0,0,2,0,4,13,6,1,2,1,7,7,LDWD,1,0,1,2,2,LL,LW
