Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
SSC Bari,Brescia,2-0,/match/as-bari/brescia/1997,1997,1,serie_b,20,38,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Castel Sangro,Cosenza Calcio,1-0,/match/castel-sangro/fortitudo-cosenza/1997,1997,1,serie_b,20,38,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Chievo,Cremonese,1-0,/match/chievo/us-cremonese/1997,1997,1,serie_b,20,38,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Genoa,Lucchese Libertas,1-1,/match/genoa/luchese/1997,1997,1,serie_b,20,38,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Padova,Empoli,1-0,/match/calcio-padova/empoli-fc/1997,1997,1,serie_b,20,38,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Palermo FC,Pescara,0-0,/match/palermo/pescara-calcio/1997,1997,1,serie_b,20,38,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Ravenna FC,Venezia,2-1,/match/ravenna-calcio/venezia/1997,1997,1,serie_b,20,38,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Reggina,Lecce,1-2,/match/reggina/lecce/1997,1997,1,serie_b,20,38,2,1,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Salernitana,Calcio Foggia,2-0,/match/salernitana-calcio-1919/us-foggia/1997,1997,1,serie_b,20,38,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Torino,Cesena,1-0,/match/torino-fc/ac-cesena/1997,1997,1,serie_b,20,38,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Cremonese,Genoa,2-1,/match/us-cremonese/genoa/1997,1997,2,serie_b,20,38,0,2,1,19,0,0,1,0,1,W,0,0,0,0,0,8,0,1,0,1,1,D,0,0,0,0,0,,
Brescia,Palermo FC,1-1,/match/brescia/palermo/1997,1997,2,serie_b,20,38,1,1,1,20,0,0,1,0,2,W,0,0,0,0,0,9,0,1,0,0,0,D,0,0,0,0,0,,
Cesena,Reggina,3-1,/match/ac-cesena/reggina/1997,1997,2,serie_b,20,38,0,3,1,17,0,0,1,0,1,W,0,0,0,0,0,15,0,0,1,1,2,L,0,0,0,0,0,,
Cosenza Calcio,SSC Bari,1-0,/match/fortitudo-cosenza/as-bari/1997,1997,2,serie_b,20,38,0,1,0,16,0,0,1,0,1,W,0,0,0,0,0,5,1,0,0,2,0,W,0,0,0,0,0,,
Empoli,Salernitana,2-0,/match/empoli-fc/salernitana-calcio-1919/1997,1997,2,serie_b,20,38,0,2,0,18,0,0,1,0,1,W,0,0,0,0,0,2,1,0,0,2,0,W,0,0,0,0,0,,
Calcio Foggia,Castel Sangro,2-0,/match/us-foggia/castel-sangro/1997,1997,2,serie_b,20,38,0,2,0,13,0,0,1,0,2,W,0,0,0,0,0,4,1,0,0,1,0,W,0,0,0,0,0,,
