1,Bayern München,16,7,2,2,27,11,18,1990,11,bundesliga
2,Köln,16,6,4,1,19,13,18,1990,11,bundesliga
3,B. Leverkusen,15,5,5,1,15,7,18,1990,11,bundesliga
4,Eintracht,14,6,2,3,21,13,18,1990,11,bundesliga
5,Nürnberg,14,6,2,3,18,10,18,1990,11,bundesliga
6,Stuttgart,13,5,3,3,12,11,18,1990,11,bundesliga
7,B. Dortmund,12,5,2,4,12,9,18,1990,11,bundesliga
8,Mönchengladbach,11,3,5,3,9,8,18,1990,11,bundesliga
9,Waldhof Mannheim,11,5,1,5,12,16,18,1990,11,bundesliga
10,KFC Uerdingen 05,10,4,2,5,19,17,18,1990,11,bundesliga
11,FC 08 Homburg,10,3,4,4,9,13,18,1990,11,bundesliga
12,Werder Bremen,9,2,5,4,13,15,18,1990,11,bundesliga
13,Hamburger SV,9,3,3,5,13,16,18,1990,11,bundesliga
14,FC St. Pauli,9,2,5,4,8,14,18,1990,11,bundesliga
15,Kaiserslautern,8,3,2,6,18,23,18,1990,11,bundesliga
16,Fortuna,8,2,4,5,14,19,18,1990,11,bundesliga
17,VfL Bochum,7,3,1,7,13,23,18,1990,11,bundesliga
18,Karlsruher SC,6,1,4,6,7,21,18,1990,11,bundesliga
