Position,Team,Points,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Season,Round,League
1,West Ham,7,2,1,0,6,3,24,1990,1,championship
2,Blackburn Rovers,7,2,1,0,3,1,24,1990,1,championship
3,Sheffield United,6,2,0,0,5,0,24,1990,1,championship
4,Ipswich Town,6,2,0,1,7,5,24,1990,1,championship
5,Sunderland,6,2,0,1,6,5,24,1990,1,championship
6,Watford,5,1,2,0,3,2,24,1990,1,championship
7,Newcastle,4,1,1,0,7,4,24,1990,1,championship
8,Port Vale,4,1,1,0,4,3,24,1990,1,championship
9,AFC Bournemouth,4,1,1,1,7,7,24,1990,1,championship
10,Leeds United,4,1,1,1,5,7,24,1990,1,championship
11,Plymouth Argyle,3,1,0,1,4,3,24,1990,1,championship
12,Middlesbrough,3,1,0,2,6,6,24,1990,1,championship
13,Brighton Hove Alb.,3,1,0,1,2,2,24,1990,1,championship
14,Barnsley,3,1,0,1,2,3,24,1990,1,championship
15,Stoke City,2,0,2,0,1,1,24,1990,1,championship
16,Oldham Athletic,2,0,2,1,3,4,24,1990,1,championship
17,Leicester,2,0,2,1,3,4,24,1990,1,championship
18,Bradford City,2,0,2,1,3,5,24,1990,1,championship
19,Hull City,1,0,1,1,5,6,24,1990,1,championship
20,Portsmouth,1,0,1,1,0,1,24,1990,1,championship
21,Wolves,1,0,1,1,3,5,24,1990,1,championship
22,Swindon Town,1,0,1,1,2,4,24,1990,1,championship
23,Oxford United,1,0,1,1,1,3,24,1990,1,championship
24,West Bromwich Alb.,1,0,1,2,2,6,24,1990,1,championship
1,Sheffield United,19,5,4,0,18,9,24,1990,2,championship
2,Blackburn Rovers,17,4,5,0,17,8,24,1990,2,championship
3,Newcastle,17,5,2,2,17,11,24,1990,2,championship
4,Sunderland,16,4,4,1,16,10,24,1990,2,championship
5,Leeds United,16,4,4,1,14,10,24,1990,2,championship
6,Brighton Hove Alb.,15,5,0,4,17,12,24,1990,2,championship
7,West Ham,15,4,3,2,12,11,24,1990,2,championship
8,Oldham Athletic,14,4,2,3,13,12,24,1990,2,championship
9,AFC Bournemouth,14,4,2,3,16,16,24,1990,2,championship
10,Watford,14,4,2,3,9,10,24,1990,2,championship
11,Plymouth Argyle,13,4,1,4,13,12,24,1990,2,championship
12,Wolves,12,3,3,3,17,15,24,1990,2,championship
13,West Bromwich Alb.,12,3,3,3,15,16,24,1990,2,championship
