1,Birmingham City,3,1,0,0,2,0,24,1999,1,championship
2,Wolves,3,1,0,0,2,0,24,1999,1,championship
3,Norwich City,3,1,0,0,2,1,24,1999,1,championship
4,Sheffield United,3,1,0,0,2,1,24,1999,1,championship
5,Stockport County,3,1,0,0,2,1,24,1999,1,championship
6,Watford,3,1,0,0,2,1,24,1999,1,championship
7,Bury,3,1,0,0,1,0,24,1999,1,championship
8,Sunderland,3,1,0,0,1,0,24,1999,1,championship
9,Barnsley,1,0,1,0,2,2,24,1999,1,championship
10,Bolton Wanderers,1,0,1,0,2,2,24,1999,1,championship
11,Bristol City,1,0,1,0,2,2,24,1999,1,championship
12,Crystal Palace,1,0,1,0,2,2,24,1999,1,championship
13,Oxford City,1,0,1,0,2,2,24,1999,1,championship
14,West Bromwich Alb.,1,0,1,0,2,2,24,1999,1,championship
15,Grimsby Town,1,0,1,0,0,0,24,1999,1,championship
16,Ipswich Town,1,0,1,0,0,0,24,1999,1,championship
17,Bradford City,0,0,0,1,1,2,24,1999,1,championship
18,Crewe Alexandra,0,0,0,1,1,2,24,1999,1,championship
19,Portsmouth,0,0,0,1,1,2,24,1999,1,championship
20,Swindon Town,0,0,0,1,1,2,24,1999,1,championship
21,Huddersfield Town,0,0,0,1,0,1,24,1999,1,championship
22,Queens Park Range.,0,0,0,1,0,1,24,1999,1,championship
23,Port Vale,0,0,0,1,0,2,24,1999,1,championship
24,Tranmere Rovers,0,0,0,1,0,2,24,1999,1,championship
1,Sunderland,105,31,12,3,91,28,24,1999,46,championship
2,Bradford City,87,26,9,11,82,47,24,1999,46,championship
3,Ipswich Town,86,26,8,12,69,32,24,1999,46,championship
4,Birmingham City,81,23,12,11,66,37,24,1999,46,championship
5,Watford,77,21,14,11,65,56,24,1999,46,championship
6,Bolton Wanderers,76,20,16,10,78,59,24,1999,46,championship
7,Wolves,73,19,16,11,64,43,24,1999,46,championship
8,Sheffield United,67,18,13,15,71,66,24,1999,46,championship
9,Norwich City,62,15,17,14,62,61,24,1999,46,championship
10,Huddersfield Town,61,15,16,15,62,71,24,1999,46,championship
11,Grimsby Town,61,17,10,19,40,52,24,1999,46,championship
12,Barnsley,59,14,17,15,59,56,24,1999,46,championship
13,West Bromwich Alb.,59,16,11,19,69,76,24,1999,46,championship
14,Crystal Palace,58,14,16,16,58,71,24,1999,46,championship
15,Tranmere Rovers,56,12,20,14,63,61,24,1999,46,championship
16,Stockport County,53,12,17,17,49,60,24,1999,46,championship
17,Swindon Town,50,13,11,22,59,81,24,1999,46,championship
18,Crewe Alexandra,48,12,12,22,54,78,24,1999,46,championship
19,Queens Park Range.,47,12,11,23,52,61,24,1999,46,championship
20,Portsmouth,47,11,14,21,57,73,24,1999,46,championship
21,Bury,47,10,17,19,35,60,24,1999,46,championship
22,Port Vale,47,13,8,25,45,75,24,1999,46,championship
23,Oxford City,44,10,14,22,48,71,24,1999,46,championship
24,Bristol City,42,9,15,22,57,80,24,1999,46,championship
