Position,Team,Points,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Season,Round,League
1,Olympique,2,1,0,0,4,1,20,1990,1,ligue_1
2,Montpellier,2,1,0,0,4,1,20,1990,1,ligue_1
3,Toulouse,2,1,0,0,3,0,20,1990,1,ligue_1
4,Sporting Toulon,2,1,0,0,2,0,20,1990,1,ligue_1
5,Nantes,2,1,0,0,2,1,20,1990,1,ligue_1
6,Lille,2,1,0,0,1,0,20,1990,1,ligue_1
7,Sochaux,2,1,0,0,1,0,20,1990,1,ligue_1
8,PSG,1,0,1,0,3,3,20,1990,1,ligue_1
9,Nice,1,0,1,0,3,3,20,1990,1,ligue_1
10,Girondins Bordeaux,1,0,1,0,0,0,20,1990,1,ligue_1
11,Metz,1,0,1,0,0,0,20,1990,1,ligue_1
12,Monaco,1,0,1,0,0,0,20,1990,1,ligue_1
13,Racing Paris,1,0,1,0,0,0,20,1990,1,ligue_1
14,Auxerre,0,0,0,1,1,2,20,1990,1,ligue_1
15,Caen,0,0,0,1,0,1,20,1990,1,ligue_1
16,Stade Brestois,0,0,0,1,0,1,20,1990,1,ligue_1
17,Saint-Étienne,0,0,0,1,0,2,20,1990,1,ligue_1
18,Cannes,0,0,0,1,1,4,20,1990,1,ligue_1
19,Olympique Lyonnais,0,0,0,1,1,4,20,1990,1,ligue_1
20,FC Mulhouse,0,0,0,1,0,3,20,1990,1,ligue_1
1,Olympique,4,2,0,0,5,1,20,1990,2,ligue_1
2,Girondins Bordeaux,3,1,1,0,4,0,20,1990,2,ligue_1
3,Sporting Toulon,3,1,1,0,2,0,20,1990,2,ligue_1
4,PSG,3,1,1,0,4,3,20,1990,2,ligue_1
5,Monaco,3,1,1,0,2,1,20,1990,2,ligue_1
6,Montpellier,2,1,0,1,4,3,20,1990,2,ligue_1
7,Olympique Lyonnais,2,1,0,1,4,4,20,1990,2,ligue_1
8,Caen,2,1,0,1,3,3,20,1990,2,ligue_1
9,Toulouse,2,1,0,1,3,3,20,1990,2,ligue_1
10,Auxerre,2,1,0,1,2,2,20,1990,2,ligue_1
11,Nantes,2,1,0,1,2,2,20,1990,2,ligue_1
12,Sochaux,2,1,0,1,2,2,20,1990,2,ligue_1
13,Lille,2,1,0,1,1,1,20,1990,2,ligue_1
14,Stade Brestois,2,1,0,1,1,1,20,1990,2,ligue_1
15,FC Mulhouse,2,1,0,1,2,3,20,1990,2,ligue_1
16,Nice,1,0,1,1,3,4,20,1990,2,ligue_1
17,Metz,1,0,1,1,0,1,20,1990,2,ligue_1
18,Cannes,1,0,1,1,1,4,20,1990,2,ligue_1
19,Racing Paris,1,0,1,1,0,4,20,1990,2,ligue_1
20,Saint-Étienne,0,0,0,2,2,5,20,1990,2,ligue_1
1,Girondins Bordeaux,5,2,1,0,6,1,20,1990,3,ligue_1
2,Sporting Toulon,5,2,1,0,4,0,20,1990,3,ligue_1
3,Olympique,4,2,0,1,6,3,20,1990,3,ligue_1
4,Toulouse,4,2,0,1,5,4,20,1990,3,ligue_1
5,Nantes,4,2,0,1,4,3,20,1990,3,ligue_1
6,Monaco,4,1,2,0,3,2,20,1990,3,ligue_1
7,Sochaux,4,2,0,1,3,2,20,1990,3,ligue_1
8,Nice,3,1,1,1,5,4,20,1990,3,ligue_1
9,PSG,3,1,1,1,4,4,20,1990,3,ligue_1
10,Metz,3,1,1,1,2,2,20,1990,3,ligue_1
11,Lille,3,1,1,1,2,2,20,1990,3,ligue_1
12,Racing Paris,3,1,1,1,3,6,20,1990,3,ligue_1
13,Montpellier,2,1,0,2,5,5,20,1990,3,ligue_1
14,Olympique Lyonnais,2,1,0,2,5,6,20,1990,3,ligue_1
15,Saint-Étienne,2,1,0,2,4,5,20,1990,3,ligue_1
16,Auxerre,2,1,0,2,3,4,20,1990,3,ligue_1
17,Caen,2,1,0,2,3,5,20,1990,3,ligue_1
18,Stade Brestois,2,1,0,2,1,3,20,1990,3,ligue_1
19,FC Mulhouse,2,1,0,2,2,5,20,1990,3,ligue_1
20,Cannes,1,0,1,2,3,7,20,1990,3,ligue_1
1,Girondins Bordeaux,7,3,1,0,7,1,20,1990,4,ligue_1
2,Nantes,6,3,0,1,9,4,20,1990,4,ligue_1
3,Olympique,6,3,0,1,8,4,20,1990,4,ligue_1
4,Toulouse,5,2,1,1,7,6,20,1990,4,ligue_1
5,PSG,5,2,1,1,6,5,20,1990,4,ligue_1
6,Monaco,5,1,3,0,3,2,20,1990,4,ligue_1
7,Sporting Toulon,5,2,1,1,4,4,20,1990,4,ligue_1
8,Olympique Lyonnais,4,2,0,2,7,6,20,1990,4,ligue_1
9,FC Mulhouse,4,2,0,2,6,5,20,1990,4,ligue_1
10,Sochaux,4,2,0,2,3,3,20,1990,4,ligue_1
11,Stade Brestois,4,2,0,2,3,4,20,1990,4,ligue_1
12,Cannes,3,1,1,2,6,7,20,1990,4,ligue_1
13,Auxerre,3,1,1,2,5,6,20,1990,4,ligue_1
14,Nice,3,1,1,2,5,6,20,1990,4,ligue_1
15,Saint-Étienne,3,1,1,2,4,5,20,1990,4,ligue_1
16,Metz,3,1,1,2,3,4,20,1990,4,ligue_1
17,Lille,3,1,1,2,2,5,20,1990,4,ligue_1
18,Racing Paris,3,1,1,2,4,11,20,1990,4,ligue_1
19,Montpellier,2,1,0,3,6,7,20,1990,4,ligue_1
20,Caen,2,1,0,3,4,7,20,1990,4,ligue_1
1,Girondins Bordeaux,9,4,1,0,8,1,20,1990,5,ligue_1
2,Nantes,7,3,1,1,10,5,20,1990,5,ligue_1
3,Olympique,7,3,1,1,9,5,20,1990,5,ligue_1
4,PSG,7,3,1,1,8,6,20,1990,5,ligue_1
5,Sporting Toulon,7,3,1,1,6,4,20,1990,5,ligue_1
6,Sochaux,6,3,0,2,6,3,20,1990,5,ligue_1
7,Olympique Lyonnais,6,3,0,2,10,8,20,1990,5,ligue_1
8,Toulouse,6,2,2,1,8,7,20,1990,5,ligue_1
9,Monaco,6,1,4,0,4,3,20,1990,5,ligue_1
10,Racing Paris,5,2,1,2,6,12,20,1990,5,ligue_1
11,Montpellier,4,2,0,3,7,7,20,1990,5,ligue_1
12,FC Mulhouse,4,2,0,3,7,7,20,1990,5,ligue_1
13,Nice,4,1,2,2,6,7,20,1990,5,ligue_1
14,Stade Brestois,4,2,0,3,3,6,20,1990,5,ligue_1
15,Saint-Étienne,3,1,1,3,5,7,20,1990,5,ligue_1
16,Metz,3,1,1,3,5,7,20,1990,5,ligue_1
17,Auxerre,3,1,1,3,5,7,20,1990,5,ligue_1
18,Caen,3,1,1,3,5,8,20,1990,5,ligue_1
19,Cannes,3,1,1,3,6,10,20,1990,5,ligue_1
20,Lille,3,1,1,3,2,6,20,1990,5,ligue_1
1,Girondins Bordeaux,11,5,1,0,9,1,20,1990,6,ligue_1
2,Olympique,9,4,1,1,11,5,20,1990,6,ligue_1
3,PSG,9,4,1,1,10,7,20,1990,6,ligue_1
4,Sochaux,8,4,0,2,10,3,20,1990,6,ligue_1
5,Nantes,8,3,2,1,12,7,20,1990,6,ligue_1
6,Monaco,8,2,4,0,6,3,20,1990,6,ligue_1
7,Sporting Toulon,8,3,2,1,6,4,20,1990,6,ligue_1
8,Toulouse,7,2,3,1,8,7,20,1990,6,ligue_1
