Position,Team,Points,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Season,Round,League
1,Real Burgos CF,2,1,0,0,3,0,20,1990,1,segunda_division
2,Sabadell,2,1,0,0,1,0,20,1990,1,segunda_division
3,Bilbao Ath.,2,1,0,0,2,1,20,1990,1,segunda_division
4,Deportivo,2,1,0,0,1,0,20,1990,1,segunda_division
5,Xerez,2,1,0,0,4,1,20,1990,1,segunda_division
6,Las Palmas,2,1,0,0,1,0,20,1990,1,segunda_division
7,UE Figueres,2,1,0,0,4,2,20,1990,1,segunda_division
8,UD Salamanca,2,1,0,0,1,0,20,1990,1,segunda_division
9,Palamós,2,1,0,0,2,1,20,1990,1,segunda_division
10,Recreativo,1,0,1,0,2,2,20,1990,1,segunda_division
11,Atlético B,1,0,1,0,2,2,20,1990,1,segunda_division
12,Real Betis,0,0,0,1,0,1,20,1990,1,segunda_division
13,Espanyol,0,0,0,1,0,1,20,1990,1,segunda_division
14,Real Murcia,0,0,0,1,1,2,20,1990,1,segunda_division
15,Levante,0,0,0,1,1,4,20,1990,1,segunda_division
16,Sestao Sport Club,0,0,0,1,0,1,20,1990,1,segunda_division
17,Eibar,0,0,0,1,0,1,20,1990,1,segunda_division
18,Racing,0,0,0,1,1,2,20,1990,1,segunda_division
19,RM Castilla,0,0,0,1,0,3,20,1990,1,segunda_division
20,Elche,0,0,0,1,2,4,20,1990,1,segunda_division
1,Real Burgos CF,4,2,0,0,5,1,20,1990,2,segunda_division
2,Sabadell,4,2,0,0,2,0,20,1990,2,segunda_division
3,Bilbao Ath.,4,2,0,0,5,2,20,1990,2,segunda_division
4,Xerez,3,1,1,0,4,1,20,1990,2,segunda_division
5,Palamós,3,1,1,0,3,2,20,1990,2,segunda_division
6,UE Figueres,3,1,1,0,4,2,20,1990,2,segunda_division
7,Deportivo,2,1,0,1,1,1,20,1990,2,segunda_division
8,Real Betis,2,1,0,1,1,1,20,1990,2,segunda_division
9,UD Salamanca,2,1,0,1,1,1,20,1990,2,segunda_division
10,Espanyol,2,1,0,1,1,1,20,1990,2,segunda_division
11,Las Palmas,2,1,0,1,2,3,20,1990,2,segunda_division
12,Atlético B,2,0,2,0,2,2,20,1990,2,segunda_division
13,Racing,2,1,0,1,3,2,20,1990,2,segunda_division
14,Real Murcia,1,0,1,1,2,3,20,1990,2,segunda_division
15,Levante,1,0,1,1,2,5,20,1990,2,segunda_division
16,Sestao Sport Club,1,0,1,1,1,2,20,1990,2,segunda_division
17,RM Castilla,1,0,1,1,0,3,20,1990,2,segunda_division
18,Recreativo,1,0,1,1,3,4,20,1990,2,segunda_division
19,Elche,0,0,0,2,2,5,20,1990,2,segunda_division
20,Eibar,0,0,0,2,0,3,20,1990,2,segunda_division
1,Real Burgos CF,5,2,1,0,6,2,20,1990,3,segunda_division
2,Bilbao Ath.,5,2,1,0,5,2,20,1990,3,segunda_division
3,Real Betis,4,2,0,1,2,1,20,1990,3,segunda_division
4,Las Palmas,4,2,0,1,5,3,20,1990,3,segunda_division
5,Racing,4,2,0,1,4,2,20,1990,3,segunda_division
6,Palamós,4,1,2,0,4,3,20,1990,3,segunda_division
7,Xerez,4,1,2,0,5,2,20,1990,3,segunda_division
8,Sabadell,4,2,0,1,2,2,20,1990,3,segunda_division
9,Espanyol,3,1,1,1,2,2,20,1990,3,segunda_division
10,Recreativo,3,1,1,1,4,4,20,1990,3,segunda_division
11,Levante,3,1,1,1,4,5,20,1990,3,segunda_division
12,UE Figueres,3,1,1,1,4,3,20,1990,3,segunda_division
13,Deportivo,3,1,1,1,1,1,20,1990,3,segunda_division
14,Atlético B,3,0,3,0,3,3,20,1990,3,segunda_division
15,RM Castilla,2,0,2,1,1,4,20,1990,3,segunda_division
16,UD Salamanca,2,1,0,2,1,2,20,1990,3,segunda_division
17,Elche,2,1,0,2,4,5,20,1990,3,segunda_division
18,Real Murcia,1,0,1,2,2,4,20,1990,3,segunda_division
19,Sestao Sport Club,1,0,1,2,1,4,20,1990,3,segunda_division
20,Eibar,0,0,0,3,0,6,20,1990,3,segunda_division
1,Real Burgos CF,7,3,1,0,11,2,20,1990,4,segunda_division
2,Bilbao Ath.,7,3,1,0,8,3,20,1990,4,segunda_division
3,Palamós,6,2,2,0,6,3,20,1990,4,segunda_division
4,Real Betis,5,2,1,1,2,1,20,1990,4,segunda_division
5,Deportivo,5,2,1,1,2,1,20,1990,4,segunda_division
6,Racing,5,2,1,1,4,2,20,1990,4,segunda_division
7,Xerez,5,1,3,0,5,2,20,1990,4,segunda_division
8,Sabadell,5,2,1,1,3,3,20,1990,4,segunda_division
9,UD Salamanca,4,2,0,2,4,2,20,1990,4,segunda_division
10,Espanyol,4,1,2,1,3,3,20,1990,4,segunda_division
11,Las Palmas,4,2,0,2,5,6,20,1990,4,segunda_division
12,Recreativo,4,1,2,1,5,5,20,1990,4,segunda_division
13,Levante,4,1,2,1,4,5,20,1990,4,segunda_division
14,UE Figueres,3,1,1,2,4,8,20,1990,4,segunda_division
15,RM Castilla,3,0,3,1,2,5,20,1990,4,segunda_division
16,Elche,3,1,1,2,4,5,20,1990,4,segunda_division
17,Atlético B,3,0,3,1,3,5,20,1990,4,segunda_division
18,Sestao Sport Club,2,0,2,2,1,4,20,1990,4,segunda_division
19,Real Murcia,1,0,1,3,3,7,20,1990,4,segunda_division
20,Eibar,0,0,0,4,0,7,20,1990,4,segunda_division
1,Bilbao Ath.,8,3,2,0,8,3,20,1990,5,segunda_division
2,Palamós,8,3,2,0,7,3,20,1990,5,segunda_division
3,Real Burgos CF,7,3,1,1,12,6,20,1990,5,segunda_division
4,Deportivo,7,3,1,1,5,1,20,1990,5,segunda_division
5,Real Betis,7,3,1,1,5,2,20,1990,5,segunda_division
6,Racing,7,3,1,1,6,3,20,1990,5,segunda_division
7,Sabadell,7,3,1,1,6,3,20,1990,5,segunda_division
8,Espanyol,6,2,2,1,7,4,20,1990,5,segunda_division
9,Xerez,5,1,3,1,6,5,20,1990,5,segunda_division
10,Las Palmas,5,2,1,2,6,7,20,1990,5,segunda_division
11,Levante,5,1,3,1,4,5,20,1990,5,segunda_division
12,Elche,4,1,2,2,5,6,20,1990,5,segunda_division
13,UD Salamanca,4,2,0,3,4,5,20,1990,5,segunda_division
14,UE Figueres,4,1,2,2,5,9,20,1990,5,segunda_division
15,Recreativo,4,1,2,2,5,8,20,1990,5,segunda_division
16,Atlético B,4,0,4,1,4,6,20,1990,5,segunda_division
17,RM Castilla,3,0,3,2,3,7,20,1990,5,segunda_division
18,Real Murcia,3,1,1,3,4,7,20,1990,5,segunda_division
19,Sestao Sport Club,2,0,2,3,1,5,20,1990,5,segunda_division
20,Eibar,0,0,0,5,0,8,20,1990,5,segunda_division
1,Bilbao Ath.,10,4,2,0,11,3,20,1990,6,segunda_division
2,Real Betis,9,4,1,1,6,2,20,1990,6,segunda_division
3,Racing,9,4,1,1,8,4,20,1990,6,segunda_division
4,Real Burgos CF,9,4,1,1,14,7,20,1990,6,segunda_division
5,Palamós,8,3,2,1,7,4,20,1990,6,segunda_division
6,Sabadell,7,3,1,2,7,5,20,1990,6,segunda_division
7,Deportivo,7,3,1,2,6,4,20,1990,6,segunda_division
8,UE Figueres,6,2,2,2,6,9,20,1990,6,segunda_division
9,Espanyol,6,2,2,2,7,5,20,1990,6,segunda_division
10,Las Palmas,6,2,2,2,6,7,20,1990,6,segunda_division
11,Elche,6,2,2,2,8,7,20,1990,6,segunda_division
12,Xerez,5,1,3,2,6,8,20,1990,6,segunda_division
13,UD Salamanca,5,2,1,3,4,5,20,1990,6,segunda_division
14,Atlético B,5,0,5,1,4,6,20,1990,6,segunda_division
15,Levante,5,1,3,2,6,9,20,1990,6,segunda_division
16,Real Murcia,4,1,2,3,4,7,20,1990,6,segunda_division
17,RM Castilla,4,0,4,2,3,7,20,1990,6,segunda_division
18,Recreativo,4,1,2,3,6,10,20,1990,6,segunda_division
19,Sestao Sport Club,3,0,3,3,1,5,20,1990,6,segunda_division
20,Eibar,2,1,0,5,4,10,20,1990,6,segunda_division
1,Bilbao Ath.,12,5,2,0,12,3,20,1990,7,segunda_division
2,Real Betis,11,5,1,1,8,2,20,1990,7,segunda_division
3,Racing,10,4,2,1,8,4,20,1990,7,segunda_division
4,Real Burgos CF,10,4,2,1,14,7,20,1990,7,segunda_division
5,Sabadell,9,4,1,2,9,6,20,1990,7,segunda_division
6,Las Palmas,8,3,2,2,8,8,20,1990,7,segunda_division
7,Palamós,8,3,2,2,7,5,20,1990,7,segunda_division
8,Deportivo,7,3,1,3,6,5,20,1990,7,segunda_division
9,Xerez,7,2,3,2,7,8,20,1990,7,segunda_division
10,UD Salamanca,7,3,1,3,6,6,20,1990,7,segunda_division
11,Atlético B,7,1,5,1,6,7,20,1990,7,segunda_division
12,UE Figueres,6,2,2,3,7,11,20,1990,7,segunda_division
13,RM Castilla,6,1,4,2,4,7,20,1990,7,segunda_division
14,Espanyol,6,2,2,3,8,7,20,1990,7,segunda_division
15,Real Murcia,6,2,2,3,5,7,20,1990,7,segunda_division
16,Elche,6,2,2,3,8,8,20,1990,7,segunda_division
17,Levante,5,1,3,3,7,11,20,1990,7,segunda_division
18,Recreativo,4,1,2,4,7,12,20,1990,7,segunda_division
19,Sestao Sport Club,3,0,3,4,1,7,20,1990,7,segunda_division
20,Eibar,2,1,0,6,4,11,20,1990,7,segunda_division
1,Real Betis,13,6,1,1,9,2,20,1990,8,segunda_division
2,Real Burgos CF,12,5,2,1,17,7,20,1990,8,segunda_division
3,Bilbao Ath.,12,5,2,1,12,4,20,1990,8,segunda_division
4,Racing,10,4,2,2,8,5,20,1990,8,segunda_division
5,Sabadell,9,4,1,3,9,9,20,1990,8,segunda_division
6,Xerez,9,3,3,2,9,8,20,1990,8,segunda_division
7,Palamós,9,3,3,2,8,6,20,1990,8,segunda_division
8,UE Figueres,8,3,2,3,8,11,20,1990,8,segunda_division
9,RM Castilla,8,2,4,2,7,8,20,1990,8,segunda_division
10,Las Palmas,8,3,2,3,8,11,20,1990,8,segunda_division
11,Espanyol,8,3,2,3,11,7,20,1990,8,segunda_division
12,Elche,8,3,2,3,10,8,20,1990,8,segunda_division
13,Deportivo,7,3,1,4,6,6,20,1990,8,segunda_division
14,UD Salamanca,7,3,1,4,6,8,20,1990,8,segunda_division
15,Atlético B,7,1,5,2,6,8,20,1990,8,segunda_division
16,Real Murcia,6,2,2,4,6,10,20,1990,8,segunda_division
17,Recreativo,6,2,2,4,8,12,20,1990,8,segunda_division
18,Levante,5,1,3,4,7,13,20,1990,8,segunda_division
19,Sestao Sport Club,5,1,3,4,2,7,20,1990,8,segunda_division
20,Eibar,3,1,1,6,5,12,20,1990,8,segunda_division
1,Bilbao Ath.,14,6,2,1,15,6,20,1990,9,segunda_division
2,Real Burgos CF,13,5,3,1,18,8,20,1990,9,segunda_division
3,Real Betis,13,6,1,2,11,5,20,1990,9,segunda_division
4,Racing,12,5,2,2,9,5,20,1990,9,segunda_division
5,Xerez,11,4,3,2,11,8,20,1990,9,segunda_division
6,Sabadell,10,4,2,3,11,11,20,1990,9,segunda_division
7,Palamós,10,3,4,2,8,6,20,1990,9,segunda_division
8,UE Figueres,9,3,3,3,9,12,20,1990,9,segunda_division
9,Las Palmas,9,3,3,3,9,12,20,1990,9,segunda_division
10,RM Castilla,8,2,4,3,7,9,20,1990,9,segunda_division
11,Espanyol,8,3,2,4,11,8,20,1990,9,segunda_division
12,Deportivo,8,3,2,4,7,7,20,1990,9,segunda_division
13,UD Salamanca,8,3,2,4,6,8,20,1990,9,segunda_division
14,Real Murcia,8,3,2,4,7,10,20,1990,9,segunda_division
15,Atlético B,8,1,6,2,8,10,20,1990,9,segunda_division
16,Elche,8,3,2,4,10,10,20,1990,9,segunda_division
17,Levante,7,2,3,4,8,13,20,1990,9,segunda_division
18,Sestao Sport Club,7,2,3,4,4,8,20,1990,9,segunda_division
19,Recreativo,6,2,2,5,8,13,20,1990,9,segunda_division
20,Eibar,3,1,1,7,6,14,20,1990,9,segunda_division
1,Real Burgos CF,15,6,3,1,20,9,20,1990,10,segunda_division
2,Bilbao Ath.,15,6,3,1,16,7,20,1990,10,segunda_division
3,Real Betis,15,7,1,2,14,6,20,1990,10,segunda_division
4,Racing,13,5,3,2,10,6,20,1990,10,segunda_division
5,Palamós,12,4,4,2,11,8,20,1990,10,segunda_division
6,Xerez,11,4,3,3,11,9,20,1990,10,segunda_division
7,Sabadell,11,4,3,3,12,12,20,1990,10,segunda_division
8,UE Figueres,10,3,4,3,10,13,20,1990,10,segunda_division
9,RM Castilla,10,3,4,3,8,9,20,1990,10,segunda_division
10,Espanyol,10,4,2,4,13,9,20,1990,10,segunda_division
11,Deportivo,9,3,3,4,8,8,20,1990,10,segunda_division
12,Sestao Sport Club,9,3,3,4,5,8,20,1990,10,segunda_division
13,Atlético B,9,1,7,2,9,11,20,1990,10,segunda_division
14,Las Palmas,9,3,3,4,10,14,20,1990,10,segunda_division
15,UD Salamanca,8,3,2,5,6,9,20,1990,10,segunda_division
16,Real Murcia,8,3,2,5,8,12,20,1990,10,segunda_division
17,Elche,8,3,2,5,12,13,20,1990,10,segunda_division
18,Levante,8,2,4,4,9,14,20,1990,10,segunda_division
19,Recreativo,7,2,3,5,9,14,20,1990,10,segunda_division
20,Eibar,3,1,1,8,7,17,20,1990,10,segunda_division
1,Real Burgos CF,17,7,3,1,23,10,20,1990,11,segunda_division
2,Bilbao Ath.,17,7,3,1,18,7,20,1990,11,segunda_division
3,Real Betis,17,8,1,2,15,6,20,1990,11,segunda_division
4,Racing,15,6,3,2,13,7,20,1990,11,segunda_division
5,Palamós,14,5,4,2,12,8,20,1990,11,segunda_division
6,Xerez,13,5,3,3,12,9,20,1990,11,segunda_division
7,UE Figueres,12,4,4,3,14,14,20,1990,11,segunda_division
8,Espanyol,12,5,2,4,16,11,20,1990,11,segunda_division
9,Sabadell,11,4,3,4,12,13,20,1990,11,segunda_division
10,Sestao Sport Club,11,4,3,4,8,8,20,1990,11,segunda_division
11,Las Palmas,11,4,3,4,11,14,20,1990,11,segunda_division
12,RM Castilla,10,3,4,4,8,10,20,1990,11,segunda_division
13,Deportivo,9,3,3,5,10,11,20,1990,11,segunda_division
14,Atlético B,9,1,7,3,10,14,20,1990,11,segunda_division
15,UD Salamanca,8,3,2,6,6,10,20,1990,11,segunda_division
16,Real Murcia,8,3,2,6,9,16,20,1990,11,segunda_division
17,Elche,8,3,2,6,12,16,20,1990,11,segunda_division
18,Levante,8,2,4,5,10,17,20,1990,11,segunda_division
19,Recreativo,7,2,3,6,9,15,20,1990,11,segunda_division
20,Eibar,3,1,1,9,7,19,20,1990,11,segunda_division
1,Real Burgos CF,19,8,3,1,24,10,20,1990,12,segunda_division
2,Bilbao Ath.,19,8,3,1,20,7,20,1990,12,segunda_division
3,Real Betis,18,8,2,2,17,8,20,1990,12,segunda_division
4,Palamós,16,6,4,2,13,8,20,1990,12,segunda_division
5,Racing,16,6,4,2,14,8,20,1990,12,segunda_division
6,Sabadell,13,5,3,4,16,13,20,1990,12,segunda_division
7,Espanyol,13,5,3,4,17,12,20,1990,12,segunda_division
8,Xerez,13,5,3,4,12,10,20,1990,12,segunda_division
