1,Levante,3,1,0,0,2,0,22,2006,1,segunda_division
2,Ciudad de Murcia,3,1,0,0,3,1,22,2006,1,segunda_division
3,Real Sporting,3,1,0,0,2,0,22,2006,1,segunda_division
4,Real Valladolid,3,1,0,0,1,0,22,2006,1,segunda_division
5,Numancia,3,1,0,0,3,0,22,2006,1,segunda_division
6,Elche,3,1,0,0,2,1,22,2006,1,segunda_division
7,Xerez,3,1,0,0,2,1,22,2006,1,segunda_division
8,Tenerife,3,1,0,0,3,1,22,2006,1,segunda_division
9,Lleida,3,1,0,0,1,0,22,2006,1,segunda_division
10,Lorca Deportiva,1,0,1,0,1,1,22,2006,1,segunda_division
11,Racing Ferrol,1,0,1,0,1,1,22,2006,1,segunda_division
12,At. Malagueño,1,0,1,0,1,1,22,2006,1,segunda_division
13,Hércules,1,0,1,0,1,1,22,2006,1,segunda_division
14,Gimnàstic,0,0,0,1,1,3,22,2006,1,segunda_division
15,CD Castellón,0,0,0,1,0,1,22,2006,1,segunda_division
16,RM Castilla,0,0,0,1,1,2,22,2006,1,segunda_division
17,Recreativo,0,0,0,1,1,3,22,2006,1,segunda_division
18,Albacete,0,0,0,1,0,2,22,2006,1,segunda_division
19,Almería,0,0,0,1,0,3,22,2006,1,segunda_division
20,Real Murcia,0,0,0,1,0,1,22,2006,1,segunda_division
21,Eibar,0,0,0,1,1,2,22,2006,1,segunda_division
22,Poli Ejido,0,0,0,1,0,2,22,2006,1,segunda_division
1,Levante,6,2,0,0,4,1,22,2006,2,segunda_division
2,Ciudad de Murcia,6,2,0,0,4,1,22,2006,2,segunda_division
3,Numancia,6,2,0,0,4,0,22,2006,2,segunda_division
4,Real Sporting,6,2,0,0,6,0,22,2006,2,segunda_division
5,Real Valladolid,6,2,0,0,4,2,22,2006,2,segunda_division
6,Lorca Deportiva,4,1,1,0,4,2,22,2006,2,segunda_division
7,Recreativo,3,1,0,1,4,4,22,2006,2,segunda_division
8,Almería,3,1,0,1,3,3,22,2006,2,segunda_division
9,Elche,3,1,0,1,3,4,22,2006,2,segunda_division
10,Tenerife,3,1,0,1,4,4,22,2006,2,segunda_division
11,Xerez,3,1,0,1,2,4,22,2006,2,segunda_division
12,RM Castilla,3,1,0,1,4,2,22,2006,2,segunda_division
13,Poli Ejido,3,1,0,1,2,3,22,2006,2,segunda_division
14,Lleida,3,1,0,1,2,2,22,2006,2,segunda_division
15,Real Murcia,3,1,0,1,1,1,22,2006,2,segunda_division
16,Racing Ferrol,1,0,1,1,2,3,22,2006,2,segunda_division
17,Hércules,1,0,1,1,1,4,22,2006,2,segunda_division
18,At. Malagueño,1,0,1,1,1,2,22,2006,2,segunda_division
19,Gimnàstic,0,0,0,2,1,7,22,2006,2,segunda_division
20,CD Castellón,0,0,0,2,0,2,22,2006,2,segunda_division
21,Albacete,0,0,0,2,2,5,22,2006,2,segunda_division
22,Eibar,0,0,0,2,1,3,22,2006,2,segunda_division
1,Levante,9,3,0,0,5,1,22,2006,3,segunda_division
2,Ciudad de Murcia,9,3,0,0,6,2,22,2006,3,segunda_division
3,Real Sporting,7,2,1,0,7,1,22,2006,3,segunda_division
4,Real Valladolid,6,2,0,1,4,4,22,2006,3,segunda_division
5,Tenerife,6,2,0,1,7,6,22,2006,3,segunda_division
6,Poli Ejido,6,2,0,1,6,5,22,2006,3,segunda_division
7,Xerez,6,2,0,1,4,5,22,2006,3,segunda_division
8,Numancia,6,2,0,1,4,5,22,2006,3,segunda_division
9,Real Murcia,6,2,0,1,2,1,22,2006,3,segunda_division
10,Lleida,6,2,0,1,7,2,22,2006,3,segunda_division
11,Almería,4,1,1,1,5,5,22,2006,3,segunda_division
12,Recreativo,4,1,1,1,5,5,22,2006,3,segunda_division
13,Lorca Deportiva,4,1,1,1,4,3,22,2006,3,segunda_division
14,RM Castilla,3,1,0,2,5,4,22,2006,3,segunda_division
15,Elche,3,1,0,2,3,5,22,2006,3,segunda_division
16,Gimnàstic,3,1,0,2,3,7,22,2006,3,segunda_division
17,Hércules,2,0,2,1,3,6,22,2006,3,segunda_division
18,Racing Ferrol,1,0,1,2,4,7,22,2006,3,segunda_division
19,Albacete,1,0,1,2,3,6,22,2006,3,segunda_division
20,At. Malagueño,1,0,1,2,3,5,22,2006,3,segunda_division
21,Eibar,1,0,1,2,2,4,22,2006,3,segunda_division
22,CD Castellón,0,0,0,3,1,4,22,2006,3,segunda_division
1,Levante,10,3,1,0,5,1,22,2006,4,segunda_division
2,Ciudad de Murcia,9,3,0,1,6,3,22,2006,4,segunda_division
3,Tenerife,9,3,0,1,9,7,22,2006,4,segunda_division
4,Recreativo,7,2,1,1,7,5,22,2006,4,segunda_division
5,Real Sporting,7,2,1,1,7,2,22,2006,4,segunda_division
6,Xerez,7,2,1,1,5,6,22,2006,4,segunda_division
7,Numancia,7,2,1,1,5,6,22,2006,4,segunda_division
8,Almería,7,2,1,1,6,5,22,2006,4,segunda_division
9,Real Murcia,7,2,1,1,2,1,22,2006,4,segunda_division
10,Lleida,7,2,1,1,7,2,22,2006,4,segunda_division
11,Gimnàstic,6,2,0,2,4,7,22,2006,4,segunda_division
