Position,Team,Points,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Season,Round,League
1,Milan,2,1,0,0,3,0,18,1990,1,serie_a
2,Sampdoria,2,1,0,0,2,0,18,1990,1,serie_a
3,Inter,2,1,0,0,2,1,18,1990,1,serie_a
4,Napoli,2,1,0,0,1,0,18,1990,1,serie_a
5,Genoa,2,1,0,0,1,0,18,1990,1,serie_a
6,Atalanta,2,1,0,0,1,0,18,1990,1,serie_a
7,Fiorentina,1,0,1,0,1,1,18,1990,1,serie_a
8,Juventus,1,0,1,0,1,1,18,1990,1,serie_a
9,SSC Bari,1,0,1,0,1,1,18,1990,1,serie_a
10,Udinese,1,0,1,0,1,1,18,1990,1,serie_a
11,Roma,1,0,1,0,1,1,18,1990,1,serie_a
12,Bologna,1,0,1,0,1,1,18,1990,1,serie_a
13,Cremonese,0,0,0,1,1,2,18,1990,1,serie_a
14,Lecce,0,0,0,1,0,1,18,1990,1,serie_a
15,Hellas Verona,0,0,0,1,0,1,18,1990,1,serie_a
16,Ascoli,0,0,0,1,0,1,18,1990,1,serie_a
17,Lazio,0,0,0,1,0,2,18,1990,1,serie_a
18,Cesena,0,0,0,1,0,3,18,1990,1,serie_a
1,Napoli,4,2,0,0,2,0,18,1990,2,serie_a
2,Juventus,3,1,1,0,5,2,18,1990,2,serie_a
3,Sampdoria,3,1,1,0,2,0,18,1990,2,serie_a
4,Inter,3,1,1,0,4,3,18,1990,2,serie_a
5,Genoa,3,1,1,0,1,0,18,1990,2,serie_a
6,Milan,2,1,0,1,3,1,18,1990,2,serie_a
7,Bologna,2,0,2,0,3,3,18,1990,2,serie_a
8,Atalanta,2,1,0,1,2,2,18,1990,2,serie_a
9,Lecce,2,1,0,1,2,2,18,1990,2,serie_a
10,Roma,2,0,2,0,1,1,18,1990,2,serie_a
11,Fiorentina,2,0,2,0,1,1,18,1990,2,serie_a
12,SSC Bari,2,0,2,0,1,1,18,1990,2,serie_a
13,Lazio,2,1,0,1,1,2,18,1990,2,serie_a
14,Cesena,2,1,0,1,2,4,18,1990,2,serie_a
15,Udinese,1,0,1,1,1,2,18,1990,2,serie_a
16,Ascoli,1,0,1,1,0,1,18,1990,2,serie_a
17,Cremonese,0,0,0,2,2,4,18,1990,2,serie_a
18,Hellas Verona,0,0,0,2,1,5,18,1990,2,serie_a
1,Juventus,5,2,1,0,8,3,18,1990,3,serie_a
2,Inter,5,2,1,0,6,4,18,1990,3,serie_a
3,Napoli,5,2,1,0,2,0,18,1990,3,serie_a
4,Milan,4,2,0,1,4,1,18,1990,3,serie_a
5,Roma,4,1,2,0,3,1,18,1990,3,serie_a
6,SSC Bari,4,1,2,0,3,2,18,1990,3,serie_a
7,Sampdoria,3,1,1,1,3,2,18,1990,3,serie_a
8,Bologna,3,0,3,0,4,4,18,1990,3,serie_a
9,Ascoli,3,1,1,1,2,2,18,1990,3,serie_a
10,Lazio,3,1,1,1,2,3,18,1990,3,serie_a
11,Genoa,3,1,1,1,1,2,18,1990,3,serie_a
12,Cesena,3,1,1,1,2,4,18,1990,3,serie_a
13,Lecce,2,1,0,2,3,4,18,1990,3,serie_a
14,Atalanta,2,1,0,2,2,3,18,1990,3,serie_a
15,Udinese,2,0,2,1,2,3,18,1990,3,serie_a
16,Fiorentina,2,0,2,1,2,4,18,1990,3,serie_a
17,Cremonese,1,0,1,2,3,5,18,1990,3,serie_a
18,Hellas Verona,0,0,0,3,2,7,18,1990,3,serie_a
