,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
0,Saarbrücken,Stuttgarter,1-0,Sat 29 Jul ,/match/saarbrucken/stuttgarter-kickers/1990,1990,1,2_liga
1,SC Freiburg,Unterhaching,2-3,Sat 29 Jul ,/match/sc-freiburg/unterhaching/1990,1990,1,2_liga
2,VfL Osnabrück,Meppen,1-1,Sat 29 Jul ,/match/vfl-osnabruck/meppen/1990,1990,1,2_liga
3,RW Essen,Schalke 04,0-0,Sat 29 Jul ,/match/rot-weiss-essen/schalke-04/1990,1990,1,2_liga
4,Alemannia Aachen,MSV Duisburg,1-2,Sat 29 Jul ,/match/alemannia-aachen/msv-duisburg/1990,1990,1,2_liga
5,Hessen Kassel,Blau-Weiß 1890 B.,1-1,Sat 29 Jul ,/match/hessen-kassel/blau-weiss-1890-berlin/1990,1990,1,2_liga
6,Wattenscheid 09,Bayreuth SpVgg,4-1,Sat 29 Jul ,/match/wattenscheid-09/bayreuth-spvgg/1990,1990,1,2_liga
7,Fortuna Köln,Darmstadt 98,2-1,Sat 29 Jul ,/match/fortuna-koln/darmstadt-98/1990,1990,1,2_liga
8,Hertha BSC,Preußen Münster,2-0,Sat 29 Jul ,/match/hertha-bsc/preuben-munster/1990,1990,1,2_liga
9,Braunschweig,Hannover 96,1-0,Sat 29 Jul ,/match/eintracht-brau-hellip/hannover-96/1990,1990,1,2_liga
10,Stuttgarter,Wattenscheid 09,2-3,Sun 06 Aug ,/match/stuttgarter-kickers/wattenscheid-09/1990,1990,2,2_liga
11,Preußen Münster,Hessen Kassel,1-1,Sun 06 Aug ,/match/preuben-munster/hessen-kassel/1990,1990,2,2_liga
12,Darmstadt 98,Hertha BSC,0-0,Sun 06 Aug ,/match/darmstadt-98/hertha-bsc/1990,1990,2,2_liga
13,Bayreuth SpVgg,Fortuna Köln,2-2,Sun 06 Aug ,/match/bayreuth-spvgg/fortuna-koln/1990,1990,2,2_liga
14,MSV Duisburg,Saarbrücken,1-1,Sun 06 Aug ,/match/msv-duisburg/saarbrucken/1990,1990,2,2_liga
15,Hannover 96,Alemannia Aachen,2-0,Sun 06 Aug ,/match/hannover-96/alemannia-aachen/1990,1990,2,2_liga
16,Schalke 04,Braunschweig,1-5,Sun 06 Aug ,/match/schalke-04/eintracht-brau-hellip/1990,1990,2,2_liga
17,Blau-Weiß 1890 B.,SC Freiburg,3-1,Sun 06 Aug ,/match/blau-weiss-1890-berlin/sc-freiburg/1990,1990,2,2_liga
18,Meppen,RW Essen,3-2,Sun 06 Aug ,/match/meppen/rot-weiss-essen/1990,1990,2,2_liga
19,Unterhaching,VfL Osnabrück,2-2,Sun 06 Aug ,/match/unterhaching/vfl-osnabruck/1990,1990,2,2_liga
20,Saarbrücken,Hannover 96,2-0,Sat 12 Aug ,/match/saarbrucken/hannover-96/1990,1990,3,2_liga
21,Preußen Münster,Darmstadt 98,1-0,Sat 12 Aug ,/match/preuben-munster/darmstadt-98/1990,1990,3,2_liga
22,Hessen Kassel,SC Freiburg,2-5,Sat 12 Aug ,/match/hessen-kassel/sc-freiburg/1990,1990,3,2_liga
23,Braunschweig,Meppen,3-0,Sat 12 Aug ,/match/eintracht-brau-hellip/meppen/1990,1990,3,2_liga
24,Alemannia Aachen,Schalke 04,0-4,Sat 12 Aug ,/match/alemannia-aachen/schalke-04/1990,1990,3,2_liga
25,Fortuna Köln,Stuttgarter,0-1,Sat 12 Aug ,/match/fortuna-koln/stuttgarter-kickers/1990,1990,3,2_liga
26,Hertha BSC,Bayreuth SpVgg,1-0,Sat 12 Aug ,/match/hertha-bsc/bayreuth-spvgg/1990,1990,3,2_liga
27,RW Essen,Unterhaching,1-1,Sat 12 Aug ,/match/rot-weiss-essen/unterhaching/1990,1990,3,2_liga
28,VfL Osnabrück,Blau-Weiß 1890 B.,2-5,Sat 12 Aug ,/match/vfl-osnabruck/blau-weiss-1890-berlin/1990,1990,3,2_liga
29,Wattenscheid 09,MSV Duisburg,2-0,Sat 12 Aug ,/match/wattenscheid-09/msv-duisburg/1990,1990,3,2_liga
30,Hannover 96,Wattenscheid 09,0-3,Wed 16 Aug ,/match/hannover-96/wattenscheid-09/1990,1990,4,2_liga
31,Meppen,Alemannia Aachen,1-1,Wed 16 Aug ,/match/meppen/alemannia-aachen/1990,1990,4,2_liga
32,SC Freiburg,VfL Osnabrück,3-1,Wed 16 Aug ,/match/sc-freiburg/vfl-osnabruck/1990,1990,4,2_liga
33,Darmstadt 98,Hessen Kassel,0-1,Wed 16 Aug ,/match/darmstadt-98/hessen-kassel/1990,1990,4,2_liga
34,Stuttgarter,Hertha BSC,4-2,Wed 16 Aug ,/match/stuttgarter-kickers/hertha-bsc/1990,1990,4,2_liga
35,Schalke 04,Saarbrücken,1-2,Wed 16 Aug ,/match/schalke-04/saarbrucken/1990,1990,4,2_liga
36,Unterhaching,Braunschweig,1-1,Wed 16 Aug ,/match/unterhaching/eintracht-brau-hellip/1990,1990,4,2_liga
37,MSV Duisburg,Fortuna Köln,0-2,Wed 16 Aug ,/match/msv-duisburg/fortuna-koln/1990,1990,4,2_liga
38,Blau-Weiß 1890 B.,RW Essen,2-0,Wed 16 Aug ,/match/blau-weiss-1890-berlin/rot-weiss-essen/1990,1990,4,2_liga
39,Bayreuth SpVgg,Preußen Münster,2-1,Wed 16 Aug ,/match/bayreuth-spvgg/preuben-munster/1990,1990,4,2_liga
40,Wattenscheid 09,Schalke 04,3-1,Wed 23 Aug ,/match/wattenscheid-09/schalke-04/1990,1990,5,2_liga
41,RW Essen,SC Freiburg,0-1,Wed 23 Aug ,/match/rot-weiss-essen/sc-freiburg/1990,1990,5,2_liga
42,Hessen Kassel,VfL Osnabrück,1-5,Wed 23 Aug ,/match/hessen-kassel/vfl-osnabruck/1990,1990,5,2_liga
43,Preußen Münster,Stuttgarter,1-1,Wed 23 Aug ,/match/preuben-munster/stuttgarter-kickers/1990,1990,5,2_liga
44,Darmstadt 98,Bayreuth SpVgg,3-1,Wed 23 Aug ,/match/darmstadt-98/bayreuth-spvgg/1990,1990,5,2_liga
45,Hertha BSC,MSV Duisburg,2-1,Wed 23 Aug ,/match/hertha-bsc/msv-duisburg/1990,1990,5,2_liga
46,Saarbrücken,Meppen,4-0,Wed 23 Aug ,/match/saarbrucken/meppen/1990,1990,5,2_liga
47,Alemannia Aachen,Unterhaching,2-0,Wed 23 Aug ,/match/alemannia-aachen/unterhaching/1990,1990,5,2_liga
48,Fortuna Köln,Hannover 96,2-1,Wed 23 Aug ,/match/fortuna-koln/hannover-96/1990,1990,5,2_liga
49,Braunschweig,Blau-Weiß 1890 B.,2-0,Wed 23 Aug ,/match/eintracht-brau-hellip/blau-weiss-1890-berlin/1990,1990,5,2_liga
50,Stuttgarter,Darmstadt 98,2-1,Sun 27 Aug ,/match/stuttgarter-kickers/darmstadt-98/1990,1990,6,2_liga
51,Bayreuth SpVgg,Hessen Kassel,5-1,Sun 27 Aug ,/match/bayreuth-spvgg/hessen-kassel/1990,1990,6,2_liga
52,Meppen,Wattenscheid 09,1-1,Sun 27 Aug ,/match/meppen/wattenscheid-09/1990,1990,6,2_liga
53,VfL Osnabrück,RW Essen,1-1,Sun 27 Aug ,/match/vfl-osnabruck/rot-weiss-essen/1990,1990,6,2_liga
54,Hannover 96,Hertha BSC,0-2,Sun 27 Aug ,/match/hannover-96/hertha-bsc/1990,1990,6,2_liga
55,Schalke 04,Fortuna Köln,3-0,Sun 27 Aug ,/match/schalke-04/fortuna-koln/1990,1990,6,2_liga
56,Unterhaching,Saarbrücken,1-1,Sun 27 Aug ,/match/unterhaching/saarbrucken/1990,1990,6,2_liga
57,Blau-Weiß 1890 B.,Alemannia Aachen,1-0,Sun 27 Aug ,/match/blau-weiss-1890-berlin/alemannia-aachen/1990,1990,6,2_liga
58,SC Freiburg,Braunschweig,1-0,Sun 27 Aug ,/match/sc-freiburg/eintracht-brau-hellip/1990,1990,6,2_liga
59,MSV Duisburg,Preußen Münster,3-3,Tue 05 Sep ,/match/msv-duisburg/preuben-munster/1990,1990,6,2_liga
60,Braunschweig,VfL Osnabrück,3-1,Sat 02 Sep ,/match/eintracht-brau-hellip/vfl-osnabruck/1990,1990,7,2_liga
61,Hessen Kassel,RW Essen,0-1,Sat 02 Sep ,/match/hessen-kassel/rot-weiss-essen/1990,1990,7,2_liga
62,Preußen Münster,Hannover 96,0-1,Sat 02 Sep ,/match/preuben-munster/hannover-96/1990,1990,7,2_liga
63,Darmstadt 98,MSV Duisburg,3-1,Sat 02 Sep ,/match/darmstadt-98/msv-duisburg/1990,1990,7,2_liga
64,Bayreuth SpVgg,Stuttgarter,1-2,Sat 02 Sep ,/match/bayreuth-spvgg/stuttgarter-kickers/1990,1990,7,2_liga
65,Alemannia Aachen,SC Freiburg,0-1,Sat 02 Sep ,/match/alemannia-aachen/sc-freiburg/1990,1990,7,2_liga
66,Saarbrücken,Blau-Weiß 1890 B.,1-1,Sat 02 Sep ,/match/saarbrucken/blau-weiss-1890-berlin/1990,1990,7,2_liga
67,Wattenscheid 09,Unterhaching,1-0,Sat 02 Sep ,/match/wattenscheid-09/unterhaching/1990,1990,7,2_liga
68,Hertha BSC,Schalke 04,2-2,Sat 02 Sep ,/match/hertha-bsc/schalke-04/1990,1990,7,2_liga
69,Fortuna Köln,Meppen,3-0,Sat 02 Sep ,/match/fortuna-koln/meppen/1990,1990,7,2_liga
70,Stuttgarter,Hessen Kassel,2-0,Sat 09 Sep ,/match/stuttgarter-kickers/hessen-kassel/1990,1990,8,2_liga
71,MSV Duisburg,Bayreuth SpVgg,3-1,Sat 09 Sep ,/match/msv-duisburg/bayreuth-spvgg/1990,1990,8,2_liga
72,Meppen,Hertha BSC,0-0,Sat 09 Sep ,/match/meppen/hertha-bsc/1990,1990,8,2_liga
73,SC Freiburg,Saarbrücken,1-4,Sat 09 Sep ,/match/sc-freiburg/saarbrucken/1990,1990,8,2_liga
74,VfL Osnabrück,Alemannia Aachen,3-1,Sat 09 Sep ,/match/vfl-osnabruck/alemannia-aachen/1990,1990,8,2_liga
75,Blau-Weiß 1890 B.,Wattenscheid 09,1-1,Sat 09 Sep ,/match/blau-weiss-1890-berlin/wattenscheid-09/1990,1990,8,2_liga
76,Hannover 96,Darmstadt 98,1-1,Sat 09 Sep ,/match/hannover-96/darmstadt-98/1990,1990,8,2_liga
77,Schalke 04,Preußen Münster,0-1,Sat 09 Sep ,/match/schalke-04/preuben-munster/1990,1990,8,2_liga
78,Unterhaching,Fortuna Köln,1-2,Sat 09 Sep ,/match/unterhaching/fortuna-koln/1990,1990,8,2_liga
79,RW Essen,Braunschweig,1-0,Sat 09 Sep ,/match/rot-weiss-essen/eintracht-brau-hellip/1990,1990,8,2_liga
80,Wattenscheid 09,SC Freiburg,4-4,Sun 17 Sep ,/match/wattenscheid-09/sc-freiburg/1990,1990,9,2_liga
