,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
0,Kaiserslautern,Mönchengladbach,2-1,Fri 28 Jul ,/match/kaiserslautern/borussia-monchengla/1990,1990,1,bundesliga
1,KFC Uerdingen 05,FC 08 Homburg,3-0,Fri 28 Jul ,/match/kfc-uerdingen-05/homburg/1990,1990,1,bundesliga
2,VfL Bochum,Köln,0-1,Sat 29 Jul ,/match/bochum/1-fc-koln/1990,1990,1,bundesliga
3,Fortuna,Hamburger SV,1-1,Sat 29 Jul ,/match/fortuna-dusseldorf/hamburger-sv/1990,1990,1,bundesliga
4,Eintracht,Waldhof Mannheim,3-1,Sat 29 Jul ,/match/eintracht-frankfurt/waldhof-mannheim/1990,1990,1,bundesliga
5,Bayern München,Nürnberg,3-2,Sat 29 Jul ,/match/bayern-munchen/fc-nurnberg/1990,1990,1,bundesliga
6,FC St. Pauli,Werder Bremen,0-0,Sat 29 Jul ,/match/st-pauli/werder-bremen/1990,1990,1,bundesliga
7,B. Leverkusen,B. Dortmund,1-0,Sat 29 Jul ,/match/bayer-leverkusen/borussia-dortmund/1990,1990,1,bundesliga
8,Stuttgart,Karlsruher SC,2-0,Sat 29 Jul ,/match/stuttgart/karlsruher-sc/1990,1990,1,bundesliga
9,Hamburger SV,Eintracht,1-1,Fri 04 Aug ,/match/hamburger-sv/eintracht-frankfurt/1990,1990,2,bundesliga
10,B. Dortmund,FC St. Pauli,3-1,Fri 04 Aug ,/match/borussia-dortmund/st-pauli/1990,1990,2,bundesliga
11,Karlsruher SC,KFC Uerdingen 05,0-0,Sat 05 Aug ,/match/karlsruher-sc/kfc-uerdingen-05/1990,1990,2,bundesliga
12,Waldhof Mannheim,VfL Bochum,3-2,Sat 05 Aug ,/match/waldhof-mannheim/bochum/1990,1990,2,bundesliga
13,Nürnberg,B. Leverkusen,2-2,Sat 05 Aug ,/match/fc-nurnberg/bayer-leverkusen/1990,1990,2,bundesliga
14,Werder Bremen,Fortuna,2-2,Sat 05 Aug ,/match/werder-bremen/fortuna-dusseldorf/1990,1990,2,bundesliga
15,FC 08 Homburg,Kaiserslautern,2-2,Sat 05 Aug ,/match/homburg/kaiserslautern/1990,1990,2,bundesliga
16,Mönchengladbach,Bayern München,0-0,Sat 05 Aug ,/match/borussia-monchengla/bayern-munchen/1990,1990,2,bundesliga
17,Köln,Stuttgart,0-0,Wed 09 Aug ,/match/1-fc-koln/stuttgart/1990,1990,2,bundesliga
18,Fortuna,Eintracht,1-2,Tue 08 Aug ,/match/fortuna-dusseldorf/eintracht-frankfurt/1990,1990,3,bundesliga
19,Bayern München,FC 08 Homburg,1-0,Wed 09 Aug ,/match/bayern-munchen/homburg/1990,1990,3,bundesliga
20,Kaiserslautern,Karlsruher SC,5-1,Fri 11 Aug ,/match/kaiserslautern/karlsruher-sc/1990,1990,3,bundesliga
21,VfL Bochum,Hamburger SV,3-1,Sat 12 Aug ,/match/bochum/hamburger-sv/1990,1990,3,bundesliga
22,Werder Bremen,B. Dortmund,2-0,Sat 12 Aug ,/match/werder-bremen/borussia-dortmund/1990,1990,3,bundesliga
23,KFC Uerdingen 05,Köln,2-3,Sat 12 Aug ,/match/kfc-uerdingen-05/1-fc-koln/1990,1990,3,bundesliga
24,FC St. Pauli,Nürnberg,0-1,Sat 12 Aug ,/match/st-pauli/fc-nurnberg/1990,1990,3,bundesliga
25,B. Leverkusen,Mönchengladbach,0-0,Sat 12 Aug ,/match/bayer-leverkusen/borussia-monchengla/1990,1990,3,bundesliga
26,Stuttgart,Waldhof Mannheim,1-0,Sat 12 Aug ,/match/stuttgart/waldhof-mannheim/1990,1990,3,bundesliga
27,Mönchengladbach,FC St. Pauli,4-1,Tue 15 Aug ,/match/borussia-monchengla/st-pauli/1990,1990,4,bundesliga
28,Waldhof Mannheim,KFC Uerdingen 05,1-1,Tue 15 Aug ,/match/waldhof-mannheim/kfc-uerdingen-05/1990,1990,4,bundesliga
29,FC 08 Homburg,B. Leverkusen,2-1,Tue 15 Aug ,/match/homburg/bayer-leverkusen/1990,1990,4,bundesliga
