,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
0,BV Veendam ,Den Bosch,1-0,Tue 20 Aug ,/match/veendam/fc-den-bosch/1997,1997,1,eerste_divisie
1,MVV Maastricht,Excelsior,3-0,Wed 21 Aug ,/match/mvv/excelsior/1997,1997,1,eerste_divisie
2,Dordrecht,SC Telstar,2-1,Wed 21 Aug ,/match/fc-dordrecht/stormvogels-telstar/1997,1997,1,eerste_divisie
3,HFC Haarlem ,FC Eindhoven,1-2,Wed 21 Aug ,/match/haarlem/fc-eindhoven/1997,1997,1,eerste_divisie
4,Go Ahead Eagles,RBC Roosendaal,2-0,Wed 21 Aug ,/match/go-ahead-eagles/rbc/1997,1997,1,eerste_divisie
5,Emmen,PEC Zwolle,4-1,Wed 21 Aug ,/match/emmen/fc-zwolle/1997,1997,1,eerste_divisie
6,Heracles,ADO Den Haag,1-1,Wed 21 Aug ,/match/heracles/ado-den-haag/1997,1997,1,eerste_divisie
7,Helmond Sport,TOP Oss,1-2,Wed 21 Aug ,/match/helmond-sport/fc-oss/1997,1997,1,eerste_divisie
8,FC Eindhoven,MVV Maastricht,1-1,Sat 24 Aug ,/match/fc-eindhoven/mvv/1997,1997,1,eerste_divisie
9,BV Veendam ,Helmond Sport,0-0,Sat 24 Aug ,/match/veendam/helmond-sport/1997,1997,2,eerste_divisie
10,SC Telstar,Go Ahead Eagles,2-4,Sat 24 Aug ,/match/stormvogels-telstar/go-ahead-eagles/1997,1997,2,eerste_divisie
11,TOP Oss,Heracles,3-1,Sat 24 Aug ,/match/fc-oss/heracles/1997,1997,2,eerste_divisie
12,VVV Venlo,Dordrecht,2-1,Sat 24 Aug ,/match/vvv/fc-dordrecht/1997,1997,2,eerste_divisie
13,Excelsior,Cambuur,0-0,Sat 24 Aug ,/match/excelsior/sc-cambuur-leeuwarden/1997,1997,2,eerste_divisie
14,PEC Zwolle,Den Bosch,1-0,Sat 24 Aug ,/match/fc-zwolle/fc-den-bosch/1997,1997,2,eerste_divisie
15,RBC Roosendaal,Emmen,2-4,Sat 24 Aug ,/match/rbc/emmen/1997,1997,2,eerste_divisie
16,ADO Den Haag,HFC Haarlem ,1-0,Sat 24 Aug ,/match/ado-den-haag/haarlem/1997,1997,2,eerste_divisie
17,Dordrecht,Excelsior,2-1,Tue 03 Sep ,/match/fc-dordrecht/excelsior/1997,1997,2,eerste_divisie
