,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
0,MVV Maastricht,Willem II,2-1,Sat 12 Aug ,/match/mvv/willem-ii/1990,1990,1,eredivisie
1,Twente 1965,Roda JC,1-1,Sat 12 Aug ,/match/fc-twente-1965/roda-jc/1990,1990,1,eredivisie
2,Sparta Rotterdam,NEC Nijmegen,1-2,Sun 13 Aug ,/match/sparta-rotterdam/nec/1990,1990,1,eredivisie
3,Vitesse,Fortuna Sittard,1-1,Sun 13 Aug ,/match/vitesse/fortuna-sittard/1990,1990,1,eredivisie
4,ADO Den Haag,Ajax,0-4,Sun 13 Aug ,/match/ado-den-haag/ajax/1990,1990,1,eredivisie
5,RKC Waalwijk,Groningen,3-1,Sun 13 Aug ,/match/rkc-waalwijk/fc-groningen/1990,1990,1,eredivisie
6,Utrecht,Feyenoord,3-0,Sun 13 Aug ,/match/fc-utrecht/feyenoord/1990,1990,1,eredivisie
7,FC Volendam,HFC Haarlem ,1-0,Sun 13 Aug ,/match/fc-volendam/haarlem/1990,1990,1,eredivisie
8,PSV,Den Bosch,1-1,Sun 03 Sep ,/match/psv/fc-den-bosch/1990,1990,1,eredivisie
9,Roda JC,Sparta Rotterdam,1-1,Wed 16 Aug ,/match/roda-jc/sparta-rotterdam/1990,1990,2,eredivisie
10,Willem II,Twente 1965,0-0,Wed 16 Aug ,/match/willem-ii/fc-twente-1965/1990,1990,2,eredivisie
11,HFC Haarlem ,RKC Waalwijk,0-2,Wed 16 Aug ,/match/haarlem/rkc-waalwijk/1990,1990,2,eredivisie
12,Ajax,Vitesse,5-2,Wed 16 Aug ,/match/ajax/vitesse/1990,1990,2,eredivisie
13,Feyenoord,FC Volendam,1-1,Wed 16 Aug ,/match/feyenoord/fc-volendam/1990,1990,2,eredivisie
14,Den Bosch,MVV Maastricht,0-3,Wed 16 Aug ,/match/fc-den-bosch/mvv/1990,1990,2,eredivisie
15,NEC Nijmegen,ADO Den Haag,3-3,Tue 19 Sep ,/match/nec/ado-den-haag/1990,1990,2,eredivisie
16,Fortuna Sittard,Utrecht,1-0,Sun 08 Oct ,/match/fortuna-sittard/fc-utrecht/1990,1990,2,eredivisie
17,Groningen,PSV,0-0,Sun 25 Feb ,/match/fc-groningen/psv/1990,1990,2,eredivisie
18,HFC Haarlem ,Utrecht,1-2,Sat 19 Aug ,/match/haarlem/fc-utrecht/1990,1990,3,eredivisie
19,NEC Nijmegen,Twente 1965,2-2,Sat 19 Aug ,/match/nec/fc-twente-1965/1990,1990,3,eredivisie
20,Roda JC,MVV Maastricht,3-2,Sat 19 Aug ,/match/roda-jc/mvv/1990,1990,3,eredivisie
21,Willem II,PSV,3-4,Sat 19 Aug ,/match/willem-ii/psv/1990,1990,3,eredivisie
22,Den Bosch,RKC Waalwijk,1-2,Sat 19 Aug ,/match/fc-den-bosch/rkc-waalwijk/1990,1990,3,eredivisie
23,Feyenoord,Fortuna Sittard,0-2,Sun 20 Aug ,/match/feyenoord/fortuna-sittard/1990,1990,3,eredivisie
24,Groningen,FC Volendam,3-0,Sun 20 Aug ,/match/fc-groningen/fc-volendam/1990,1990,3,eredivisie
25,Ajax,Sparta Rotterdam,1-2,Sun 20 Aug ,/match/ajax/sparta-rotterdam/1990,1990,3,eredivisie
26,ADO Den Haag,Vitesse,2-1,Sun 20 Aug ,/match/ado-den-haag/vitesse/1990,1990,3,eredivisie
27,Fortuna Sittard,HFC Haarlem ,1-0,Wed 23 Aug ,/match/fortuna-sittard/haarlem/1990,1990,4,eredivisie
28,MVV Maastricht,NEC Nijmegen,2-0,Wed 23 Aug ,/match/mvv/nec/1990,1990,4,eredivisie
29,RKC Waalwijk,Willem II,2-2,Wed 23 Aug ,/match/rkc-waalwijk/willem-ii/1990,1990,4,eredivisie
30,PSV,Roda JC,3-4,Wed 23 Aug ,/match/psv/roda-jc/1990,1990,4,eredivisie
31,FC Volendam,Den Bosch,3-0,Wed 23 Aug ,/match/fc-volendam/fc-den-bosch/1990,1990,4,eredivisie
32,Utrecht,Groningen,1-0,Wed 23 Aug ,/match/fc-utrecht/fc-groningen/1990,1990,4,eredivisie
33,Twente 1965,Ajax,2-1,Sun 03 Sep ,/match/fc-twente-1965/ajax/1990,1990,4,eredivisie
34,Vitesse,Feyenoord,2-1,Sun 03 Sep ,/match/vitesse/feyenoord/1990,1990,4,eredivisie
35,Sparta Rotterdam,ADO Den Haag,3-1,Sun 12 Nov ,/match/sparta-rotterdam/ado-den-haag/1990,1990,4,eredivisie
36,Willem II,FC Volendam,5-1,Sat 26 Aug ,/match/willem-ii/fc-volendam/1990,1990,5,eredivisie
37,HFC Haarlem ,Feyenoord,3-1,Sun 27 Aug ,/match/haarlem/feyenoord/1990,1990,5,eredivisie
38,Groningen,Fortuna Sittard,0-0,Sun 27 Aug ,/match/fc-groningen/fortuna-sittard/1990,1990,5,eredivisie
