,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
0,Como,Vicenza ,0-0,Sat 03 Sep ,/match/como/vicenza-calcio/1995,1995,1,serie_b
1,Ascoli,Lucchese Libertas,2-0,Sun 04 Sep ,/match/ascoli/luchese/1995,1995,1,serie_b
2,Cesena,Hellas Verona,1-3,Sun 04 Sep ,/match/ac-cesena/hellas-verona-fc/1995,1995,1,serie_b
3,Chievo,Atalanta,1-1,Sun 04 Sep ,/match/chievo/atalanta/1995,1995,1,serie_b
4,Cosenza Calcio,Venezia,0-1,Sun 04 Sep ,/match/fortitudo-cosenza/venezia/1995,1995,1,serie_b
5,Lecce,Acireale,0-0,Sun 04 Sep ,/match/lecce/acireale/1995,1995,1,serie_b
6,Palermo FC,Fidelis Andria,1-1,Sun 04 Sep ,/match/palermo/fidelis-andria/1995,1995,1,serie_b
7,Perugia,Piacenza,1-1,Sun 04 Sep ,/match/perugia/piacenza/1995,1995,1,serie_b
8,Pescara,Udinese,1-1,Sun 04 Sep ,/match/pescara-calcio/udinese/1995,1995,1,serie_b
9,Salernitana,Ancona,2-0,Sun 04 Sep ,/match/salernitana-calcio-1919/ancona/1995,1995,1,serie_b
10,Piacenza,Cosenza Calcio,0-0,Sat 10 Sep ,/match/piacenza/fortitudo-cosenza/1995,1995,2,serie_b
11,Acireale,Pescara,2-0,Sun 11 Sep ,/match/acireale/pescara-calcio/1995,1995,2,serie_b
12,Ancona,Lecce,3-0,Sun 11 Sep ,/match/ancona/lecce/1995,1995,2,serie_b
13,Atalanta,Ascoli,1-0,Sun 11 Sep ,/match/atalanta/ascoli/1995,1995,2,serie_b
14,Fidelis Andria,Cesena,1-1,Sun 11 Sep ,/match/fidelis-andria/ac-cesena/1995,1995,2,serie_b
15,Lucchese Libertas,Perugia,1-1,Sun 11 Sep ,/match/luchese/perugia/1995,1995,2,serie_b
16,Udinese,Chievo,1-0,Sun 11 Sep ,/match/udinese/chievo/1995,1995,2,serie_b
17,Venezia,Como,0-1,Sun 11 Sep ,/match/venezia/como/1995,1995,2,serie_b
18,Hellas Verona,Palermo FC,1-0,Sun 11 Sep ,/match/hellas-verona-fc/palermo/1995,1995,2,serie_b
19,Vicenza ,Salernitana,2-0,Sun 11 Sep ,/match/vicenza-calcio/salernitana-calcio-1919/1995,1995,2,serie_b
20,Vicenza ,Piacenza,0-0,Sat 17 Sep ,/match/vicenza-calcio/piacenza/1995,1995,3,serie_b
21,Ascoli,Perugia,1-1,Sun 18 Sep ,/match/ascoli/perugia/1995,1995,3,serie_b
22,Cesena,Lucchese Libertas,3-0,Sun 18 Sep ,/match/ac-cesena/luchese/1995,1995,3,serie_b
23,Chievo,Fidelis Andria,1-2,Sun 18 Sep ,/match/chievo/fidelis-andria/1995,1995,3,serie_b
24,Como,Atalanta,0-0,Sun 18 Sep ,/match/como/atalanta/1995,1995,3,serie_b
25,Cosenza Calcio,Udinese,1-0,Sun 18 Sep ,/match/fortitudo-cosenza/udinese/1995,1995,3,serie_b
26,Palermo FC,Acireale,0-0,Sun 18 Sep ,/match/palermo/acireale/1995,1995,3,serie_b
27,Pescara,Hellas Verona,0-0,Sun 18 Sep ,/match/pescara-calcio/hellas-verona-fc/1995,1995,3,serie_b
28,Salernitana,Lecce,1-1,Sun 18 Sep ,/match/salernitana-calcio-1919/lecce/1995,1995,3,serie_b
29,Venezia,Ancona,1-0,Sun 18 Sep ,/match/venezia/ancona/1995,1995,3,serie_b
30,Ancona,Pescara,3-3,Sat 24 Sep ,/match/ancona/pescara-calcio/1995,1995,4,serie_b
31,Acireale,Chievo,0-3,Sun 25 Sep ,/match/acireale/chievo/1995,1995,4,serie_b
32,Atalanta,Venezia,0-3,Sun 25 Sep ,/match/atalanta/venezia/1995,1995,4,serie_b
33,Fidelis Andria,Ascoli,3-1,Sun 25 Sep ,/match/fidelis-andria/ascoli/1995,1995,4,serie_b
34,Lecce,Cesena,0-0,Sun 25 Sep ,/match/lecce/ac-cesena/1995,1995,4,serie_b
35,Lucchese Libertas,Cosenza Calcio,2-2,Sun 25 Sep ,/match/luchese/fortitudo-cosenza/1995,1995,4,serie_b
36,Perugia,Salernitana,1-2,Sun 25 Sep ,/match/perugia/salernitana-calcio-1919/1995,1995,4,serie_b
37,Piacenza,Palermo FC,3-0,Sun 25 Sep ,/match/piacenza/palermo/1995,1995,4,serie_b
38,Udinese,Vicenza ,0-0,Sun 25 Sep ,/match/udinese/vicenza-calcio/1995,1995,4,serie_b
39,Hellas Verona,Como,1-0,Sun 25 Sep ,/match/hellas-verona-fc/como/1995,1995,4,serie_b
40,Cesena,Salernitana,3-0,Sat 01 Oct ,/match/ac-cesena/salernitana-calcio-1919/1995,1995,5,serie_b
41,Ancona,Acireale,3-0,Sun 02 Oct ,/match/ancona/acireale/1995,1995,5,serie_b
42,Atalanta,Lecce,1-1,Sun 02 Oct ,/match/atalanta/lecce/1995,1995,5,serie_b
43,Chievo,Perugia,0-1,Sun 02 Oct ,/match/chievo/perugia/1995,1995,5,serie_b
44,Como,Udinese,1-4,Sun 02 Oct ,/match/como/udinese/1995,1995,5,serie_b
