,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
0,Olympique Lyonnais,Olympique,1-4,Fri 21 Jul ,/match/olympique-lyonnais/olympique-marsella/1990,1990,1,ligue_1
1,Racing Paris,Monaco,0-0,Sat 22 Jul ,/match/racing-paris/monaco/1990,1990,1,ligue_1
2,Metz,Girondins Bordeaux,0-0,Sat 22 Jul ,/match/metz/bordeaux/1990,1990,1,ligue_1
3,Nice,PSG,3-3,Sat 22 Jul ,/match/nice/paris-saint-germain-fc/1990,1990,1,ligue_1
4,Sochaux,Stade Brestois,1-0,Sat 22 Jul ,/match/sochaux/stade-brestois-29/1990,1990,1,ligue_1
5,Lille,Caen,1-0,Sat 22 Jul ,/match/lillestrom/caen/1990,1990,1,ligue_1
6,Nantes,Auxerre,2-1,Sat 22 Jul ,/match/nantes/auxerre/1990,1990,1,ligue_1
7,Sporting Toulon,Saint-Étienne,2-0,Sat 22 Jul ,/match/sporting-toulon/saint-etienne/1990,1990,1,ligue_1
8,Toulouse,FC Mulhouse,3-0,Sat 22 Jul ,/match/toulouse-fc/mulhouse/1990,1990,1,ligue_1
9,Montpellier,Cannes,4-1,Sat 22 Jul ,/match/montpellier-hsc/as-cannes/1990,1990,1,ligue_1
10,Stade Brestois,Lille,1-0,Sat 29 Jul ,/match/stade-brestois-29/lillestrom/1990,1990,2,ligue_1
11,Auxerre,Nice,1-0,Sat 29 Jul ,/match/auxerre/nice/1990,1990,2,ligue_1
12,Caen,Saint-Étienne,3-2,Sat 29 Jul ,/match/caen/saint-etienne/1990,1990,2,ligue_1
13,Olympique Lyonnais,Toulouse,3-0,Sat 29 Jul ,/match/olympique-lyonnais/toulouse-fc/1990,1990,2,ligue_1
14,FC Mulhouse,Montpellier,2-0,Sat 29 Jul ,/match/mulhouse/montpellier-hsc/1990,1990,2,ligue_1
15,Monaco,Sochaux,2-1,Sat 29 Jul ,/match/monaco/sochaux/1990,1990,2,ligue_1
