,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
0,Athletic,R. Sociedad,1-0,Sat 02 Sep ,/match/athletic-bilbao/real-sociedad/1990,1990,1,primera_division
1,CD Málaga,Celta,1-1,Sat 02 Sep ,/match/cd-malaga/celta/1990,1990,1,primera_division
2,Valencia,Atlético,1-3,Sat 02 Sep ,/match/valencia-cf/atletico-madrid/1990,1990,1,primera_division
3,Real Valladolid,Barcelona,2-0,Sat 02 Sep ,/match/valladolid/barcelona/1990,1990,1,primera_division
4,Cádiz,CD Logroñés,0-1,Sun 03 Sep ,/match/cadiz/logrones-cd/1990,1990,1,primera_division
5,Osasuna,Mallorca,1-0,Sun 03 Sep ,/match/osasuna/mallorca/1990,1990,1,primera_division
6,Real Madrid,Real Sporting,2-0,Sun 03 Sep ,/match/real-madrid/sporting-gijon/1990,1990,1,primera_division
7,Real Oviedo,CD Castellón,1-1,Sun 03 Sep ,/match/real-oviedo/cd-castellon/1990,1990,1,primera_division
8,Sevilla,Tenerife,1-0,Sun 03 Sep ,/match/sevilla/tenerife/1990,1990,1,primera_division
9,Real Zaragoza,Rayo Vallecano,3-0,Sun 03 Sep ,/match/real-zaragoza/rayo-vallecano/1990,1990,1,primera_division
10,Atlético,Cádiz,1-0,Sat 09 Sep ,/match/atletico-madrid/cadiz/1990,1990,2,primera_division
11,Barcelona,Osasuna,4-0,Sat 09 Sep ,/match/barcelona/osasuna/1990,1990,2,primera_division
12,CD Castellón,Real Madrid,0-0,Sat 09 Sep ,/match/cd-castellon/real-madrid/1990,1990,2,primera_division
13,Celta,Sevilla,0-1,Sun 10 Sep ,/match/celta/sevilla/1990,1990,2,primera_division
14,Real Sporting,Valencia,1-1,Sun 10 Sep ,/match/sporting-gijon/valencia-cf/1990,1990,2,primera_division
15,CD Logroñés,CD Málaga,1-0,Sun 10 Sep ,/match/logrones-cd/cd-malaga/1990,1990,2,primera_division
16,Mallorca,Real Oviedo,2-2,Sun 10 Sep ,/match/mallorca/real-oviedo/1990,1990,2,primera_division
17,R. Sociedad,Real Zaragoza,2-1,Sun 10 Sep ,/match/real-sociedad/real-zaragoza/1990,1990,2,primera_division
18,Rayo Vallecano,Real Valladolid,2-1,Sun 10 Sep ,/match/rayo-vallecano/valladolid/1990,1990,2,primera_division
19,Tenerife,Athletic,1-1,Sun 10 Sep ,/match/tenerife/athletic-bilbao/1990,1990,2,primera_division
20,Real Oviedo,Barcelona,2-0,Sat 16 Sep ,/match/real-oviedo/barcelona/1990,1990,3,primera_division
21,Athletic,Celta,2-0,Sun 17 Sep ,/match/athletic-bilbao/celta/1990,1990,3,primera_division
22,Cádiz,Real Sporting,2-0,Sun 17 Sep ,/match/cadiz/sporting-gijon/1990,1990,3,primera_division
23,CD Castellón,Mallorca,1-2,Sun 17 Sep ,/match/cd-castellon/mallorca/1990,1990,3,primera_division
24,CD Málaga,Atlético,0-0,Sun 17 Sep ,/match/cd-malaga/atletico-madrid/1990,1990,3,primera_division
25,Osasuna,Rayo Vallecano,2-1,Sun 17 Sep ,/match/osasuna/rayo-vallecano/1990,1990,3,primera_division
26,Real Madrid,Valencia,6-2,Sun 17 Sep ,/match/real-madrid/valencia-cf/1990,1990,3,primera_division
27,Sevilla,CD Logroñés,3-1,Sun 17 Sep ,/match/sevilla/logrones-cd/1990,1990,3,primera_division
28,Real Valladolid,R. Sociedad,1-0,Sun 17 Sep ,/match/valladolid/real-sociedad/1990,1990,3,primera_division
29,Real Zaragoza,Tenerife,3-3,Sun 17 Sep ,/match/real-zaragoza/tenerife/1990,1990,3,primera_division
