,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
0,Gil Vicente,Nacional,2-0,Sun 24 Aug ,/match/gil-vicente/nacional/1998,1998,1,segunda_liga
1,Academico Viseu,Estoril,1-0,Sun 24 Aug ,/match/academico-viseu/estoril/1998,1998,1,segunda_liga
2,Torreense,União Madeira,1-0,Sun 24 Aug ,/match/torreense/uniao-madeira/1998,1998,1,segunda_liga
3,FC Felgueiras,Espinho,2-1,Sun 24 Aug ,/match/fc-felgueiras/espinho/1998,1998,1,segunda_liga
4,Feirense,União de Leiria,2-2,Sun 24 Aug ,/match/feirense/uniao-leiria/1998,1998,1,segunda_liga
5,Desportivo Aves,Moreirense,0-1,Sun 24 Aug ,/match/desportivo-aves/moreirense-fc/1998,1998,1,segunda_liga
6,FC Maia,Uniao Lamas,3-0,Sun 24 Aug ,/match/fc-maia/uniao-lamas/1998,1998,1,segunda_liga
7,Paços Ferreira,Penafiel,1-1,Sun 24 Aug ,/match/pacos-ferreira/penafiel/1998,1998,1,segunda_liga
8,Beira Mar SC,Alverca,0-0,Sun 24 Aug ,/match/beira-mar/alverca/1998,1998,1,segunda_liga
9,Uniao Lamas,Desportivo Aves,4-0,Sun 31 Aug ,/match/uniao-lamas/desportivo-aves/1998,1998,2,segunda_liga
10,Espinho,Feirense,1-1,Sun 31 Aug ,/match/espinho/feirense/1998,1998,2,segunda_liga
11,Penafiel,FC Felgueiras,3-2,Sun 31 Aug ,/match/penafiel/fc-felgueiras/1998,1998,2,segunda_liga
12,Estoril,Beira Mar SC,1-1,Sun 31 Aug ,/match/estoril/beira-mar/1998,1998,2,segunda_liga
13,União de Leiria,Gil Vicente,0-0,Sun 31 Aug ,/match/uniao-leiria/gil-vicente/1998,1998,2,segunda_liga
14,Nacional,FC Maia,1-1,Sun 31 Aug ,/match/nacional/fc-maia/1998,1998,2,segunda_liga
15,Alverca,Paços Ferreira,2-1,Tue 02 Sep ,/match/alverca/pacos-ferreira/1998,1998,2,segunda_liga
16,União Madeira,Academico Viseu,2-1,Sun 07 Sep ,/match/uniao-madeira/academico-viseu/1998,1998,2,segunda_liga
17,Moreirense,Torreense,1-0,Sun 07 Sep ,/match/moreirense-fc/torreense/1998,1998,2,segunda_liga
18,Gil Vicente,Espinho,3-0,Sun 14 Sep ,/match/gil-vicente/espinho/1998,1998,3,segunda_liga
19,Academico Viseu,Moreirense,4-1,Sun 14 Sep ,/match/academico-viseu/moreirense-fc/1998,1998,3,segunda_liga
20,Torreense,Uniao Lamas,0-1,Sun 14 Sep ,/match/torreense/uniao-lamas/1998,1998,3,segunda_liga
21,Feirense,Penafiel,1-3,Sun 14 Sep ,/match/feirense/penafiel/1998,1998,3,segunda_liga
22,Desportivo Aves,Nacional,2-0,Sun 14 Sep ,/match/desportivo-aves/nacional/1998,1998,3,segunda_liga
23,FC Maia,União de Leiria,2-2,Sun 14 Sep ,/match/fc-maia/uniao-leiria/1998,1998,3,segunda_liga
24,Paços Ferreira,FC Felgueiras,0-0,Sun 14 Sep ,/match/pacos-ferreira/fc-felgueiras/1998,1998,3,segunda_liga
