,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
0,Udinese,Roma,01-Jan,Sun 27 Aug ,/match/udinese/roma/1990,1990,1,serie_a
1,Ascoli,Napoli,0-1,Sun 27 Aug ,/match/ascoli/napoli/1990,1990,1,serie_a
2,Inter,Cremonese,02-Jan,Sun 27 Aug ,/match/internazionale/us-cremonese/1990,1990,1,serie_a
3,Genoa,Lecce,1-0,Sun 27 Aug ,/match/genoa/lecce/1990,1990,1,serie_a
4,Cesena,Milan,0-3,Sun 27 Aug ,/match/ac-cesena/milan/1990,1990,1,serie_a
5,Juventus,Bologna,01-Jan,Sun 27 Aug ,/match/juventus-fc/bologna/1990,1990,1,serie_a
6,SSC Bari,Fiorentina,01-Jan,Sun 27 Aug ,/match/as-bari/fiorentina/1990,1990,1,serie_a
7,Atalanta,Hellas Verona,1-0,Sun 27 Aug ,/match/atalanta/hellas-verona-fc/1990,1990,1,serie_a
8,Lazio,Sampdoria,0-2,Sun 27 Aug ,/match/lazio/sampdoria/1990,1990,1,serie_a
9,Lecce,Atalanta,02-Jan,Sun 03 Sep ,/match/lecce/atalanta/1990,1990,2,serie_a
10,Hellas Verona,Juventus,01-Apr,Sun 03 Sep ,/match/hellas-verona-fc/juventus-fc/1990,1990,2,serie_a
11,Cremonese,Cesena,01-Feb,Sun 03 Sep ,/match/us-cremonese/ac-cesena/1990,1990,2,serie_a
12,Fiorentina,Genoa,0-0,Sun 03 Sep ,/match/fiorentina/genoa/1990,1990,2,serie_a
13,Milan,Lazio,0-1,Sun 03 Sep ,/match/milan/lazio/1990,1990,2,serie_a
14,Napoli,Udinese,1-0,Sun 03 Sep ,/match/napoli/udinese/1990,1990,2,serie_a
15,Bologna,Inter,02-Feb,Sun 03 Sep ,/match/bologna/internazionale/1990,1990,2,serie_a
16,Sampdoria,SSC Bari,0-0,Sun 03 Sep ,/match/sampdoria/as-bari/1990,1990,2,serie_a
17,Roma,Ascoli,0-0,Sun 03 Sep ,/match/roma/ascoli/1990,1990,2,serie_a
18,Cesena,Napoli,0-0,Wed 06 Sep ,/match/ac-cesena/napoli/1990,1990,3,serie_a
19,Udinese,Bologna,01-Jan,Wed 06 Sep ,/match/udinese/bologna/1990,1990,3,serie_a
20,Genoa,Roma,0-2,Wed 06 Sep ,/match/genoa/roma/1990,1990,3,serie_a
21,Ascoli,Sampdoria,02-Jan,Wed 06 Sep ,/match/ascoli/sampdoria/1990,1990,3,serie_a
22,Juventus,Fiorentina,03-Jan,Wed 06 Sep ,/match/juventus-fc/fiorentina/1990,1990,3,serie_a
23,SSC Bari,Hellas Verona,02-Jan,Wed 06 Sep ,/match/as-bari/hellas-verona-fc/1990,1990,3,serie_a
24,Atalanta,Milan,0-1,Wed 06 Sep ,/match/atalanta/milan/1990,1990,3,serie_a
25,Inter,Lecce,02-Jan,Wed 06 Sep ,/match/internazionale/lecce/1990,1990,3,serie_a
26,Lazio,Cremonese,01-Jan,Wed 06 Sep ,/match/lazio/us-cremonese/1990,1990,3,serie_a
27,Fiorentina,Lazio,1-0,Sun 10 Sep ,/match/fiorentina/lazio/1990,1990,4,serie_a
28,Lecce,Cesena,02-Jan,Sun 10 Sep ,/match/lecce/ac-cesena/1990,1990,4,serie_a
29,Hellas Verona,Napoli,01-Feb,Sun 10 Sep ,/match/hellas-verona-fc/napoli/1990,1990,4,serie_a
30,Cremonese,Genoa,0-1,Sun 10 Sep ,/match/us-cremonese/genoa/1990,1990,4,serie_a
31,Bologna,SSC Bari,03-Jan,Sun 10 Sep ,/match/bologna/as-bari/1990,1990,4,serie_a
32,Roma,Atalanta,04-Jan,Sun 10 Sep ,/match/roma/atalanta/1990,1990,4,serie_a
33,Juventus,Ascoli,03-Jan,Sun 10 Sep ,/match/juventus-fc/ascoli/1990,1990,4,serie_a
34,Milan,Udinese,03-Jan,Sun 10 Sep ,/match/milan/udinese/1990,1990,4,serie_a
35,Sampdoria,Inter,2-0,Sun 10 Sep ,/match/sampdoria/internazionale/1990,1990,4,serie_a
36,Cesena,Bologna,0-0,Sun 17 Sep ,/match/ac-cesena/bologna/1990,1990,5,serie_a
37,Udinese,Sampdoria,03-Mar,Sun 17 Sep ,/match/udinese/sampdoria/1990,1990,5,serie_a
38,Ascoli,Hellas Verona,01-Jan,Sun 17 Sep ,/match/ascoli/hellas-verona-fc/1990,1990,5,serie_a
39,Genoa,Milan,01-Jan,Sun 17 Sep ,/match/genoa/milan/1990,1990,5,serie_a
40,Inter,Juventus,02-Jan,Sun 17 Sep ,/match/internazionale/juventus-fc/1990,1990,5,serie_a
41,SSC Bari,Roma,01-Feb,Sun 17 Sep ,/match/as-bari/roma/1990,1990,5,serie_a
42,Atalanta,Cremonese,2-0,Sun 17 Sep ,/match/atalanta/us-cremonese/1990,1990,5,serie_a
43,Napoli,Fiorentina,03-Feb,Sun 17 Sep ,/match/napoli/fiorentina/1990,1990,5,serie_a
44,Lazio,Lecce,3-0,Sun 17 Sep ,/match/lazio/lecce/1990,1990,5,serie_a
45,Lecce,Udinese,1-0,Sun 24 Sep ,/match/lecce/udinese/1990,1990,6,serie_a
46,Hellas Verona,Lazio,01-Jan,Sun 24 Sep ,/match/hellas-verona-fc/lazio/1990,1990,6,serie_a
47,Cremonese,Napoli,01-Jan,Sun 24 Sep ,/match/us-cremonese/napoli/1990,1990,6,serie_a
48,Ascoli,Inter,0-1,Sun 24 Sep ,/match/ascoli/internazionale/1990,1990,6,serie_a
49,Bologna,Genoa,1-0,Sun 24 Sep ,/match/bologna/genoa/1990,1990,6,serie_a
50,Roma,Cesena,1-0,Sun 24 Sep ,/match/roma/ac-cesena/1990,1990,6,serie_a
51,Juventus,SSC Bari,1-0,Sun 24 Sep ,/match/juventus-fc/as-bari/1990,1990,6,serie_a
52,Milan,Fiorentina,01-Jan,Sun 24 Sep ,/match/milan/fiorentina/1990,1990,6,serie_a
53,Sampdoria,Atalanta,1-0,Sun 24 Sep ,/match/sampdoria/atalanta/1990,1990,6,serie_a
54,SSC Bari,Ascoli,02-Feb,Sun 01 Oct ,/match/as-bari/ascoli/1990,1990,7,serie_a
55,Genoa,Sampdoria,01-Feb,Sun 01 Oct ,/match/genoa/sampdoria/1990,1990,7,serie_a
56,Fiorentina,Udinese,01-Feb,Sun 01 Oct ,/match/fiorentina/udinese/1990,1990,7,serie_a
57,Hellas Verona,Lecce,0-0,Sun 01 Oct ,/match/hellas-verona-fc/lecce/1990,1990,7,serie_a
58,Lazio,Juventus,01-Jan,Sun 01 Oct ,/match/lazio/juventus-fc/1990,1990,7,serie_a
59,Bologna,Cremonese,01-Jan,Sun 01 Oct ,/match/bologna/us-cremonese/1990,1990,7,serie_a
60,Inter,Roma,3-0,Sun 01 Oct ,/match/internazionale/roma/1990,1990,7,serie_a
61,Napoli,Milan,3-0,Sun 01 Oct ,/match/napoli/milan/1990,1990,7,serie_a
62,Atalanta,Cesena,1-0,Sun 01 Oct ,/match/atalanta/ac-cesena/1990,1990,7,serie_a
63,Lecce,Fiorentina,1-0,Sun 08 Oct ,/match/lecce/fiorentina/1990,1990,8,serie_a
64,Udinese,Genoa,02-Apr,Sun 08 Oct ,/match/udinese/genoa/1990,1990,8,serie_a
65,Cremonese,Milan,1-0,Sun 08 Oct ,/match/us-cremonese/milan/1990,1990,8,serie_a
66,Ascoli,Bologna,01-Jan,Sun 08 Oct ,/match/ascoli/bologna/1990,1990,8,serie_a
67,Cesena,Lazio,0-0,Sun 08 Oct ,/match/ac-cesena/lazio/1990,1990,8,serie_a
