,0,1,2,3,4,5
Leeds United,Leeds,England,Elland Road,Elland Road,40204,Natural
Sheffield United,Sheffield,England,Bramall Lane,Bramall Lane,32702,Natural
Newcastle,Newcastle upon Tyne,England,St. James' Park,St. James' Street,52389,Natural
Swindon Town,Swindon,England,County Ground,County Road,15728,Natural
Blackburn Rovers,Blackburn,England,Ewood Park,Nuttall Street,31367,Natural
Sunderland,Sunderland,England,Stadium of Light,Millenium Way,49000,Natural
West Ham,Londres,England,London Stadium,"Queen Elizabeth Olympic Park, London E20 2ST, Reino Unido",80000,Natural
Oldham Athletic,Oldham,England,Boundary Park,,13,
Ipswich Town,Ipswich,England,Portman Road Stadium,Portman Road,30311,Natural
Wolves,Wolverhampton,England,Molineux Stadium,Waterloo Road,29195,Natural
Port Vale,Stoke-on-Trent,England,Vale Park,"Hamil Road, Burslem",19052,Natural
Portsmouth,Portsmouth,England,Fratton Park,Frogmore Road,20821,Natural
Leicester,Leicester,England,King Power Stadium,Eastern Boulevard,32500,Natural
Hull City,Kingston upon Hull,England,Kingston Communications Stadium,Walton Street / Anlaby Road,25504,Natural
Watford,Watford,England,Vicarage Road Stadium,Vicarage Road,19920,Natural
Plymouth Argyle,Plymouth,England,Home Park,Gilbert Lane,19500,Natural
Oxford United,Oxford,England,The Kassam Stadium,Grenoble Road,12500,Natural
Brighton Hove Alb.,Brighton,England,The American Express Community Stadium,Village Way,30750,Natural
Barnsley,Barnsley,England,Oakwell Stadium,Grove Street,23009,Natural
West Bromwich Alb.,West Bromwich,England,The Hawthorns,Halfords Lane,28003,Natural
Middlesbrough,Middlesbrough,England,Riverside Stadium,Dockside Road,34988,Natural
AFC Bournemouth,Bournemouth,England,Vitality Stadium,"Dean Court, Kings Park",12000,Natural
Bradford City,Bradford,England,Coral Windows Stadium,Valley Parade,25136,Natural
Stoke City,Stoke-on-Trent,England,bet365 Stadium,Stanley Matthews Way,28383,Natural
Ajax,Ãmsterdam,Netherlands,Johan Cruyff Arena,ArenA Boulevard 1,53052,Natural
